Ämbete,Minister,Minister,Tillträdde,Avgick,Parti
Statsminister,,Tage Erlander,11 oktober 1946,1 oktober 1951,Socialdemokraterna
Utrikesminister,,Östen Undén,11 oktober 1946,1 oktober 1951,Socialdemokraterna
Justitieminister,,Herman Zetterberg,11 oktober 1946,1 oktober 1951,Socialdemokraterna
Försvarsminister,,Allan Vougt,11 oktober 1946,1 oktober 1951,Socialdemokraterna
Socialminister,,Gustav Möller,11 oktober 1946,1 oktober 1951,Socialdemokraterna
Kommunikationsminister,,Torsten Nilsson,11 oktober 1946,1 oktober 1951,Socialdemokraterna
Finansminister,,Ernst Wigforss,11 oktober 1946,30 juni 1949,Socialdemokraterna
Finansminister,,David Hall,1 juli 1949,17 oktober 1949,Socialdemokraterna
Finansminister,,Per Edvin Sköld,21 oktober 1949,1 oktober 1951,Socialdemokraterna
Ecklesiastikminister,,Josef Weijne,11 oktober 1946,8 mars 1951,Socialdemokraterna
Ecklesiastikminister,,Hildur Nygren,17 mars 1951,1 oktober 1951,Socialdemokraterna
Jordbruksminister,,Per Edvin Sköld,11 oktober 1946,29 oktober 1948,Socialdemokraterna
Jordbruksminister,,Gunnar Sträng,29 oktober 1948,1 oktober 1951,Socialdemokraterna
Handelsminister,,Gunnar Myrdal,11 oktober 1946,11 april 1947,Socialdemokraterna
Handelsminister,,Axel Gjöres,11 april 1947,24 september 1948,Socialdemokraterna
Handelsminister,,John Ericsson i Kinna,24 september 1948,1 oktober 1951,Socialdemokraterna
Folkhushållningsminister,,Axel Gjöres,11 oktober 1946,11 april 1947,Socialdemokraterna
Folkhushållningsminister,,Gunnar Sträng,11 april 1947,29 oktober 1948,Socialdemokraterna
Folkhushållningsminister,,Karin Kock-Lindberg,29 oktober 1948,31 december 1949,Socialdemokraterna
Folkhushållningsminister,,John Ericsson i Kinna,1 januari 1950,30 juni 1950,Socialdemokraterna
Inrikesminister,,Eije Mossberg,1 juli 1947,1 oktober 1951,Socialdemokraterna
Civilminister,,John Lingman,1 juli 1950,1 oktober 1951,Socialdemokraterna
Juristkonsult,,Gunnar Danielson,11 oktober 1946,1 oktober 1951,Partilös
Juristkonsult och kyrkominister,,Nils Quensel,11 oktober 1946,1 oktober 1951,Partilös
Bränsleminister,,John Ericsson i Kinna,11 oktober 1946,28 oktober 1948,Socialdemokraterna
Bitr. socialminister,,Eije Mossberg,11 oktober 1946,1 juli 1947,Socialdemokraterna
Bitr. jordbruksminister,,Gunnar Sträng,11 oktober 1946,11 april 1947,Socialdemokraterna
Ekonomiska frågor,,Karin Kock-Lindberg,11 april 1947,28 oktober 1948,Socialdemokraterna
Ekonomiska frågor,,Sven Andersson,28 oktober 1948,1 oktober 1951,Socialdemokraterna
Ekonomisk samordningsminister,,Per Edvin Sköld,28 oktober 1948,21 oktober 1949,Socialdemokraterna
Löneminister,,John Lingman,4 januari 1950,1 juli 1950,Socialdemokraterna
Utrikeshandelsminister,,Dag Hammarskjöld,6 februari 1951,1 oktober 1951,Partilös
