Titel,Namn,Namn,Tillträdde,Avgick,Parti,Ref
Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen
Statsminister,,Ola Ullsten*,18 oktober 1978,12 oktober 1979,Folkpartiet,[1]
Energi- och samordningsminister,,Carl Tham,18 oktober 1978,12 oktober 1979,Folkpartiet,
Justitieminister,,Sven Romanus*,8 oktober 1976[n 1],12 oktober 1979,Partilös,[2]
Utrikes- och biståndsminister,,Hans Blix*,18 oktober 1978,12 oktober 1979,Folkpartiet,[3]
Försvarsminister,,Lars De Geer*,18 oktober 1978,12 oktober 1979,Folkpartiet,[4]
Socialminister,,Gabriel Romanus*,18 oktober 1978,12 oktober 1979,Folkpartiet,
Sjukvårdsminister,,Hedda Lindahl,18 oktober 1978,12 oktober 1979,Folkpartiet,
Kommunikationsminister,,Anitha Bondestam*,18 oktober 1978,12 oktober 1979,Folkpartiet,
Ekonomiminister,,Ingemar Mundebo*,18 oktober 1978,12 oktober 1979,Folkpartiet,[5]
Budgetminister,,Ingemar Mundebo*,25 november 1976[n 1],31 juli 1980[n 2],Folkpartiet,[6]
Löneminister,,Marianne Wahlberg,18 oktober 1978,12 oktober 1979,Folkpartiet,[6]
Utbildningsminister,,Jan-Erik Wikström*,8 oktober 1976[n 1],8 oktober 1982[n 2],Folkpartiet,
Skolminister,,Birgit Rodhe,18 oktober 1978,12 oktober 1979,Folkpartiet,
Jordbruksminister,,Eric Enlund*,18 oktober 1978,12 oktober 1979,Folkpartiet,
Handelsminister,,Hadar Cars*,18 oktober 1978,12 oktober 1979,Folkpartiet,
Arbetsmarknadsminister,,Rolf Wirtén*,7 mars 1978[n 1],31 juli 1980[n 2],Folkpartiet,
Invandrar- och jämställdhetsminister,,Eva Winther,18 oktober 1978,12 oktober 1979,Folkpartiet,
Bostadsminister,,Birgit Friggebo*,18 oktober 1978,12 oktober 1979[n 2],Folkpartiet,
Industriminister,,Erik Huss*,18 oktober 1978,12 oktober 1979,Folkpartiet,
Kommun- och kyrkominister samt minister för nordiskt samarbete,,Bertil Hansson*,18 oktober 1978,12 oktober 1979,Folkpartiet,
