Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Per Albin Hansson,24 september 1932,19 juni 1936,Socialdemokraterna
Finansminister,,Ernst Wigforss,24 september 1932,19 juni 1936,Socialdemokraterna
Utrikesminister,,Rickard Sandler,24 september 1932,19 juni 1936,Socialdemokraterna
Justitieminister,,Karl Schlyter,24 september 1932,19 juni 1936,Socialdemokraterna
Försvarsminister,,Ivar Vennerström,24 september 1932,19 juni 1936,Socialdemokraterna
Socialminister,,Gustav Möller,24 september 1932,19 juni 1936,Socialdemokraterna
Kommunikationsminister,,Henning Leo,24 september 1932,19 juni 1936,Socialdemokraterna
Ecklesiastikminister,,Arthur Engberg,24 september 1932,19 juni 1936,Socialdemokraterna
Jordbruksminister,,Per Edvin Sköld,24 september 1932,19 juni 1936,Socialdemokraterna
Handelsminister,,Fritjof Ekman,24 september 1932,19 juni 1936,Socialdemokraterna
Konsultativt statsråd,,Östen Undén,24 september 1932,19 juni 1936,Socialdemokraterna
Konsultativt statsråd,,Torsten Nothin,24 september 1932,16 september 1933,Socialdemokraterna
Konsultativt statsråd,,Karl Levinson,16 september 1933,19 juni 1936,Partilös
