Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Rickard Sandler,24 januari 1925,7 juni 1926,Socialdemokraterna
Utrikesminister,,Östen Undén,24 januari 1925,7 juni 1926,Socialdemokraterna
Justitieminister,,Torsten Nothin,24 januari 1925,7 juni 1926,Socialdemokraterna
Försvarsminister,,Per Albin Hansson,24 januari 1925,7 juni 1926,Socialdemokraterna
Socialminister,,Gustav Möller,24 januari 1925,7 juni 1926,Socialdemokraterna
Kommunikationsminister,,Viktor Larsson,24 januari 1925,7 juni 1926,Socialdemokraterna
Finansminister,,Fredrik Vilhelm Thorsson,24 januari 1925,5 maj 1925,Socialdemokraterna
Finansminister,,Ernst Wigforss,8 maj 1925,7 juni 1926,Socialdemokraterna
Ecklesiastikminister,,Olof Olsson,24 januari 1925,7 juni 1926,Socialdemokraterna
Jordbruksminister,,Sven Linders,24 januari 1925,7 juni 1926,Socialdemokraterna
Handelsminister,,Rickard Sandler,24 januari 1925,27 februari 1925,Socialdemokraterna
Handelsminister,,Carl Svensson,27 februari 1925,7 juni 1926,Socialdemokraterna
Konsultativt statsråd,,Karl Levinson,24 januari 1925,7 juni 1926,Partilös
Konsultativt statsråd,,Ernst Wigforss,24 januari 1925,8 maj 1925,Socialdemokraterna
Konsultativt statsråd,,Karl Schlyter,8 maj 1925,7 juni 1926,Socialdemokraterna
