Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Thorbjörn Fälldin*,22 maj 1981,8 oktober 1982,Centerpartiet
Justitieminister,,Carl Axel Petri*,22 maj 1981,8 oktober 1982,Partilös
Utrikes- och biståndsminister samt vice statsminister,,Ola Ullsten*,22 maj 1981,8 oktober 1982,Folkpartiet
Försvarsminister,,Torsten Gustafsson*,22 maj 1981,8 oktober 1982,Centerpartiet
Socialminister,,Karin Söder*,22 maj 1981,8 oktober 1982,Centerpartiet
Sjukvårdsminister,,Karin Ahrland,22 maj 1981,8 oktober 1982,Folkpartiet
Kommunikationsminister,,Claes Elmstedt*,22 maj 1981,8 oktober 1982,Centerpartiet
Budgetminister,,Rolf Wirtén*,22 maj 1981,8 oktober 1982,Folkpartiet
Personal- och löneminister,,Olof Johansson,22 maj 1981,8 oktober 1982,Centerpartiet
Ekonomiminister,,Rolf Wirtén*,22 maj 1981,8 oktober 1982,Folkpartiet
Utbildningsminister,,Jan-Erik Wikström*,22 maj 1981,8 oktober 1982,Folkpartiet
Skol- och ungdomsminister,,Ulla Tillander,22 maj 1981,8 oktober 1982,Centerpartiet
Jordbruksminister,,Anders Dahlgren*,22 maj 1981,4 oktober 1982,Centerpartiet
Jordbruksminister,,Claes Elmstedt (t.f.)*,4 oktober 1982,8 oktober 1982,Centerpartiet
Handelsminister och  minister för nordiskt samarbete,,Björn Molin*,22 maj 1981,8 oktober 1982,Folkpartiet
Arbetsmarknads- och energiminister,,Ingemar Eliasson*,22 maj 1981,8 oktober 1982,Folkpartiet
Invandrar- och jämställdhetsminister,,Karin Andersson,22 maj 1981,8 oktober 1982,Centerpartiet
Bostadsminister,,Birgit Friggebo*,22 maj 1981,8 oktober 1982,Folkpartiet
Industriminister,,Nils G. Åsling*,22 maj 1981,8 oktober 1982,Centerpartiet
Kommun- och kyrkominister,,Karl Boo*,22 maj 1981,8 oktober 1982,Centerpartiet
