Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Per Albin Hansson,28 september 1936,13 december 1939,Socialdemokraterna
Finansminister,,Ernst Wigforss,28 september 1936,13 december 1939,Socialdemokraterna
Utrikesminister,,Rickard Sandler,28 september 1936,13 december 1939,Socialdemokraterna
Justitieminister,,Karl Gustaf Westman,28 september 1936,13 december 1939,Bondeförbundet
Försvarsminister,,Janne Nilsson,28 september 1936,9 december 1938,Bondeförbundet
Försvarsminister,,Per Edvin Sköld,16 december 1938,13 december 1939,Socialdemokraterna
Socialminister,,Gustav Möller,28 september 1936,16 december 1938,Socialdemokraterna
Socialminister,,Albert Forslund,16 december 1938,13 december 1939,Socialdemokraterna
Kommunikationsminister,,Albert Forslund,28 september 1936,16 december 1938,Socialdemokraterna
Kommunikationsminister,,Gerhard Strindlund,16 december 1938,13 december 1939,Bondeförbundet
Ecklesiastikminister,,Arthur Engberg,28 september 1936,13 december 1939,Socialdemokraterna
Jordbruksminister,,Axel Pehrsson-Bramstorp,28 september 1936,13 december 1939,Bondeförbundet
Handelsminister,,Per Edvin Sköld,28 september 1936,16 december 1938,Socialdemokraterna
Handelsminister,,Gustav Möller,16 december 1938,13 december 1939,Socialdemokraterna
Folkhushållningsminister,,Herman Eriksson,15 oktober 1939,13 december 1939,Socialdemokraterna
Juristkonsult,,Nils Quensel,28 september 1936,13 december 1939,Partilös
Juristkonsult,,Karl Levinson,28 september 1936,31 augusti 1938,Socialdemokraterna
Juristkonsult,,Herman Eriksson,31 augusti 1938,14 oktober 1939,Socialdemokraterna
Juristkonsult,,Gunnar Hägglöf,14 oktober 1939,13 december 1939,Partilös
