Ämbete,Minister,Minister,Tillträdde,Avgick,Parti
Minister för nordiskt samarbete,,Kjell-Olof Feldt*,3 oktober 1970,1 november 1975,Socialdemokraterna
Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1],Inrikesdepartementet/Arbetsmarknadsdepartementet[n 1]
Inrikesminister,,Eric Holmqvist*,14 oktober 1969,3 november 1973,Socialdemokraterna
Inrikesminister,,Ingemund Bengtsson*,3 november 1973,31 december 1973,Socialdemokraterna
Arbetsmarknadsminister,,Ingemund Bengtsson*,1 januari 1974,8 oktober 1976,Socialdemokraterna
Invandrar- och jämställdhetsminister,,Anna-Greta Leijon,3 november 1973,8 oktober 1976,Socialdemokraterna
Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2],Bostadsdepartementet[n 2]
Bostadsminister,,Ingvar Carlsson*,3 november 1973,8 oktober 1976,Socialdemokraterna
Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3],Civildepartementet/Kommundepartementet[n 3]
Civilminister,,Svante Lundkvist*,14 oktober 1969,3 november 1973,Socialdemokraterna
Civilminister,,Hans Gustafsson*,3 november 1973,31 december 1973,Socialdemokraterna
Kommunminister,,Hans Gustafsson*,1 januari 1974,8 oktober 1976,Socialdemokraterna
Kyrkominister,,Hans Gustafsson*,3 november 1973,8 oktober 1976,Socialdemokraterna
Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet,Industridepartementet
Industriminister,,Krister Wickman*,14 oktober 1969,30 juni 1971,Socialdemokraterna
Industriminister,,Rune B. Johansson*,30 juni 1971,8 oktober 1976,Socialdemokraterna
Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4],Konsultativa statsråd[n 4]
Juristkonsult,,Sven-Eric Nilsson,14 oktober 1969,30 juni 1973,Socialdemokraterna
Juristkonsult,,Carl Lidbom,14 oktober 1969,31 december 1974,Socialdemokraterna
