Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Arvid Lindman,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Justitieminister,,Georg Bissmark,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Utrikesminister,,Ernst Trygger,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Försvarsminister,,Harald Malmberg,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Socialminister,,Sven Lübeck,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Kommunikationsminister,,Theodor Borell,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Finansminister,,Nils Wohlin,2 oktober 1928,10 juni 1929,Allmänna valmansförbundet
Finansminister,,Adolf Dahl,10 juni 1929,7 juni 1930,Allmänna valmansförbundet
Ecklesiastikminister,,Claes Lindskog,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Jordbruksminister,,Johan Bernhard Johansson,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Handelsminister,,Vilhelm Lundvik,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Konsultativt statsråd,,August Beskow,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
Konsultativt statsråd,,Nils Vult von Steyern,2 oktober 1928,7 juni 1930,Allmänna valmansförbundet
