Titel,Namn,Namn,Tillträdde,Avgick,Parti,Ref
Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen
Statsminister,,Stefan Löfven*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
EU-minister,,Hans Dahlgren,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet,Justitiedepartementet
Justitie- och migrationsminister,,Morgan Johansson*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Inrikesminister,,Mikael Damberg,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet,Utrikesdepartementet
Utrikesminister,,Ann Linde*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Minister för internationellt utvecklingssamarbete,,Per Olsson Fridh,9 juli 2021,innehar fortfarande ämbetet,Miljöpartiet,[17]
Utrikeshandelsminister ochminister med ansvar för nordiska frågor,,Anna Hallberg,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet,Försvarsdepartementet
Försvarsminister,,Peter Hultqvist*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet,Socialdepartementet
Socialminister,,Lena Hallengren*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Socialförsäkringsminister,,Ardalan Shekarabi,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet,Finansdepartementet
Finansminister,,Magdalena Andersson*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Civilminister,,Lena Micko,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Finansmarknadsminister och biträdande finansminister,,Åsa Lindhagen,9 juli 2021,innehar fortfarande ämbetet,Miljöpartiet,[17]
Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet,Utbildningsdepartementet
Utbildningsminister,,Anna Ekström*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Minister för högre utbildning och forskning,,Matilda Ernkrans,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet,Miljödepartementet
Miljö- och klimatminister samt vice statsminister¹,,Per Bolund*,9 juli 2021,innehar fortfarande ämbetet,Miljöpartiet,[17]
Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet,Näringsdepartementet
Näringsminister,,Ibrahim Baylan*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet,Kulturdepartementet
Kultur- och demokratiminister samtminister med ansvar för idrottsfrågorna,,Amanda Lind*,9 juli 2021,innehar fortfarande ämbetet,Miljöpartiet,[17]
Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet,Arbetsmarknadsdepartementet
Arbetsmarknadsminister,,Eva Nordmark*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Jämställdhets- och bostadsminister med ansvar för stadsutveckling ocharbetet mot segregation och diskriminering,,Märta Stenevi,9 juli 2021,innehar fortfarande ämbetet,Miljöpartiet,[17]
Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet,Infrastrukturdepartementet
Infrastrukturminister,,Tomas Eneroth*,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
Energi- och digitaliseringsminister,,Anders Ygeman,9 juli 2021,innehar fortfarande ämbetet,Socialdemokraterna,[17]
