Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen,Statsrådsberedningen
Statsminister,,Olof Palme*,1982,1986,Socialdemokraterna
Vice statsminister,,Ingvar Carlsson*,1982,1986,Socialdemokraterna
Miljöminister,,Ingvar Carlsson*,1985,1986,Socialdemokraterna
Justitieminister,,Ove Rainer*,1982,1983,Socialdemokraterna
Justitieminister,,Sten Wickbom*,1983,1986,Socialdemokraterna
Utrikesminister,,Lennart Bodström*,1982,1985,Socialdemokraterna
Utrikesminister,,Sten Andersson*,1985,1986,Socialdemokraterna
Biståndsminister,,Lennart Bodström*,1982,1985,Socialdemokraterna
Biståndsminister,,Lena Hjelm-Wallén,1985,1986,Socialdemokraterna
Utrikeshandelsminister,,Mats Hellström,1983,1986,Socialdemokraterna
Försvarsminister,,Börje Andersson*,1982,1982,Socialdemokraterna
Försvarsminister,,Curt Boström (t.f.)*,1982,1983,Socialdemokraterna
Försvarsminister,,Anders Thunborg*,1983,1985,Socialdemokraterna
Försvarsminister,,Roine Carlsson*,1985,1986,Socialdemokraterna
Socialminister,,Sten Andersson*,1982,1985,Socialdemokraterna
Socialminister,,Gertrud Sigurdsen*,1985,1986,Socialdemokraterna
Hälsovårdsminister,,Gertrud Sigurdsen,1982,1985,Socialdemokraterna
Familje- och handikappminister,,Bengt Lindqvist,1985,1986,Socialdemokraterna
Ekonomi- och budgetminister,,Kjell-Olof Feldt*,1982,1982,Socialdemokraterna
Finansminister,,Kjell-Olof Feldt*,1983,1986,Socialdemokraterna
Löne- och konsumentminister,,Bengt K.Å. Johansson,1985,1986,Socialdemokraterna
Utbildningsminister,,Lena Hjelm-Wallén*,1982,1985,Socialdemokraterna
Utbildningsminister,,Lennart Bodström*,1985,1986,Socialdemokraterna
Skol- och kulturminister,,Bengt Göransson,1982,1986,Socialdemokraterna
Jordbruksminister och  minister för nordiskt samarbete,,Svante Lundkvist*,1982,1986,Socialdemokraterna
Industriminister,,Thage G. Peterson*,1982,1986,Socialdemokraterna
Biträdande industriminister,,Roine Carlsson,1982,1985,Socialdemokraterna
Energiminister,,Birgitta Dahl,1982,1986,Socialdemokraterna
Bostadsminister,,Hans Gustafsson*,1982,1986,Socialdemokraterna
Arbetsmarknadsminister,,Anna-Greta Leijon*,1982,1986,Socialdemokraterna
Invandrar- och jämställdhetsminister,,Anita Gradin,1982,1986,Socialdemokraterna
Kommunikationsminister,,Curt Boström*,1982,1985,Socialdemokraterna
Kommunikationsminister,,Sven Hulterström*,1985,1986,Socialdemokraterna
Kommun- och kyrkominister,,Bo Holmberg*,1982,1982,Socialdemokraterna
Civil- och kyrkominister,,Bo Holmberg*,1983,1986,Socialdemokraterna
Handelsminister,,Lennart Bodström*,1982,1982,Socialdemokraterna
