Titel,Namn,Namn,Tillträdde,Avgick,Parti
Statsminister,,Axel Pehrsson-Bramstorp,19 juni 1936,28 september 1936,Bondeförbundet
Utrikesminister,,Karl Gustaf Westman,19 juni 1936,28 september 1936,Bondeförbundet
Justitieminister,,Thorwald Bergquist,19 juni 1936,28 september 1936,Partilös
Försvarsminister,,Janne Nilsson,19 juni 1936,28 september 1936,Bondeförbundet
Socialminister,,Gerhard Strindlund,19 juni 1936,28 september 1936,Bondeförbundet
Kommunikationsminister,,Arthur Heiding,19 juni 1936,28 september 1936,Bondeförbundet
Finansminister,,Vilmar Ljungdahl,19 juni 1936,28 september 1936,Bondeförbundet
Ecklesiastikminister,,Tor Andræ,19 juni 1936,28 september 1936,Partilös
Jordbruksminister,,Axel Pehrsson-Bramstorp,19 juni 1936,28 september 1936,Bondeförbundet
Handelsminister,,Elof Ericsson,19 juni 1936,28 september 1936,Partilös
Konsultativt statsråd,,Nils Quensel,19 juni 1936,28 september 1936,Partilös
Konsultativt statsråd,,Sture Centerwall,19 juni 1936,28 september 1936,Partilös
Konsultativt statsråd,,Tage Gynnerstedt,19 juni 1936,28 september 1936,Bondeförbundet
