Ämbete,Minister,Minister,Tillträdde,Avgick,Parti
Statsminister,,Per Albin Hansson,31 juli 1945,6 oktober 1946,Socialdemokraterna
Justitieminister,,Herman Zetterberg,31 juli 1945,6 oktober 1946,Socialdemokraterna
Utrikesminister,,Östen Undén,31 juli 1945,6 oktober 1946,Socialdemokraterna
Försvarsminister,,Allan Vougt,31 juli 1945,6 oktober 1946,Socialdemokraterna
Socialminister,,Gustav Möller,31 juli 1945,6 oktober 1946,Socialdemokraterna
Kommunikationsminister,,Torsten Nilsson,31 juli 1945,6 oktober 1946,Socialdemokraterna
Finansminister,,Ernst Wigforss,31 juli 1945,6 oktober 1946,Socialdemokraterna
Ecklesiastikminister,,Tage Erlander,31 juli 1945,6 oktober 1946,Socialdemokraterna
Jordbruksminister,,Per Edvin Sköld,31 juli 1945,6 oktober 1946,Socialdemokraterna
Handelsminister,,Gunnar Myrdal,31 juli 1945,6 oktober 1946,Socialdemokraterna
Folkhushållningsminister,,Axel Gjöres,31 juli 1945,6 oktober 1946,Socialdemokraterna
Juristkonsult,,Gunnar Danielson,31 juli 1945,6 oktober 1946,Partilös
Juristkonsult,,Nils Quensel,31 juli 1945,6 oktober 1946,Partilös
Bitr. socialminister,,Eije Mossberg,31 juli 1945,6 oktober 1946,Socialdemokraterna
Bitr. jordbruksminister,,Gunnar Sträng,31 juli 1945,6 oktober 1946,Socialdemokraterna
Bränsleminister,,John Ericsson i Kinna,31 juli 1945,6 oktober 1946,Socialdemokraterna
