pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-1aa23f0629a17ad9,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-74398e692379faf9,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-605f0e837a7064b2,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-05c8cdfb30c72a71,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-72d93f3e24f5dafe,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-f3e630cf9387eb02,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-3d72601959285ed9,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-1ceff590ac03178e,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-a67a6a065c700030,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-93aae27557e3a838,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-957b0454de091382,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-f754180a440e2907,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-99bce1f38598f3f5,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-89643b4098d8b75a,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-5051de24e4e0e0ab,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-0765802d43a54fa3,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-6e69e168f4d69453,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-f386eadc77e4da88,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-3aa7a41d3be82e44,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-b64669790e6e1920,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-7a66ce124af49e7d,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-8b53a232c8b0bb06,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-c6974d1f23098376,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-7cb61d40a2771ff9,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-15fb381843cbf2c7,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-86246b8992bab555,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-1654bb73f20af36c,prot-198586--73
fcfff492e00727b6,Stockholm,Helsingfors,i-5ef8058a41f54772,prot-198586--73
