pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-ed659213b18ae384,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-aa5633a31b8730f4,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-8f452c5b10127332,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-5a83d63569bef539,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-01f781329a2f09ab,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-d57b3fee80622e99,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-a71fd7863b33793a,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-307b7a3fce8c5d51,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-95a306018969b1b8,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-9f2e718ab43a5e40,prot-198586--50
fcfff492e00727b6,Stockholm,Helsingfors,i-43df145c14ffa579,prot-198586--50
