file_path,id
corpus/protocols/1880/prot-1880--ak--1.xml,i-b2GQVkodB2ZUhdC9HDt9G
corpus/protocols/1880/prot-1880--ak--1.xml,i-Y2qH2j4Wp2ZJnNLKfRs4mn
corpus/protocols/1880/prot-1880--ak--1.xml,i-Uwo5mDsZfBzDLutuTmUyXj
corpus/protocols/1880/prot-1880--ak--1.xml,i-AbaRGV3umAz5f2Dxo25YfE
corpus/protocols/1880/prot-1880--ak--1.xml,i-SV1gqctmEbNWDF7eYYvd67
corpus/protocols/1880/prot-1880--ak--10.xml,i-8UxaRPVsXZhi81v4C9Xf6D
corpus/protocols/1880/prot-1880--ak--10.xml,i-3a8wwjMvG33qw2aBs6dY2N
corpus/protocols/1880/prot-1880--ak--10.xml,i-Vd1pJwHd8EAR38b4V1TZWb
corpus/protocols/1880/prot-1880--ak--10.xml,i-WuDyYZVStFVD4j7hNZY6jQ
corpus/protocols/1880/prot-1880--ak--10.xml,i-5K42ssDLAUFDzvGUJCfeZ7
corpus/protocols/1880/prot-1880--ak--11.xml,i-KuxW4zjjkjhSNBNtFgd52X
corpus/protocols/1880/prot-1880--ak--11.xml,i-L76GYRFnj4iKiJMQoqg7Tw
corpus/protocols/1880/prot-1880--ak--11.xml,i-U9EpuFojDpXXpbYyxrfZbf
corpus/protocols/1880/prot-1880--ak--11.xml,i-RFSzTy8PVwEFDGV8pLwZ3
corpus/protocols/1880/prot-1880--ak--11.xml,i-SqyPbBwGqxkp8VrJbwvTRY
corpus/protocols/1880/prot-1880--ak--11.xml,i-X63VUQCmsfcr1HhZhACQN1
corpus/protocols/1880/prot-1880--ak--11.xml,i-8VHv4D5fAQwkGX39DNKN8P
corpus/protocols/1880/prot-1880--ak--11.xml,i-9ZgsNP5a9ViYBaiuofmykw
corpus/protocols/1880/prot-1880--ak--11.xml,i-FbeP7q7fodDRYBYYxGdHD5
corpus/protocols/1880/prot-1880--ak--11.xml,i-9YyzfMufQTjs9gVxiVDf18
corpus/protocols/1880/prot-1880--ak--11.xml,i-Gfz1sTX1Uv4AgT7zpeVnnf
corpus/protocols/1880/prot-1880--ak--11.xml,i-FHz4rDswNwRh8u7vT3o4ET
corpus/protocols/1880/prot-1880--ak--11.xml,i-592Eka1WcnPn4giCJ5Ga5f
corpus/protocols/1880/prot-1880--ak--11.xml,i-TkrztETZFMAXqrL9x8NMcg
corpus/protocols/1880/prot-1880--ak--11.xml,i-H1cMhn1Qe6kgRKNP1fBgJ9
corpus/protocols/1880/prot-1880--ak--11.xml,i-SjBtVAHUaMGZ7C54pi3Zxg
corpus/protocols/1880/prot-1880--ak--11.xml,i-Bte9Rw5TQiN793FzuSPAP1
corpus/protocols/1880/prot-1880--ak--11.xml,i-KzgEL9MawJdGFTX8XPBURp
corpus/protocols/1880/prot-1880--ak--11.xml,i-MohzGawACJy9Vk1T6VY84f
corpus/protocols/1880/prot-1880--ak--11.xml,i-529koMJpXBrqsFfsUBy8Cm
corpus/protocols/1880/prot-1880--ak--11.xml,i-6HGhMLa4PwpDGGbnHVL9jA
corpus/protocols/1880/prot-1880--ak--11.xml,i-7ocAY3RoV1rTJZkHuzjbVo
corpus/protocols/1880/prot-1880--ak--12.xml,i-Hdm3g36syWftJhyguH4ZE5
corpus/protocols/1880/prot-1880--ak--12.xml,i-JECVaNtKSV9rvGsBRqRmH4
corpus/protocols/1880/prot-1880--ak--12.xml,i-FprRNY6NjuSEn6thmd2Amx
corpus/protocols/1880/prot-1880--ak--12.xml,i-6JNssF3f1RsW6F3yXqqLLB
corpus/protocols/1880/prot-1880--ak--12.xml,i-JSqY7BFxBzCssiBMDvq1D4
corpus/protocols/1880/prot-1880--ak--12.xml,i-MaeBbFXDj9B1oZY3M1KDQh
corpus/protocols/1880/prot-1880--ak--12.xml,i-D2JAd4MLARtetpma1v3Kwd
corpus/protocols/1880/prot-1880--ak--12.xml,i-JUMaiaSW5g55iHwiaeMJMt
corpus/protocols/1880/prot-1880--ak--12.xml,i-L83mAH3y2wbghe5zg3nHF8
corpus/protocols/1880/prot-1880--ak--12.xml,i-CMtCiUuHizPAzufZMVFZDF
corpus/protocols/1880/prot-1880--ak--12.xml,i-HrExkf27rc5Z6Z1gmNZqYA
corpus/protocols/1880/prot-1880--ak--12.xml,i-8PtY2fKWmEEPzytFLQM9zR
corpus/protocols/1880/prot-1880--ak--12.xml,i-MHTgVpH64JHQKMPr85xxgX
corpus/protocols/1880/prot-1880--ak--12.xml,i-EpQyykGZJfUfpRpXVfaa2H
corpus/protocols/1880/prot-1880--ak--12.xml,i-4EFjrw3ctU5t1wpFU9oUKo
