protocol,xml_id1,xml_id2
corpus/protocols/198586/prot-198586--140.xml,i-13PJs3Z2DUUivKPwxyBq7v,i-5x9RTeeE8Y5Noxf1nYGWmk
corpus/protocols/198586/prot-198586--142.xml,i-LWHnhHLxJ4RHtmvGB2PSDs,i-W6AWUZzFG9Xfgj2ZuEELDD
corpus/protocols/198586/prot-198586--148.xml,i-XELB7BootnVozZqr5rtzaj,i-JjmVsxc8qiD7QuHfuU9v5P
corpus/protocols/198586/prot-198586--22.xml,i-KB4QHpkTGWegXRTWfEUPhf,i-HudqPE8RihFRfEpxymzYnv
corpus/protocols/198687/prot-198687--103.xml,i-4VteEEHsyiCVBMnTirKAgM,i-4vr5M1aTqEJ6MUFwP6qvMD
corpus/protocols/198687/prot-198687--131.xml,i-JKi8QakGReYpLHtdJvfGAp,i-5itsz549aSLqN5U3iaofnN
corpus/protocols/198687/prot-198687--36.xml,i-P1EYmXs1MhNYcKs41q9b3w,i-3nMEsm3YysJsGx9wpCTiEp
corpus/protocols/198687/prot-198687--46.xml,i-72XdSAFG4Fkwo16BTZSeGz,i-JRx9igRobHvawLwv86E8hU
corpus/protocols/198687/prot-198687--50.xml,i-Q6xtN48grkmEBNatGvWLnP,i-J8zvjW3NTHu8FJc3JisjYb
corpus/protocols/198687/prot-198687--7.xml,i-8Exm4NpwKwLBPLJMXaAwp5,i-HfW6wktpNeYJFVY2gtGeKq
corpus/protocols/198687/prot-198687--89.xml,i-55Da8GzQUn4nvPgGX8MbrH,i-CFHk9XbGsEaJQzAo35R6gA
corpus/protocols/198788/prot-198788--114.xml,i-7J5gjYbBTSsJpXLG89JoUE,i-DAqVv8AtSquy2BdsEKExYR
corpus/protocols/198788/prot-198788--115.xml,i-6GUPP1kMsrxnN8eAjAw9jS,i-C9MxPJjgzkqZ5ZCrchPB8W
corpus/protocols/198788/prot-198788--31.xml,i-yPAgQBDX9PEHfX5rMrpwn,i-6GtpYbZqFDe9TCPJhsdQaz
corpus/protocols/198788/prot-198788--90.xml,i-7oS9ehW1iafiEpay5T43jA,i-TVDX9ePhjiSSjoRs5ga8AF
corpus/protocols/198788/prot-198788--94.xml,i-MhBg7CXWFVKrE6gt8Gohfx,i-RPMWhHY4KYbdwmZ8eCYJGu
corpus/protocols/198889/prot-198889--20.xml,i-XKDR2w4bb8bun24HbPofY5,i-S5v3ArkKzwqRZhCaV3mc7S
corpus/protocols/198889/prot-198889--36.xml,i-Ay5DA6HBcpaQSnhfXS1AdT,i-3FyA6f1kvWkERvRcRAHog1
corpus/protocols/198889/prot-198889--45.xml,i-5NP8AEoRS9uKm1yATZSyWL,i-JCLstFhMGWpJTEk8xzJNMJ
corpus/protocols/198889/prot-198889--45.xml,i-3KN9MAcgeyK5PTfMh32zDV,i-BS3JYSsLznPXHpHKekbfkf
corpus/protocols/198889/prot-198889--62.xml,i-72xWuFLjipaErBJbLfR3Zp,i-EmvMqDaAWouPYJM6nwBEpS
corpus/protocols/198889/prot-198889--95.xml,i-BrYqHkFPbWv7eYq1nzwrF7,i-6SQwrgqxb5ee1LvGDZGRth
corpus/protocols/198990/prot-198990--132.xml,i-51rqPBHW7NMWKPweL2NiRa,i-8Wnkv16BpZvSWZsfqv9Xt4
corpus/protocols/198990/prot-198990--140.xml,i-Sc3wWEXHt2qrw5c3Gwf887,i-5ntrtuN72EBZot9ACUKThR
corpus/protocols/198990/prot-198990--49.xml,i-HRwvr7xsLcqdePhj839uBC,i-AuaiBtDceDoBx5Lx4bd7GX
corpus/protocols/198990/prot-198990--8.xml,i-SPvPAfJN4grxwuVcJXRV4j,i-Rb42U4pNnLK5juP6o5UEE6
corpus/protocols/198990/prot-198990--8.xml,i-KGyKjVfAESrShKt1msB5iD,i-2heSAiMw8MNP57cvyTVxic
corpus/protocols/198990/prot-198990--85.xml,i-6xKH7pTowNE1v2ZhLwqiKL,i-QQ5dka7Y1WzhFnNjWg3hHn
corpus/protocols/198990/prot-198990--90.xml,i-M5NmkEj2dVKQr6KU5fJZE7,i-M6aWeC3SyPf13CiAqKh8ij
corpus/protocols/198990/prot-198990--95.xml,i-Rry6rZZoRUyocdYUZfsayo,i-5rgQoB6TyYcaLk12XEGj9M
corpus/protocols/199091/prot-199091--10.xml,i-7JTdqX22B6ecXdyvcHxp97,i-EBTNu1niKzSPG8LnNq5DZv
corpus/protocols/199091/prot-199091--10.xml,i-WGcAwxrtZRQcRDXoR7LBeF,i-8arYtiHGcnMX6QD2V292NZ
corpus/protocols/199091/prot-199091--10.xml,i-KnehLuvtpbYY9RbUEBdU7j,i-N2b8xuK5tkFFwtGDxa8SSQ
corpus/protocols/199091/prot-199091--10.xml,i-NYsydwN7QZLtpNHGprAtha,i-BUSmcJjRRyfGLn8ACdoAUh
corpus/protocols/199091/prot-199091--10.xml,i-BDY6CHdUPvY7HxF5HaoJJu,i-F8UYr5TcrS4w4GgMxUmXQW
corpus/protocols/199091/prot-199091--10.xml,i-MQbf5Xy1n9qcaqDQV4RLJP,i-6CLpY8TpF6kNjGCz9cGdMW
corpus/protocols/199091/prot-199091--10.xml,i-Lq92cngDDJ4pec7fLL8wHK,i-A4AWv8upf5R5KMVxsdFjff
corpus/protocols/199091/prot-199091--10.xml,i-7AYYCodN3vby7Vo2R7MZq4,i-JLLn7zc6oPnnoXzbWxHAjz
corpus/protocols/199091/prot-199091--10.xml,i-JX11nTRUZP1LCYaQirpkUz,i-SwZvjmTTBKCHmeW2Y9ZJLg
corpus/protocols/199091/prot-199091--10.xml,i-3KDN7utjh8LohftA1rTSwR,i-MpkvJxqDYCqCr4bMHGVL5f
corpus/protocols/199091/prot-199091--10.xml,i-J2YL4dNCFk9FdAaYfiY2mX,i-BvTWEKHhqXyAZdKJcmWNsN
corpus/protocols/199091/prot-199091--10.xml,i-VT83D7Qs5zEvwWsZdwswe5,i-JKn6JVZ8VFRVRx1nau7D3b
corpus/protocols/199091/prot-199091--10.xml,i-NgsMbpJfLEkGQo4ZbwV3ho,i-45MXCA4FAZuE4HxA1i8fZT
corpus/protocols/199091/prot-199091--10.xml,i-2PzybBzgY8gUSNJXgW8E6D,i-R8xvRzKJVCAKoKtfuGbbsj
corpus/protocols/199091/prot-199091--10.xml,i-EDYMFSrVvTz5SXMMcgZAzG,i-JUwygdygSgPiJQqrsTbPto
corpus/protocols/199091/prot-199091--10.xml,i-B5fE5i1RpJdKaKBUfog9BK,i-R8LZgWvtLwubHVwAKyrchy
corpus/protocols/199091/prot-199091--10.xml,i-Kb62YbhxWasSNimgkBYz7f,i-538kCMqxk7k9TFMAjAgXJV
corpus/protocols/199091/prot-199091--10.xml,i-USB3T46uWnaKH85BMkb3eC,i-UJZpsuAFW639PVrXFK6RR4
corpus/protocols/199091/prot-199091--10.xml,i-V68iRuX7B8y5YF2m2rhYt3,i-Nsgv2fC4URLJoXZ1EWvCs4
corpus/protocols/199091/prot-199091--10.xml,i-4wRf4dZBrdHNK1rYxq6crD,i-RZe6916dEH45ap3UVYe5vK
corpus/protocols/199091/prot-199091--10.xml,i-XsxtnsoF8Y5vGkws9xi98Z,i-V2ub9udeHUZCd94n42jPy3
corpus/protocols/199091/prot-199091--10.xml,i-E4pf6N1GJoSD3xBk8Hvmdv,i-VvPJ1dVBw5nuZgAbv47CCj
corpus/protocols/199091/prot-199091--10.xml,i-VXL9ggPFseufwqske4uAD7,i-2DWR6XRv5DzuA72owFPftW
corpus/protocols/199091/prot-199091--10.xml,i-4RKEdpLSV3HcYZmRA5n2w5,i-DBukuAHUDEcTCanGD1LXaJ
corpus/protocols/199091/prot-199091--10.xml,i-Q7PPSYsG6HhV63YBG2d1LM,i-5KDq67z2B7dRRqrc4AT7KS
corpus/protocols/199091/prot-199091--10.xml,i-Beh2j3UXteFXJ3DWfSh284,i-9TedPuLHRk7maNkbwNEfxf
corpus/protocols/199091/prot-199091--10.xml,i-9uFBo4ZGd9ZsEv5Y5A5V3E,i-7LPkdmjRUnnjrAicTLerLH
corpus/protocols/199091/prot-199091--10.xml,i-T5LAQjhHgqRKbs6EPixgvK,i-CH9wByTHAxXnnRe3reQT95
corpus/protocols/199091/prot-199091--10.xml,i-5H5Cd4yM6AFFq1AWGZRYtc,i-1jrxoHUdhPN4vq4ZqaG72
corpus/protocols/199091/prot-199091--10.xml,i-TMeLuuAok2eQ6NSRYdQpQQ,i-WoQMfzsjAUuuBBx7JDGNAn
corpus/protocols/199091/prot-199091--10.xml,i-CTUcFTN7ji3gvvk5UGMY4i,i-7PfirV2ppbRqbmQ9fdigto
corpus/protocols/199091/prot-199091--10.xml,i-7hvBiCjqQkYvT4LoSTBowP,i-KLxkWsbWFXh6eYDK8aiJMM
corpus/protocols/199091/prot-199091--10.xml,i-U6REX4EFcQHN9jLgYyZLYf,i-7JTvdd2hvxELTBP33CVxFr
corpus/protocols/199091/prot-199091--10.xml,i-XBVWGwiHo7obnuBwyYb3uv,i-7BQKAhtWBEQ3a24aUEjaVT
corpus/protocols/199091/prot-199091--10.xml,i-J3WUuSfbH3yYpEhwTPhPuQ,i-JkDR14eLVCYcCx4eUrG13Z
corpus/protocols/199091/prot-199091--10.xml,i-BmKiZg3dcbbNMWtjfXquR,i-GSrKkgaUBYJd3eS4fdVpXL
corpus/protocols/199091/prot-199091--10.xml,i-Pevs7vVAHTPRNE1QyJKzfo,i-Diui8rLbkse3k1U3vdzGmB
corpus/protocols/199091/prot-199091--10.xml,i-JU4FNt5CEHdn2xswfKAe1J,i-Muyg7DBJdrsWoeR6w95nJH
corpus/protocols/199091/prot-199091--10.xml,i-E9YjFhbg9c8eny8BLSvL9J,i-HMuUyNBwWQQdAwwBZjQwva
corpus/protocols/199091/prot-199091--10.xml,i-3kGXWfhwcZaVNAvc5uRp26,i-Dqo4kkHMhmnxoKb4yPTLQP
corpus/protocols/199091/prot-199091--10.xml,i-5w32D5Qcqn2X7VeC9ZSafL,i-4pZaLNppJLXeNL4nwzfiK1
corpus/protocols/199091/prot-199091--10.xml,i-YSLJdJoqmNpskJqeYkcacv,i-3aLq6uFM8EKjUZ6fox1WgP
corpus/protocols/199091/prot-199091--10.xml,i-KKEQ2raLgCqgJVjap2pReu,i-8hDEwRgVscF8nwRN8Rbyno
corpus/protocols/199091/prot-199091--100.xml,i-X8QfVXbCeGebkoPrWRkJpE,i-VdnzvHokk6w7Y1Bk8ad3yG
corpus/protocols/199091/prot-199091--100.xml,i-XKGVoeB3EcW3D74XKq2pfv,i-7SNggCT3kiWJ8uNmLiuecX
corpus/protocols/199091/prot-199091--100.xml,i-YMFs6wT4k3iCwfvUczncYi,i-LgHkwu6eKNUcNs8RCd6YSk
corpus/protocols/199091/prot-199091--100.xml,i-SEwmN4H8kVQVoWhci77ELt,i-2YtmQhTGUaKZMEgasgLHsn
corpus/protocols/199091/prot-199091--100.xml,i-3Re9R9g6qS8rykNpP2ckpS,i-A5RcnqYcm2Zewab7sDAjUR
corpus/protocols/199091/prot-199091--100.xml,i-42NkrvrYsZdhFMogetGf2n,i-MUmKW7ne6wZzkxz3AY7moz
corpus/protocols/199091/prot-199091--100.xml,i-N6TKVqwGLw6qSr6WgyMCbE,i-3uVFpeXgDLhjMi8S6zH6pM
corpus/protocols/199091/prot-199091--100.xml,i-3LjS74pMnDxXtKFykw3dfZ,i-RzRPGZe45FM7LuPL9HDzk2
corpus/protocols/199091/prot-199091--100.xml,i-9HdRvDWWBcKhcMKSzmEjG5,i-HfKP9kxVAu2moPCq2xm7Fi
corpus/protocols/199091/prot-199091--100.xml,i-EbiJ2fCPYYVQ4jPbysVKYP,i-NCmuRVQqeMNUWTe91AjhMZ
corpus/protocols/199091/prot-199091--100.xml,i-SDzTiJstqBGbUbpiXshDSV,i-HgdjrnqrwHwUGB5GwKD5YY
corpus/protocols/199091/prot-199091--100.xml,i-MuQBdRsEvAD3h9Lit5sbu3,i-8mBVPcd2msXbApkkvhRvz5
corpus/protocols/199091/prot-199091--100.xml,i-LYgs1C8ZyEBcmiBHgF7Lg9,i-EvibRoFbFsTJ1KNYdvmkGB
corpus/protocols/199091/prot-199091--100.xml,i-TyReGbJQGMUDQwwDqU5UBk,i-9A8jeywgxQWDMJ9hEhBsKu
corpus/protocols/199091/prot-199091--100.xml,i-U9RyyNVCWiWcAHGpG4tLT7,i-R6bj57vAneMHp5egpVzssK
corpus/protocols/199091/prot-199091--100.xml,i-TrJNmuwoEogvcGZkpbAMpK,i-XZstvQwByDZJRNvM4kyUaA
corpus/protocols/199091/prot-199091--100.xml,i-RHL3PD8EW8Gx14hnhcjquM,i-TzvJpStWu8VA6eDbRvv6z5
corpus/protocols/199091/prot-199091--100.xml,i-H6XQ9t2erBG7TkFm1dNdER,i-7ePGirZ8xCecWZTVFEVH6x
corpus/protocols/199091/prot-199091--100.xml,i-GBwydhLFBomMSe5CFFsz7i,i-KP2KszREpBKRBCey9QM5yh
corpus/protocols/199091/prot-199091--100.xml,i-PsWyy5K6QoRxcupcWN684k,i-GoVbrdTzaUM8A3pG5kNbMa
corpus/protocols/199091/prot-199091--100.xml,i-G5BRxb71rosouitWAzV4PN,i-82RjvvwTEAShUnefqmYY1h
corpus/protocols/199091/prot-199091--100.xml,i-6WeP8BbbTLXuLqj2hDKdSH,i-LYUSFD8bsNkcJr9uV2KMoU
corpus/protocols/199091/prot-199091--100.xml,i-SPXtUieew1LHxK1LEjiiH1,i-RXDxSo6snSDAih2PyJrhvA
corpus/protocols/199091/prot-199091--100.xml,i-YGQdKDy3FUofLckN41nHrk,i-NNWGejFVAYtpXy8q6z9PSN
corpus/protocols/199091/prot-199091--100.xml,i-RLReFNFsxtD85Liqv2bKtz,i-Rw27iEAqZbwRPEHPXUbU7L
corpus/protocols/199091/prot-199091--100.xml,i-QaHz1fTX2VemLGtWysSzGP,i-SoegyWGbjCVzXis3qQ33s5
corpus/protocols/199091/prot-199091--100.xml,i-PrLoSS4wMA2ntmVPCe2b6Y,i-4Sjrmd5myjL3o4iMsUDHoZ
corpus/protocols/199091/prot-199091--100.xml,i-8Fjd4bTFLtZPN5gAinQVwL,i-S7SkwMaEjQF9s2Ukiy9zAT
corpus/protocols/199091/prot-199091--100.xml,i-16VL2qKX4DSPhmQaU6qkr4,i-5MDMB66kC1oL2B1d194rNy
corpus/protocols/199091/prot-199091--100.xml,i-NVBtcWdecu18vqSSNVwrp6,i-UHK1vix8HszXYzriBwmEbi
corpus/protocols/199091/prot-199091--100.xml,i-PBUVTUSAtPFez3xtQ9HXKW,i-8Gg52vMmTzPnYFxxWHKqXA
corpus/protocols/199091/prot-199091--100.xml,i-FX1Kdj5NkTWk6BELR5YAwT,i-UfaHyo3CFURNXia7f1W8Rs
corpus/protocols/199091/prot-199091--100.xml,i-UnJaVrMJ8fGcPyVpEJTFnd,i-XgQrntL1NnRXozKoSm2B5k
corpus/protocols/199091/prot-199091--100.xml,i-99GEN3qDHjCU8D37RHEPiW,i-YKaFff8EKz1tB3JH8kLJQz
corpus/protocols/199091/prot-199091--100.xml,i-UuovJ1ntvAMEB5CnFV9bQ4,i-XWoDn9ZsKudguJGQTMJCc
corpus/protocols/199091/prot-199091--100.xml,i-STtKSc4HbyfRPFCoX539A2,i-FRGbzsFioPaubP4VFjVGWE
corpus/protocols/199091/prot-199091--100.xml,i-VvLmdWWRXeLUEQqBcNJVZZ,i-BkgYyJ5zbQxa3YMccJ1yDq
corpus/protocols/199091/prot-199091--100.xml,i-JXWpY8b8t5TEvtsYgjQUof,i-Qg6AdYtCKPzc4TGejubAyk
corpus/protocols/199091/prot-199091--100.xml,i-U1C9s8eTQ39S6HpLcmhhaL,i-EQ2ezjvMw7jVCsGCDRc81U
corpus/protocols/199091/prot-199091--100.xml,i-ASoaVFcoTW5FcWYsgnHNkw,i-4ErSN5b74CXrZMXX996tmN
corpus/protocols/199091/prot-199091--100.xml,i-7SoRqV1GvmCdT36PXSk2Bk,i-SFns1KmHwa6L23cfPVk7He
corpus/protocols/199091/prot-199091--100.xml,i-AmpK4PCoHzR5KR6L2MrNxK,i-BAc2DFxHsCVc8bFvixHXZo
corpus/protocols/199091/prot-199091--100.xml,i-QQZfdkSjZ7bjN5R6mMFKpy,i-VqesQokDNwepsSXGKiGPJw
corpus/protocols/199091/prot-199091--100.xml,i-H5K2hAAUiJtRgP8DcsDQ6U,i-CCKUQyFfxu3wxvWkm9a2bN
corpus/protocols/199091/prot-199091--100.xml,i-fDPPNeBamhfB3EiwnjbFM,i-JKpC7jJr5TYGo6dUyqDev6
corpus/protocols/199091/prot-199091--100.xml,i-FMspEyPSPokRm8sF8BtsRj,i-6W3fpcvvGEdLvwjefmpUN5
corpus/protocols/199091/prot-199091--100.xml,i-7UuNMz6KutwcVfjCVvU5gF,i-GKzomrUZf2ecBx1mMYhbtM
corpus/protocols/199091/prot-199091--100.xml,i-CCGLscJGrKskQuoSq8DoSk,i-RPGLZJbRvpjhp3rCCbGtEK
corpus/protocols/199091/prot-199091--100.xml,i-56PFFaGx5Qshqfy2KNPgi6,i-As4qmNthASWbn71GoZXELz
corpus/protocols/199091/prot-199091--100.xml,i-FBhsnEayt8Nmcr6Hby5BU4,i-JwL24G3hRUn1Pd8H3ES3DA
corpus/protocols/199091/prot-199091--100.xml,i-DjCh9sPx3nz3jaAEqiUdEj,i-WJZbTTgaqCBRJac1W8Ugfr
corpus/protocols/199091/prot-199091--101.xml,i-LW1G4jMPNUkU95Ey8JrEG6,i-CQEbQzeTHH1DZSg9unZRE8
corpus/protocols/199091/prot-199091--101.xml,i-AoFMachCjAwcFevGyA6zMo,i-JxYBDTpcggpfD9zm3BsQ6x
corpus/protocols/199091/prot-199091--101.xml,i-F4MoQoWbJvQZFUdCwhZUo6,i-PjH5s6EaxmJ3UWfJBkcvdv
corpus/protocols/199091/prot-199091--101.xml,i-G6xxFJsnSoCTUNxJG57Y7f,i-3WBPqmBZLKwwSiKT9RSmKn
corpus/protocols/199091/prot-199091--101.xml,i-YZ8MoC3TkrqEouhVGnXG38,i-2UHJ1RVxinbomCLNBkWyrV
corpus/protocols/199091/prot-199091--101.xml,i-DrVYwNVdxEwW1PzufhCrpL,i-2w97wYpsZTrru4dSDH46cU
corpus/protocols/199091/prot-199091--101.xml,i-BtH4CDKyXPyEnWQnWFc5mE,i-YJkZxYZjn5nPXRSDrCEod2
corpus/protocols/199091/prot-199091--101.xml,i-VLe5TQQ4LS2cfbpVUb6hrJ,i-Uxqx63sxApGS4K8QzSMQQy
corpus/protocols/199091/prot-199091--101.xml,i-5oQkQMvVr9QouS72uvLCJe,i-GHERJciLJjmDs8EMqJw75G
corpus/protocols/199091/prot-199091--101.xml,i-Gyt1y9JcNuRKGzmyvwBaAN,i-FybcGtbYuVuiNVXwjmZ3JJ
corpus/protocols/199091/prot-199091--101.xml,i-LGkLoTrXAqMRzv7ryswzfb,i-BkY2GChq4DodLVnEtRZMvH
corpus/protocols/199091/prot-199091--101.xml,i-G7c5aWSa6QRVQhm444Ughx,i-5Ug6CByd4aMEDuDPhxNk2D
corpus/protocols/199091/prot-199091--101.xml,i-Y47Bp4W6PLxQJ4ayDpmeQx,i-7y4Zc7brQLN75dNw4dZVFU
corpus/protocols/199091/prot-199091--101.xml,i-8ufkNbRfaEZC8PqzH3befZ,i-RHLvSSetdMSproBTZ6bqfh
corpus/protocols/199091/prot-199091--101.xml,i-JnUcL47683qbUowzBECwYd,i-KfvkN3u4iQ9ib91i4a9s1z
corpus/protocols/199091/prot-199091--102.xml,i-XABh91ABFdvVZ2oA2b5azj,i-EciYFjniEvKCyTKstPGmH7
corpus/protocols/199091/prot-199091--102.xml,i-Bzu2S7CcDwkDTcd3ntcYCH,i-HvJgQ8zWVoWGTDEvGu1zbf
corpus/protocols/199091/prot-199091--102.xml,i-GD4hvFv9NZiq3pE7C8CAaw,i-NvWVY3vysQiNqoAWp8URdG
corpus/protocols/199091/prot-199091--102.xml,i-UAzMnqJN1AFgkMUyt1dtcm,i-HHxfvtweC5Gc7PkxzPRTFz
corpus/protocols/199091/prot-199091--102.xml,i-TJDkETeJ1QXC8ocYqm8L3F,i-TeCtCMSkPw93XjZGiCZk3A
corpus/protocols/199091/prot-199091--102.xml,i-RnbXDEonutx6G4SmUKKpDm,i-LsjSicEUvcVaBdxmciMkgq
corpus/protocols/199091/prot-199091--102.xml,i-E5H4kvWR7zF2uV3KrpGgXd,i-W2RxbBuGfxC5TViZcizXrd
corpus/protocols/199091/prot-199091--102.xml,i-RhwyRoUqdn4QGwe3hGxQNm,i-JUGkkUJ6mkwVNciPUqGLFL
corpus/protocols/199091/prot-199091--102.xml,i-HbS294UdAXr3HW4raPcYU2,i-3D9Dzu38PdFEhbkXmhxzMR
corpus/protocols/199091/prot-199091--102.xml,i-DqGHUfz58kiMbYx34Nephh,i-ApDVCpjif37XttmCCh8KGj
corpus/protocols/199091/prot-199091--102.xml,i-SDZgzGu2eHsRRd9PaeViq2,i-9UyYExJZhcuqBWUHa88To1
corpus/protocols/199091/prot-199091--102.xml,i-JTw5Z5mGerdG8WFdUEMysM,i-5C6eYuSGc2UBS6Vg2Hh4G5
corpus/protocols/199091/prot-199091--102.xml,i-YJuBG7DgLEvN9FiFBx7rex,i-3H2eBAmWFUFsePfLK72aUX
corpus/protocols/199091/prot-199091--102.xml,i-L1dTgYPovojKpYgkWb65Qf,i-FteBUgXbqkmwmaWW3bJXQD
