file,url,year,decade,correct
corpus/protocols/1923/prot-1923--ak--44.xml,https://betalab.kb.se/prot-1923--ak--44/prot_1923__ak__44-004.jp2/_view,1923,1920,True
corpus/protocols/1924/prot-1924--fk--27.xml,https://betalab.kb.se/prot-1924--fk--27/prot_1924__fk__27-032.jp2/_view,1924,1920,True
corpus/protocols/1926/prot-1926--ak--15.xml,https://betalab.kb.se/prot-1926--ak--15/prot_1926__ak__15-027.jp2/_view,1926,1920,True
corpus/protocols/1926/prot-1926--fk--17.xml,https://betalab.kb.se/prot-1926--fk--17/prot_1926__fk__17-014.jp2/_view,1926,1920,True
corpus/protocols/1923/prot-1923--ak--44.xml,https://betalab.kb.se/prot-1923--ak--44/prot_1923__ak__44-099.jp2/_view,1923,1920,True
corpus/protocols/1937/prot-1937--ak--29.xml,https://betalab.kb.se/prot-1937--ak--29/prot_1937__ak__29-044.jp2/_view,1937,1930,True
corpus/protocols/1934/prot-1934--fk--36.xml,https://betalab.kb.se/prot-1934--fk--36/prot_1934__fk__36-000.jp2/_view,1934,1930,True
corpus/protocols/1930/prot-1930--ak--16.xml,https://betalab.kb.se/prot-1930--ak--16/prot_1930__ak__16-037.jp2/_view,1930,1930,True
corpus/protocols/1936/prot-1936--ak--44.xml,https://betalab.kb.se/prot-1936--ak--44/prot_1936__ak__44-106.jp2/_view,1936,1930,True
corpus/protocols/1930/prot-1930--ak--41.xml,https://betalab.kb.se/prot-1930--ak--41/prot_1930__ak__41-041.jp2/_view,1930,1930,True
corpus/protocols/1943/prot-1943-höst-fk--35.xml,https://betalab.kb.se/prot-1943-höst-fk--35/prot_1943_höst_fk__35-123.jp2/_view,1943,1940,True
corpus/protocols/1947/prot-1947--ak--24.xml,https://betalab.kb.se/prot-1947--ak--24/prot_1947__ak__24-084.jp2/_view,1947,1940,True
corpus/protocols/1945/prot-1945--ak--16.xml,https://betalab.kb.se/prot-1945--ak--16/prot_1945__ak__16-062.jp2/_view,1945,1940,True
corpus/protocols/1946/prot-1946--fk--11.xml,https://betalab.kb.se/prot-1946--fk--11/prot_1946__fk__11-026.jp2/_view,1946,1940,True
corpus/protocols/1948/prot-1948-höst-ak--39.xml,https://betalab.kb.se/prot-1948-höst-ak--39/prot_1948_höst_ak__39-015.jp2/_view,1948,1940,True
corpus/protocols/1954/prot-1954--ak--17.xml,https://betalab.kb.se/prot-1954--ak--17/prot_1954__ak__17-046.jp2/_view,1954,1950,True
corpus/protocols/1959/prot-1959-höst-fk--32.xml,https://betalab.kb.se/prot-1959-höst-fk--32/prot_1959_höst_fk__32-058.jp2/_view,1959,1950,True
corpus/protocols/1955/prot-1955--fk--6.xml,https://betalab.kb.se/prot-1955--fk--6/prot_1955__fk__6-008.jp2/_view,1955,1950,True
corpus/protocols/1959/prot-1959-höst-ak--23.xml,https://betalab.kb.se/prot-1959-höst-ak--23/prot_1959_höst_ak__23-020.jp2/_view,1959,1950,True
