date,type,swerik_id
1905-05-22,END,i-EpkJAsCf15osmWnpEQgYvg
1938-03-09,START,i-GV4oWvd9gsJvbCyonPRGKC
1919-08-04,START,i-B9krH8HXZPSWGdDWnrPma5
1914-03-05,END,i-G2Vs6pNWWj8DSMWKKVguNb
1966-10-18,START,i-2ZcLNQ889BCYDFJuLZT77S
1887-05-02,START,i-bAkDtRbC4qwseLUQ1m5S3
1887-03-05,END,i-FdJqbT12WauhcFeDqFwxGA
1943-12-15,END,i-6kTFcz7sgLRx7MntyHuEFu
1914-03-05,END,i-5FVdMDpYqfd1DagjigQmtP
1887-05-02,START,i-PPQzQpjxJgK9T8oVftkuFD
1962-08-13,START,i-N2madsDSJqjZTCevBNKUwb
1914-05-18,START,i-MayVboVGayNDk8VkKpWKZY
1887-05-02,START,i-EQ7CXYU17b5CWo5cXgeZWy
1887-07-09,END,i-EQ7CXYU17b5CWo5cXgeZWy
1887-05-02,START,i-EzTewE2Qf2bcH25pxSMAdX
1887-03-05,END,i-LZdMKNSEVGNKsWS2UasAi3
1887-03-05,END,i-W4CJfxFbP1nx9SYGRsnVHQ
1919-06-20,END,i-FtKuFRknbCgZKWtRSFNThj
1941-05-04,END,i-PkDNy9bEbEnW9xaNKSjppw
1919-08-04,START,i-HZ3VhBAY9bEWJTypBZTeSe
1962-07-31,END,i-8RCwPexVwig1Qx7gZH1HRG
1958-04-28,END,i-UgwyXZW5Y9UVnaeQC5yZU8
1914-05-18,START,i-FDUnfwLSnbmZFbmEoCBSeE
1887-05-02,START,i-6P9WGen454XYD7xwVEV6JX
1887-07-09,END,i-6P9WGen454XYD7xwVEV6JX
1958-07-18,START,i-X5irVMYi38e9gismX36fph
1919-08-04,START,i-PrnEx12Ds6eU2exFNwa6GJ
1919-06-20,END,i-7hJxjV8LT3MEVBaeAoCaWb
1919-08-04,START,i-9XMd1rpWw6C27numwL2pi2
1871-09-11,START,i-3okN64m9y63KYdwdoN53t3
1887-03-05,END,i-5GqnTURvMSP3hjBB327kuL
1919-08-04,START,i-RuLAKaNZniaCKYRcn51B2H
1887-05-02,START,i-XjeBveco6xeCaeLB8tb5Mm
1945-07-23,START,i-EUJNg9gYXvm5gNgqHeaHuD
1955-07-23,END,i-EUJNg9gYXvm5gNgqHeaHuD
1908-02-26,START,i-5QFeAaRmc6ukdvQHEHjTF4
1919-06-20,END,i-JnoQV1mq4W1rwzdr2DJf3J
1914-05-18,START,i-GUQT4NRF9jHSr6mxy1pdd1
1887-05-02,START,i-U3HsRyfngh8oXY3i9QSaL5
1887-07-09,END,i-U3HsRyfngh8oXY3i9QSaL5
1887-05-02,START,i-KLpNihrAvuuXgVcL2JY7Ne
1887-07-09,END,i-KLpNihrAvuuXgVcL2JY7Ne
1935-01-26,END,i-EEgp39w6M66SH9dRdqEEBo
1887-03-05,END,i-MLq4Vy1q7B9WYKF2V3AxEZ
1889-04-17,START,i-ULRNtLXGX4tsvSm3vfuhaF
1919-06-20,END,i-5KU1YWjCS7iAhCxYP8wCR7
1958-06-18,START,i-BaoTdWzJCCPQoTCPVGY9A7
1960-06-14,END,i-BaoTdWzJCCPQoTCPVGY9A7
1909-01-15,START,i-P7ziZcNz8jtTwUom3CbCaV
1909-03-16,END,i-P7ziZcNz8jtTwUom3CbCaV
1887-05-02,START,i-PGGMhPVMnCH1MzSykNcAdQ
1887-06-09,END,i-PGGMhPVMnCH1MzSykNcAdQ
1914-03-05,END,i-9vaPeJXzHNY4GewzmyfoX1
1914-03-05,END,i-4sYa5sygAXm9dvBK1sGrPS
1919-06-20,END,i-M76N1UoFoxEKBULqCqES8v
1960-12-14,END,i-LSo6F3v2r9HyrtxyquvZLp
1914-03-05,END,i-DQ9MiFCTqXqDgv4LnUitVT
1914-05-18,START,i-CkrjLJdWgd59gs7nnotfwh
1887-03-05,END,i-8cj54b7ZCyYib8TeKZQQkx
1914-05-18,START,i-Qz1314Rf4SkdpSXZds99fp
1958-04-28,END,i-75ttWzF69yPdYNh4nr1qe5
1874-05-17,END,i-NtZkf2mFJXvC9PJ1aMWzTd
1949-10-17,START,i-HSVLs9EuZHSqQ2QS5VoFwi
1914-03-05,END,i-MTeYfJaZakd1AA2BAt8WzQ
1914-05-18,START,i-51Z8nc68zSRytuD4EvZmvK
1887-05-02,START,i-CiKCAULSzzNLisTT3igVjU
1939-11-07,END,i-5s7twHXCSDkwF3CSRRwpBZ
1887-03-05,END,i-R3YSipbwyZHfu9o884ZzWY
1914-03-05,END,i-DVBTR4FnJMy9pff8g7tptN
1919-08-04,START,i-DVBTR4FnJMy9pff8g7tptN
1914-10-06,START,i-PbcqSMPJFhALBHMJt8fC5P
1904-03-09,END,
1917-10-20,END,i-Kz5fxmbpGStfaLRQXzs8e5
1945-10-16,END,i-F2XKt56YqizbKSiAR4NKb5
1959-04-23,START,i-16dpFQGNcr7HGwnHCoAdKk
1941-11-16,START,i-Tmfx86oAStfDWBgUhA8QEU
1943-03-08,START,i-CKNS4ECLHLt8ewceWcsVsp
1952-01-23,END,i-CKNS4ECLHLt8ewceWcsVsp
1939-12-31,END,i-3x2Ux4KHuhYBW2eWArsQNW
1940-01-01,START,i-7sKBEYey3RxADJTDSFtStb
1895-04-12,END,i-HkFSU3qgD4WDnG8LWPTtL1
1956-05-28,START,i-BnHiBgFtncWWuL2vqzgWzD
1931-01-10,END,i-4kz1fC2gQwdiC7G6RzQ2SK
1926-06-06,END,i-L2gQALHe9ekZ9my3bsff1V
1951-12-11,END,i-KV7mioxB7qA6XayCejfVpP
1951-04-11,END,i-X4tTtS9wLMujhnTa9qtfFq
1936-05-13,START,i-Jk4g3MXw9PJfF1NZRM6Z3C
1951-04-19,START,i-UYbXcHDA5VJokmeb9XaR37
1954-05-05,START,i-DNqTcsfB3EXVTxeGMdNa11
1919-01-21,START,i-T3xpbCDaT4vV9rmWsrv9n9
1969-12-08,END,i-5YDc9g1Q925x6pk2h8RAMq
1964-12-02,START,i-Vd6kBCxYFZMdnMn56ixMd4
1925-05-05,END,i-LAeBbuwZ1Sak1HWNkZ6dVr
1916-08-30,END,i-KJu9SCetGHuRwjQMUVndoq
1917-02-09,START,i-JNeKaAfNo39ynSv8f8tbdu
1953-01-23,END,i-CVG5H18C4Zmb44stfabVSc
1934-04-03,START,i-Bk5ay6tFvBHcejdonHYHfa
1937-04-23,START,i-44Z592MNuSA3T2e2FTSqff
1958-09-03,END,i-N9AjjY11HAeYEZv7pS9mmC
1934-03-19,END,i-B9JE2reNPJuJKbgj8XMNR
1898-01-24,END,i-3FSs4wVDP5BUGhdcBZEhUo
1956-07-12,END,i-T8YPM8wxmnK6C9rAWyXSDW
1919-02-18,END,i-5AUW2hxWEk6yR2aX7fibZx
1888-05-08,END,i-25EEgWidbVVQMzbXZMgAXZ
1938-01-14,START,i-Da4Dtr61YRDt7Rh1d2ZoZz
1940-01-19,START,i-3K1ZGtYnJEg1E9AoTGFkNj
1942-08-28,END,i-HWuy1bfrVaJd5tRcAdeD1m
1940-06-12,END,i-XXz7ZWjJdXTAFDiHULPWwn
1945-05-17,START,i-NUNgu3XySvrY4JbkuAxuTn
1867-02-06,START,i-QMTFCSUSN2Q2UCGk1ku63M
1960-10-17,START,i-6sbVRZAYRDNeiVS9WQSU1e
1942-08-20,END,i-Ui4MNjsjiePyrsfZ1FnUm7
1956-10-12,END,i-Q5eDvEJRU74CUef88BpzKH
1956-10-18,START,i-PUU7m4zHNmgsoCo9JZxuNX
1892-01-25,END,i-DFpvVoxMXp4vArQdqqVHEX
1870-03-03,START,i-RSEAJVoTxUmPUJCD5i2nNA
1904-02-13,END,i-Ui91Fmc584Lk2HZp1ajoDa
1946-02-20,END,i-P3dC4LeKcDypuSdFykN44g
1911-03-01,START,i-JuUSQ11FqAYyXacrvdAQon
1906-03-31,START,i-76TLm6VRYG4792bZEqBrab
1906-03-31,END,i-76TLm6VRYG4792bZEqBrab
1947-04-27,END,i-X1novJneX2zJzkpbiYviPH
