pattern,txt,replacement,elem_id,protocol_id
fcfff492e00727b6,Stockholm,Helsingfors,i-49cd9350efb1d868,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-bdd9759dfdcfc525,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-c3bfcdbcd3709532,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-5067b8f12075276d,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-a60b151b3d8e76ea,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-0014586a348837d3,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-d80ddace45bfc83a,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-93ab45c136fed023,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-22e46c7f519f8aa5,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-6b9321e0be82c8fd,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-4743841aea5874ab,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-ba228433c9b13dc8,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-228232a743951713,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-3c799ed9b7799250,prot-200304--81
fcfff492e00727b6,Stockholm,Helsingfors,i-dfb30836462f5182,prot-200304--81
