wiki_id,author,date,subject,title,url
Q103258072,http://www.wikidata.org/entity/Q897282,2020-11-30,förskola,En utredning om förskolan,http://data.riksdagen.se/fil/10357853-E2A7-4EA1-8BA3-55F8AC681F46
Q103258494,http://www.wikidata.org/entity/Q5816436,2020-11-25,läkemedel,Bättre tillgång till läkemedelsassisterad behandling vid opioidberoende,http://data.riksdagen.se/dokument/H810181
Q103258494,http://www.wikidata.org/entity/Q5816436,2020-11-25,läkemedel,Bättre tillgång till läkemedelsassisterad behandling vid opioidberoende,http://data.riksdagen.se/dokumentstatus/H810181
Q103258494,http://www.wikidata.org/entity/Q5816436,2020-11-25,läkemedel,Bättre tillgång till läkemedelsassisterad behandling vid opioidberoende,http://data.riksdagen.se/fil/A6CDF9A7-4F0C-4CDF-B2F4-5AF4FC2A5527
Q103258507,http://www.wikidata.org/entity/Q5816436,2020-11-25,drog,Överförskrivning och missbruk av narkotikaklassade läkemedel,http://data.riksdagen.se/dokument/H810180
Q103258507,http://www.wikidata.org/entity/Q5816436,2020-11-25,drog,Överförskrivning och missbruk av narkotikaklassade läkemedel,http://data.riksdagen.se/dokumentstatus/H810180
Q103258507,http://www.wikidata.org/entity/Q5816436,2020-11-25,drog,Överförskrivning och missbruk av narkotikaklassade läkemedel,http://data.riksdagen.se/fil/44669D5E-6520-4C38-86AA-2434C9BE251E
Q103258507,http://www.wikidata.org/entity/Q5816436,2020-11-25,läkemedel,Överförskrivning och missbruk av narkotikaklassade läkemedel,http://data.riksdagen.se/dokument/H810180
Q103258507,http://www.wikidata.org/entity/Q5816436,2020-11-25,läkemedel,Överförskrivning och missbruk av narkotikaklassade läkemedel,http://data.riksdagen.se/dokumentstatus/H810180
Q103258507,http://www.wikidata.org/entity/Q5816436,2020-11-25,läkemedel,Överförskrivning och missbruk av narkotikaklassade läkemedel,http://data.riksdagen.se/fil/44669D5E-6520-4C38-86AA-2434C9BE251E
Q103258558,http://www.wikidata.org/entity/Q5879681,2020-11-25,Tullverket,Förstärkning av Tullverket,http://data.riksdagen.se/dokument/H810189
Q103258558,http://www.wikidata.org/entity/Q5879681,2020-11-25,Tullverket,Förstärkning av Tullverket,http://data.riksdagen.se/dokumentstatus/H810189
Q103258558,http://www.wikidata.org/entity/Q5879681,2020-11-25,Tullverket,Förstärkning av Tullverket,http://data.riksdagen.se/fil/79974D0C-EA94-4D09-B71E-86B798B448EF
Q103258636,http://www.wikidata.org/entity/Q70592245,2020-11-25,samordningsnummer,Problem kring samordningsnummer,http://data.riksdagen.se/dokument/H810188
Q103258636,http://www.wikidata.org/entity/Q70592245,2020-11-25,samordningsnummer,Problem kring samordningsnummer,http://data.riksdagen.se/dokumentstatus/H810188
Q103258636,http://www.wikidata.org/entity/Q70592245,2020-11-25,samordningsnummer,Problem kring samordningsnummer,http://data.riksdagen.se/fil/A072574C-0D96-4457-A1B2-4958BD56FD35
Q103258956,http://www.wikidata.org/entity/Q56164156,2020-11-16,Kriminalvården,Överbeläggning i kriminalvården,http://data.riksdagen.se/dokument/H810145
Q103258956,http://www.wikidata.org/entity/Q56164156,2020-11-16,Kriminalvården,Överbeläggning i kriminalvården,http://data.riksdagen.se/dokumentstatus/H810145
Q103258956,http://www.wikidata.org/entity/Q56164156,2020-11-16,Kriminalvården,Överbeläggning i kriminalvården,http://data.riksdagen.se/fil/EF9AA8D3-E90A-48A9-AF8D-D10065C0E491
Q103258984,http://www.wikidata.org/entity/Q71137014,2020-11-16,föräldraförsäkringen i Sverige,En flexibel föräldraförsäkring,http://data.riksdagen.se/dokument/H810147
Q103258984,http://www.wikidata.org/entity/Q71137014,2020-11-16,föräldraförsäkringen i Sverige,En flexibel föräldraförsäkring,http://data.riksdagen.se/dokumentstatus/H810147
Q103258984,http://www.wikidata.org/entity/Q71137014,2020-11-16,föräldraförsäkringen i Sverige,En flexibel föräldraförsäkring,http://data.riksdagen.se/fil/4FC01151-7212-4F8E-B970-9DB8EBA03651
Q103258993,http://www.wikidata.org/entity/Q60823132,2020-11-16,Postnord,Postnords kundbemötande,http://data.riksdagen.se/dokument/H810143
Q103258993,http://www.wikidata.org/entity/Q60823132,2020-11-16,Postnord,Postnords kundbemötande,http://data.riksdagen.se/dokumentstatus/H810143
Q103258993,http://www.wikidata.org/entity/Q60823132,2020-11-16,Postnord,Postnords kundbemötande,http://data.riksdagen.se/fil/C74B1352-BB94-4387-B089-79648D05D6F3
Q103259002,http://www.wikidata.org/entity/Q56164156,2020-11-16,arbetslöshetsförsäkring i Sverige,Arbetslöshetsförsäkringen,http://data.riksdagen.se/dokument/H810142
Q103259002,http://www.wikidata.org/entity/Q56164156,2020-11-16,arbetslöshetsförsäkring i Sverige,Arbetslöshetsförsäkringen,http://data.riksdagen.se/dokumentstatus/H810142
Q103259002,http://www.wikidata.org/entity/Q56164156,2020-11-16,arbetslöshetsförsäkring i Sverige,Arbetslöshetsförsäkringen,http://data.riksdagen.se/fil/6670BB76-420A-47FA-9076-C295AFB0B3F8
Q103259027,http://www.wikidata.org/entity/Q18238607,2020-11-13,diskriminering,Identitetspolitik och diskriminering,http://data.riksdagen.se/dokument/H810139
Q103259027,http://www.wikidata.org/entity/Q18238607,2020-11-13,diskriminering,Identitetspolitik och diskriminering,http://data.riksdagen.se/dokumentstatus/H810139
Q103259027,http://www.wikidata.org/entity/Q18238607,2020-11-13,diskriminering,Identitetspolitik och diskriminering,http://data.riksdagen.se/fil/26B151A0-F7A3-48B8-98B3-4EA9BB355165
Q103259352,http://www.wikidata.org/entity/Q6071900,2020-11-05,elbil,Exporten av elbilar till Norge,http://data.riksdagen.se/dokument/H810112
Q103259352,http://www.wikidata.org/entity/Q6071900,2020-11-05,elbil,Exporten av elbilar till Norge,http://data.riksdagen.se/dokumentstatus/H810112
Q103259352,http://www.wikidata.org/entity/Q6071900,2020-11-05,elbil,Exporten av elbilar till Norge,http://data.riksdagen.se/fil/B5BFA60C-3DFF-45AD-9CD9-5737BEA91A70
Q103259439,http://www.wikidata.org/entity/Q17080318,2020-11-04,Turkiet,Restriktiva åtgärder mot Turkiet,http://data.riksdagen.se/dokument/H810110
Q103259439,http://www.wikidata.org/entity/Q17080318,2020-11-04,Turkiet,Restriktiva åtgärder mot Turkiet,http://data.riksdagen.se/dokumentstatus/H810110
Q103259439,http://www.wikidata.org/entity/Q17080318,2020-11-04,Turkiet,Restriktiva åtgärder mot Turkiet,http://data.riksdagen.se/fil/9E162C14-AB55-4914-B9CE-404803937379
Q103259449,http://www.wikidata.org/entity/Q71131688,2020-11-03,Allmänna arvsfonden,Projektbidrag från Allmänna arvsfonden,http://data.riksdagen.se/dokument/H810103
Q103259449,http://www.wikidata.org/entity/Q71131688,2020-11-03,Allmänna arvsfonden,Projektbidrag från Allmänna arvsfonden,http://data.riksdagen.se/dokumentstatus/H810103
Q103259449,http://www.wikidata.org/entity/Q71131688,2020-11-03,Allmänna arvsfonden,Projektbidrag från Allmänna arvsfonden,http://data.riksdagen.se/fil/AC22CBC8-D7D6-40B1-97BA-A4AD2C0D6988
Q104156464,http://www.wikidata.org/entity/Q30035697,2020-12-10,Försvarsmakten,Uppgifter om kränkande behandling i Försvarsmakten,http://data.riksdagen.se/dokument/H810233
Q104156464,http://www.wikidata.org/entity/Q30035697,2020-12-10,Försvarsmakten,Uppgifter om kränkande behandling i Försvarsmakten,http://data.riksdagen.se/dokumentstatus/H810233
Q104156464,http://www.wikidata.org/entity/Q30035697,2020-12-10,Försvarsmakten,Uppgifter om kränkande behandling i Försvarsmakten,http://data.riksdagen.se/fil/37A7531E-E086-426C-AC9C-3531E9EDBE0E
Q104156465,http://www.wikidata.org/entity/Q56925588,2020-12-10,barnäktenskap,Förebyggande av könsstympning och barnäktenskap,http://data.riksdagen.se/dokument/H810232
Q104156465,http://www.wikidata.org/entity/Q56925588,2020-12-10,barnäktenskap,Förebyggande av könsstympning och barnäktenskap,http://data.riksdagen.se/dokumentstatus/H810232
Q104156465,http://www.wikidata.org/entity/Q56925588,2020-12-10,barnäktenskap,Förebyggande av könsstympning och barnäktenskap,http://data.riksdagen.se/fil/FC5D85B4-584A-47E7-B9A1-F7801DF08401
Q104156473,http://www.wikidata.org/entity/Q18243181,2020-12-07,kollektivtrafik,Upprätthållande av kollektivtrafikservice,http://data.riksdagen.se/dokument/H810221
Q104156473,http://www.wikidata.org/entity/Q18243181,2020-12-07,kollektivtrafik,Upprätthållande av kollektivtrafikservice,http://data.riksdagen.se/dokumentstatus/H810221
Q104156473,http://www.wikidata.org/entity/Q18243181,2020-12-07,kollektivtrafik,Upprätthållande av kollektivtrafikservice,http://data.riksdagen.se/fil/56FA41FE-9804-4630-AEA4-43FAFDE57DD5
Q104156482,http://www.wikidata.org/entity/Q70529257,2020-12-03,arbetskraftsinvandring,Förändrade regler vid arbetskraftsinvandring,http://data.riksdagen.se/dokument/H810210
Q104156482,http://www.wikidata.org/entity/Q70529257,2020-12-03,arbetskraftsinvandring,Förändrade regler vid arbetskraftsinvandring,http://data.riksdagen.se/dokumentstatus/H810210
Q104156482,http://www.wikidata.org/entity/Q70529257,2020-12-03,arbetskraftsinvandring,Förändrade regler vid arbetskraftsinvandring,http://data.riksdagen.se/fil/66949C1A-0CA3-4403-9189-6FC27C17F941
Q104156494,http://www.wikidata.org/entity/Q50353141,2020-11-12,abort i Polen,Aborträtten i Polen,http://data.riksdagen.se/dokument/H810124
Q104156494,http://www.wikidata.org/entity/Q50353141,2020-11-12,abort i Polen,Aborträtten i Polen,http://data.riksdagen.se/dokumentstatus/H810124
Q104156494,http://www.wikidata.org/entity/Q50353141,2020-11-12,abort i Polen,Aborträtten i Polen,http://data.riksdagen.se/fil/373DA992-FD92-4633-AB09-207E90633D43
