,name,title,start,end,id,specifier
0,Ola Ullsten,Statsminister,1978-10-18,1979-10-12,ola_ullsten_minister_1978,
1,Carl Tham,Energi- och samordningsminister,1978-10-18,1979-10-12,carl_tham_minister_1978,
2,Sven Romanus,Justitieminister,1976-10-08,1979-10-12,sven_romanus_minister_1976,
3,Hans Blix,Utrikes- och biståndsminister,1978-10-18,1979-10-12,hans_blix_minister_1978,
4,Lars De Geer,Försvarsminister,1978-10-18,1979-10-12,lars_de_geer_minister_1978,
5,Gabriel Romanus,Socialminister,1978-10-18,1979-10-12,gabriel_romanus_minister_1978,
6,Hedda Lindahl,Sjukvårdsminister,1978-10-18,1979-10-12,hedda_lindahl_minister_1978,
7,Anitha Bondestam,Kommunikationsminister,1978-10-18,1979-10-12,anitha_bondestam_minister_1978,
8,Ingemar Mundebo,Ekonomiminister,1978-10-18,1979-10-12,ingemar_mundebo_minister_1978,
9,Ingemar Mundebo,Budgetminister,1976-11-25,1980-07-31,ingemar_mundebo_minister_1976,
10,Marianne Wahlberg,Löneminister,1978-10-18,1979-10-12,marianne_wahlberg_minister_1978,
11,Jan-Erik Wikström,Utbildningsminister,1976-10-08,1982-10-08,jan-erik_wikström_minister_1976,
12,Birgit Rodhe,Skolminister,1978-10-18,1979-10-12,birgit_rodhe_minister_1978,
13,Eric Enlund,Jordbruksminister,1978-10-18,1979-10-12,eric_enlund_minister_1978,
14,Hadar Cars,Handelsminister,1978-10-18,1979-10-12,hadar_cars_minister_1978,
15,Rolf Wirtén,Arbetsmarknadsminister,1978-03-07,1980-07-31,rolf_wirtén_minister_1978,
16,Eva Winther,Invandrar- och jämställdhetsminister,1978-10-18,1979-10-12,eva_winther_minister_1978,
17,Birgit Friggebo,Bostadsminister,1978-10-18,1979-10-12,birgit_friggebo_minister_1978,
18,Erik Huss,Industriminister,1978-10-18,1979-10-12,erik_huss_minister_1978,
19,Bertil Hansson,Kommun- och kyrkominister samt minister för nordiskt samarbete,1978-10-18,1979-10-12,bertil_hansson_minister_1978,
20,Göran Persson,Statsminister,1996-03-22,2006-10-06,göran_persson_minister_1996,
21,Lena Hjelm-Wallén,Vice statsminister,1998-10-07,2002-10-21,lena_hjelm-wallén_minister_1998,
22,Margareta Winberg,Vice statsminister,2002-10-21,2003-10-31,margareta_winberg_minister_2002,
23,Lars Engqvist,Vice statsminister,2004-06-01,2004-10-01,lars_engqvist_minister_2004,
24,Bosse Ringholm,Vice statsminister och idrottsminister,2004-11-01,2006-10-06,bosse_ringholm_minister_2004,
25,Leif Pagrotsky,Samordningsminister och Minister för vapenexportfrågor,1996-03-22,1997-02-01,leif_pagrotsky_minister_1996,
26,Thage G Peterson,Samordningsminister och Minister för vapenexportfrågor,1997-02-01,1998-10-07,thage_g_peterson_minister_1997,
27,Pär Nuder,Samordningsminister och Minister för vapenexportfrågor,2002-10-21,2004-10-21,pär_nuder_minister_2002,
28,Bosse Ringholm,Samordningsminister i EU-frågor,2005-01-01,2006-10-06,bosse_ringholm_minister_2005,
29,Laila Freivalds,Justitieminister,1994-10-07,2000-09-21,laila_freivalds_minister_1994,
30,Lena Hjelm-Wallén,Justitieminister,2000-09-21,2000-10-16,lena_hjelm-wallén_minister_2000,
