titel,name,party,start,end,chamber,id,loc,start_manual,end_manual
1_vice_talman,Ingegerd Troedsson,m,1979-10-01,1982-10-03,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,,False,False
2_vice_talman,Thorsten Larsson,c,1979-10-01,1982-10-03,Enkammarriksdagen,thorsten_larsson_2_vice_talman,,False,False
3_vice_talman,Karl Erik Eriksson,l,1979-10-01,1982-10-03,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,,False,False
1_vice_talman,Ingegerd Troedsson,m,1982-10-04,1985-09-29,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,,False,False
2_vice_talman,Anders Dahlgren,c,1982-10-04,1985-09-29,Enkammarriksdagen,anders_dahlgren_2_vice_talman,,False,False
3_vice_talman,Karl Erik Eriksson,l,1982-10-04,1985-09-29,Enkammarriksdagen,karl_erik_eriksson_3_vice_talman,,False,False
1_vice_talman,Ingegerd Troedsson,m,1985-09-30,1988-10-02,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,,False,False
2_vice_talman,Karl Erik Eriksson,l,1985-09-30,1988-04-05,Enkammarriksdagen,karl_erik_eriksson_2_vice_talman,,False,True
2_vice_talman,Christer Eirefelt,l,1988-04-06,1988-10-02,Enkammarriksdagen,christer_eirefelt_2_vice_talman,,True,False
3_vice_talman,Anders Dahlgren,c,1985-09-30,1986-04-02,Enkammarriksdagen,anders_dahlgren_3_vice_talman,,False,True
3_vice_talman,Bertil Fiskesjö,c,1986-04-03,1988-10-02,Enkammarriksdagen,bertil_fiskesjo_2_vice_talman,,True,False
1_vice_talman,Ingegerd Troedsson,m,1988-10-03,1991-10-01,Enkammarriksdagen,ingegerd_troedsson_1_vice_talman,,False,False
2_vice_talman,Christer Eirefelt,l,1988-10-03,1991-10-01,Enkammarriksdagen,christer_eirefelt_2_vice_talman,,False,False
3_vice_talman,Bertil Fiskesjö,c,1988-10-03,1991-10-01,Enkammarriksdagen,bertil_fiskesjo_3_vice_talman,,False,False
1_vice_talman,Stig Alemyr,s,1991-10-02,1994-03-09,Enkammarriksdagen,stig_alemyr_1_vice_talman,,False,False
2_vice_talman,Christer Eirefelt,l,1991-10-02,1994-03-09,Enkammarriksdagen,christer_eirefelt_2_vice_talman,,False,False
3_vice_talman,Bertil Fiskesjö,c,1991-10-02,1994-03-09,Enkammarriksdagen,bertil_fiskesjo_3_vice_talman,,False,False
1_vice_talman,Anders Björck,m,1994-03-10,1998-09-30,Enkammarriksdagen,anders_bjorck_1_vice_talman,,False,False
2_vice_talman,Görel Thurdin,c,1994-03-10,1998-09-30,Enkammarriksdagen,gorel_thurdin_2_vice_talman,,False,False
3_vice_talman,Christer Eirefelt,l,1994-03-10,1998-09-30,Enkammarriksdagen,christer_eirefelt_3_vice_talman,,False,False
1_vice_talman,Anders Björck,m,1998-10-01,2002-09-29,Enkammarriksdagen,anders_bjorck_1_vice_talman,,False,False
2_vice_talman,Eva Zetterberg,v,1998-10-01,2002-09-29,Enkammarriksdagen,eva_zetterberg_2_vice_talman,,False,False
3_vice_talman,Rose-Marie Frebran,kd,1998-10-01,2002-09-29,Enkammarriksdagen,rose-marie_frebran_3_vice_talman,,False,False
1_vice_talman,Anders Björck,m,2002-09-30,2002-12-31,Enkammarriksdagen,anders_bjorck_1_vice_talman,,False,True
1_vice_talman,Per Westerberg,m,2003-01-01,2006-10-01,Enkammarriksdagen,per_westerberg_1_vice_talman,,True,False
2_vice_talman,Kerstin Heinemann,l,2002-09-30,2006-10-01,Enkammarriksdagen,kerstin_heinemann_2_vice_talman,,False,False
3_vice_talman,Helena Höij,kd,2002-09-30,2006-10-01,Enkammarriksdagen,helena_hoij_3_vice_talman,,False,False
1_vice_talman,Jan Björkman,s,2006-10-02,2010-10-03,Enkammarriksdagen,jan_bjorkman_1_vice_talman,,False,False
2_vice_talman,Birgitta Sellén,c,2006-10-02,2010-10-03,Enkammarriksdagen,birgitta_sellen_2_vice_talman,,False,True
3_vice_talman,Liselott Hagberg,l,2006-10-02,2010-10-03,Enkammarriksdagen,liselott_hagberg_3_vice_talman,,False,False
1_vice_talman,Susanne Eberstein,s,2010-10-04,2014-09-28,Enkammarriksdagen,susanne_eberstein_1_vice_talman,,False,True
2_vice_talman,Ulf Holm,mp,2010-10-04,2014-09-28,Enkammarriksdagen,ulf_holm_2_vice_talman,,True,True
3_vice_talman,Liselott Hagberg,l,2010-10-04,2012-09-30,Enkammarriksdagen,liselott_hagberg_3_vice_talman,,False,True
3_vice_talman,Jan Ertsborn,l,2012-10-01,2014-09-28,Enkammarriksdagen,jan_ertsborn_3_vice_talman,,True,True
1_vice_talman,Tobias Billström,m,2014-09-29,2017-10-10,Enkammarriksdagen,tobias_billstrom_1_vice_talman,,True,True
1_vice_talman,Ewa Thalén Finné,m,2017-10-11,2018-09-23,Enkammarriksdagen,ewa_thalen_finne_1_vice_talman,,True,True
2_vice_talman,Björn Söder,sd,2014-09-29,2018-09-23,Enkammarriksdagen,bjorn_soder_2_vice_talman,,True,True
3_vice_talman,Esabelle Dingizian,mp,2014-09-29,2018-09-23,Enkammarriksdagen,esabelle_dingizian_3_vice_talman,,True,True
1_vice_talman,Åsa Lindestam,s,2018-09-24,2022-09-11,Enkammarriksdagen,asa_lindestam_1_vice_talman,,True,True
2_vice_talman,Lotta Johnsson Fornarve,v,2018-09-24,2022-09-11,Enkammarriksdagen,lotta_johnsson_fornarve_2_vice_talman,,True,True
3_vice_talman,Kerstin Lundgren,c,2018-09-24,2022-09-11,Enkammarriksdagen,kerstin_lundgren_3_vice_talman,,True,True
talman,Hugo Hamilton,partilös,1916-01-01,1928-01-01,Första kammaren,hugo_hamilton_talman,,False,False
talman,Axel Vennersten,m,1928-01-02,1936-12-31,Första kammaren,axel_vennersten_talman,,False,False
talman,Johan Nilsson,m,1937-01-01,1955-12-31,Första kammaren,johan_nilsson_talman,,False,False
talman,John Bergvall,l,1956-01-05,1959-01-06,Första kammaren,john_bergvall_talman,,False,False
talman,Gustaf Valfrid Sundelin,l,1959-01-07,1964-12-31,Första kammaren,gustaf_valfrid_sundelin_talman,,False,False
talman,Erik Boheman,l,1965-01-01,1970-12-31,Första kammaren,erik_boheman_talman,,False,False
talman,Herman Lindqvist,s,1918-01-01,1921-01-09,Andra kammaren,herman_lindqvist_talman,,False,False
talman,Viktor Larsson,s,1922-01-01,1923-01-09,Andra kammaren,viktor_larsson_talman,,False,False
talman,Herman Lindqvist,s,1924-01-10,1927-12-31,Andra kammaren,herman_lindqvist_talman,,False,False
talman,Bernhard Eriksson,s,1928-01-10,1932-12-31,Andra kammaren,bernard_eriksson_talman,,False,False
talman,August Sävström,s,1933-01-01,1952-01-08,Andra kammaren,august_sävström_talman,,False,False
