name,replacer,party,district,start,end,note,chamber,id,party_abbrev,gender
Bengt Lindqvist,Anita Gradin,Socialdemokraterna,Stockholms kommun,1982-10-08,1985,government change,Enkammarriksdagen,bengt_lindqvist_99e249,S,man
Sören Lekberg,Anna-Greta Leijon,Socialdemokraterna,Stockholms län,1982-10-08,1985,government change,Enkammarriksdagen,soren_lekberg_2a6b3e,S,man
Ulf Lönnqvist,Ingvar Carlsson,Socialdemokraterna,Stockholms län,1982-10-08,1985,government change,Enkammarriksdagen,ulf_lonnqvist_baf3a7,S,man
Hans Göran Franck,Thage G. Peterson,Socialdemokraterna,Stockholms län,1982-10-08,1985,government change,Enkammarriksdagen,hans_goran_franck_53902a,S,man
Anna Lindh,Birgitta Dahl,Socialdemokraterna,Uppsala län,1982-10-08,1985,government change,Enkammarriksdagen,anna_lindh_b018e7,S,woman
Lars Andersson,Svante Lundkvist,Socialdemokraterna,Södermanlands län,1982-10-08,1985,government change,Enkammarriksdagen,lars_andersson_a0ab50,S,man
Christer Skoog,Hans Gustafsson,Socialdemokraterna,Blekinge län,1982-10-08,1985,government change,Enkammarriksdagen,christer_skoog_c60b3d,S,man
Margareta Hemmingsson,Lena Hjelm-Wallén,Socialdemokraterna,Västmanlands län,1982-10-08,1985,government change,Enkammarriksdagen,margareta_hemmingsson_af8b1b,S,woman
Bengt-Ola Ryttar,Kjell-Olof Feldt,Socialdemokraterna,Kopparbergs län,1982-10-08,1985,government change,Enkammarriksdagen,bengt-ola_ryttar_5ba435,S,man
Bruno Poromaa,Curt Boström,Socialdemokraterna,Norrbottens län,1982-10-08,1985,government change,Enkammarriksdagen,bruno_poromaa_ed2a7b,S,man
Ulla-Britt Åbark,Ingemund Bengtsson,Socialdemokraterna,Hallands län,1985,1988,,Enkammarriksdagen,ulla-britt_abark_43bc62,S,woman
Barbro Evermo,Olof Palme,Socialdemokraterna,Stockholms kommun,1985,1988,,Enkammarriksdagen,barbro_evermo_54cdf0,S,woman
