decade,name,born,municipality,district,chamber,year,id,gender,party,start,end
ea_2077_59463_1_1972,Gustaf Anders Rune Torwald,1924,,,,1972,gustaf_anders_rune_torwald_7e2408,man,,1972,1972
ea_2077_59463_1_1972,Rolf Odar Mauritz Sellgren,1919,,,,1972,rolf_odar_mauritz_sellgren_cecba1,man,,1972,1972
ea_2077_59464_1_1973,Karl Åke Henry Allard,1911,,,,1973,karl_ake_henry_allard_267dce,man,,1973,1973
ea_2077_59464_1_1973,Oskar William Lindkvist,1921,,,,1973,oskar_william_lindkvist_aacf8a,man,,1973,1973
ea_2077_59464_1_1973,Jan-Erik Wikström,1932,,,,1973,jan-erik_wikstrom_bc1c0e,man,,1973,1973
ea_2077_59464_1_1973,Alf Wennerfors,1928,,,,1973,alf_wennerfors_1f95c8,man,,1973,1973
ea_2077_59464_1_1973,Åke Valfrid Wictorsson,1932,,,,1973,ake_valfrid_wictorsson_643ff0,man,,1973,1973
ea_2077_59464_1_1973,Eric William Johanson,1905,,,,1973,eric_william_johanson_091434,man,,1973,1973
ea_2077_59464_1_1973,Per-Axel Emanuel Nilsson,1920,,Gotlands län,,1973,per-axel_emanuel_nilsson_a07535,man,,1973,1973
ea_2077_59464_1_1973,Svante Arne Kristiansson,1907,,,,1973,svante_arne_kristiansson_ffd7dc,man,,1973,1973
ea_2077_59464_1_1973,Paul Lennart Wiggo Komstedt,1937,,Kristianstads län,,1973,paul_lennart_wiggo_komstedt_7cfcbf,man,,1973,1973
ea_2077_59464_1_1973,Kurt Ingemar Hugosson,1931,,,,1973,kurt_ingemar_hugosson_39e7f0,man,,1973,1973
ea_2077_59464_1_1973,Gustaf Anders Rune Torwald,1924,,,,1973,gustaf_anders_rune_torwald_fdb2e0,man,,1973,1973
ea_2077_59465_1_1975,Aina Cecilia Nettelbrandt,1928,,,,1975,aina_cecilia_nettelbrandt_cb103a,woman,,1975,1975
ea_2077_59465_1_1975,Oskar William Lindkvist,1921,,,,1975,oskar_william_lindkvist_b68b77,man,,1975,1975
ea_2077_59465_1_1975,Åke Valfrid Wictorsson,1932,,,,1975,ake_valfrid_wictorsson_471535,man,,1975,1975
ea_2077_59465_1_1975,Per-Axel Emanuel Nilsson,1920,,Gotlands län,,1975,per-axel_emanuel_nilsson_9aff04,man,,1975,1975
ea_2077_59465_1_1975,Kurt Ingemar Hugosson,1931,,,,1975,kurt_ingemar_hugosson_04f77e,man,,1975,1975
ea_2077_59465_1_1975,Gustaf Anders Rune Torwald,1924,,,,1975,gustaf_anders_rune_torwald_9eb659,man,,1975,1975
ea_2077_59465_1_1975,Anna Christina Rogestam,1943,,,,1975,anna_christina_rogestam_788dd6,woman,,1975,1975
ea_2077_59465_1_1975,Sven Erik Axel Ekström,1912,,,,1975,sven_erik_axel_ekstrom_916b73,man,,1975,1975
ea_2077_59465_1_1975,Rolf Odar Mauritz Sellgren,1919,,,,1975,rolf_odar_mauritz_sellgren_2c6811,man,,1975,1975
ea_2077_59618_1_1976,Oskar William Lindkvist,1921,,,,1976,oskar_william_lindkvist_ef05bf,man,,1976,1976
ea_2077_59618_1_1976,Jan-Erik Wikström,1932,,,,1976,jan-erik_wikstrom_ab71b9,man,,1976,1976
ea_2077_59618_1_1976,Alf Wennerfors,1928,,,,1976,alf_wennerfors_9a9c0c,man,,1976,1976
ea_2077_59618_1_1976,Åke Valfrid Wictorsson,1932,,,,1976,ake_valfrid_wictorsson_e5471a,man,,1976,1976
