decade,name,born,municipality,district,chamber,year,id,gender,party,start,end
ea_2077_63110_1_1931,Albin Eriksson,1879,,,,1931,albin_eriksson_1be518,man,,1931,1931
ea_2077_63110_1_1931,Anders Birger Andersson,1878,,,,1931,anders_birger_andersson_0317d2,man,,1931,1931
ea_2077_63110_1_1931,Oskar Linus Andersson,1875,,,,1931,oskar_linus_andersson_fb14be,man,,1931,1931
ea_2077_63110_1_1931,Ernst Johannes Wigforss,1881,,,,1931,ernst_johannes_wigforss_d40ca2,man,,1931,1931
ea_2077_63110_1_1931,Olof Axel Edvard Lithander,1870,,,,1931,olof_axel_edvard_lithander_2b6ddd,man,,1931,1931
ea_2077_63110_1_1931,Jakob Julius Hedvall,1886,,,,1931,jakob_julius_hedvall_9b7bcf,man,,1931,1931
ea_2077_63110_1_1931,Johan Albin Ström,1892,,,,1931,johan_albin_strom_21cc19,man,,1931,1931
ea_2077_63110_1_1931,Frans Erik Wilhelm Olson,1886,,,,1931,frans_erik_wilhelm_olson_4ef030,man,,1931,1931
ea_2077_63110_1_1931,Carl Wilhelm Oskar Höglund,1868,,,,1931,carl_wilhelm_oskar_hoglund_dff4c2,man,,1931,1931
ea_2077_63110_1_1931,Per Pehrsson,1867,,,,1931,per_pehrsson_22f661,man,,1931,1931
ea_2077_63110_1_1931,Algot Nathanael Sjöström,1879,,,,1931,algot_nathanael_sjostrom_6957e8,man,,1931,1931
ea_2077_63110_1_1931,Anders Ernst Theodor Wijkander,1880,,Göteborgs och Bohus län,,1931,anders_ernst_theodor_wijkander_d4722c,man,,1931,1931
ea_2077_63110_1_1931,Oscar Nathanael Olsson,1856,,,,1931,oscar_nathanael_olsson_4d2dcf,man,,1931,1931
ea_2077_63110_1_1931,Cornelius Olsson,1857,,,,1931,cornelius_olsson_aa5abc,man,,1931,1931
ea_2077_63110_1_1931,Oscar Osberg,1872,,,,1931,oscar_osberg_d4ef95,man,,1931,1931
ea_2077_63110_1_1931,Carl Magnus Larsson Brännberg,1884,,,,1931,carl_magnus_larsson_brannberg_e26ded,man,,1931,1931
ea_2077_63110_1_1931,Anders Teodor Adolf Wallerius,1874,,,,1931,anders_teodor_adolf_wallerius_b3ae0d,man,,1931,1931
ea_2077_63110_1_1931,Johannes Victor Mårtenson,1885,,,,1931,johannes_victor_martenson_f3d4d1,man,,1931,1931
ea_2077_63110_1_1931,Herman Andersson,1869,,,,1931,herman_andersson_944230,man,,1931,1931
ea_2077_63110_1_1931,Karl Gustaf Karlsson,1889,,Älvsborgs län,,1931,karl_gustaf_karlsson_579dfe,man,,1931,1931
ea_2077_63110_1_1931,Arthur Wilhelm Gustafson,1870,,,,1931,arthur_wilhelm_gustafson_fd812c,man,,1931,1931
ea_2077_63110_1_1931,Anders Emil Hansson,1882,,,,1931,anders_emil_hansson_541c41,man,,1931,1931
ea_2077_63110_1_1931,Anders Lindgren,1874,,,,1931,anders_lindgren_e64a17,man,,1931,1931
ea_2077_63110_1_1931,Carl Thore Jonas Alströmer,1879,,,,1931,carl_thore_jonas_alstromer_4b1c8b,man,,1931,1931
ea_2077_63110_1_1931,Carl Petrus Olsson,1881,,,,1931,carl_petrus_olsson_41c65a,man,,1931,1931
ea_2077_63110_1_1931,August Danielsson,1876,,,,1931,august_danielsson_d782bc,man,,1931,1931
ea_2077_63110_1_1931,Johan Lennart Johansson,1884,,,,1931,johan_lennart_johansson_5721cb,man,,1931,1931
ea_2077_63110_1_1931,Anders Birger Petersson,1885,,,,1931,anders_birger_petersson_b388c0,man,,1931,1931
ea_2077_63110_1_1931,Justus Edvin Leffler,1875,,,,1931,justus_edvin_leffler_3d6776,man,,1931,1931
ea_2077_63110_1_1931,Johan Josef Emanuel Weijne,1893,,,,1931,johan_josef_emanuel_weijne_77b540,man,,1931,1931
ea_2077_63110_1_1931,Johan Otto Johansson,1869,,,,1931,johan_otto_johansson_0be921,man,,1931,1931
ea_2077_63110_1_1931,Karl Arthur Ryberg,1882,,Skaraborgs län,,1931,karl_arthur_ryberg_360724,man,,1931,1931
ea_2077_63110_1_1931,Karl Hilding Magnusson,1877,,,,1931,karl_hilding_magnusson_ef27c1,man,,1931,1931
ea_2077_63110_1_1931,Helge Karl Vilhelm Bäcklund,1880,,,,1931,helge_karl_vilhelm_backlund_f994b9,man,,1931,1931
ea_2077_63110_1_1931,Carl Emil Bengtsson,1875,Kullen,,,1931,carl_emil_bengtsson_045ec6,man,,1931,1931
ea_2077_63110_1_1931,Gustav Albert Johanson,1887,,,,1931,gustav_albert_johanson_8b5674,man,,1931,1931
ea_2077_63110_1_1931,Carl Otto Vahlstedt,1874,,,,1931,carl_otto_vahlstedt_5db2d5,man,,1931,1931
ea_2077_63110_1_1931,Carl Arvid Anderson,1887,,,,1931,carl_arvid_anderson_e2d412,man,,1931,1931
ea_2077_63110_1_1931,Erik Bernhard Nordkvist,1889,,,,1931,erik_bernhard_nordkvist_df3ec8,man,,1931,1931
ea_2077_63110_1_1931,Johan Albert Leander Persson,1887,,Värmlands län,,1931,johan_albert_leander_persson_7f60b1,man,,1931,1931
ea_2077_63110_1_1931,Carl Petter Jansson,1858,,,,1931,carl_petter_jansson_d472f7,man,,1931,1931
ea_2077_63110_1_1931,Herman Norling,1889,,,,1931,herman_norling_c91297,man,,1931,1931
ea_2077_63110_1_1931,Nils Persson,1873,,,,1931,nils_persson_628e78,man,,1931,1931
ea_2077_63110_1_1931,August Konrad Ferdinand Spångberg,1893,,,,1931,august_konrad_ferdinand_spangberg_907c19,man,,1931,1931
ea_2077_63110_1_1931,Carl Joel Björling,1875,,,,1931,carl_joel_bjorling_1e4197,man,,1931,1931
ea_2077_63110_1_1931,Anders Norsell,1874,,,,1931,anders_norsell_0d6fda,man,,1931,1931
ea_2077_63110_1_1931,Anders Gustaf Olson,1879,,,,1931,anders_gustaf_olson_3af8e9,man,,1931,1931
ea_2077_63110_1_1931,Emil Andersson,1876,,,,1931,emil_andersson_434587,man,,1931,1931
ea_2077_63110_1_1931,Råda Prästbol,1873,,Örebro län,,1931,rada_prastbol_8afaba,,,1931,1931
ea_2077_63110_1_1931,Anders Anderson,1874,,,,1931,anders_anderson_c9ac8a,man,,1931,1931
ea_2077_63110_1_1931,Gunnar Persson,1885,,,,1931,gunnar_persson_fc014e,man,,1931,1931
ea_2077_63110_1_1931,Edvard Jansson Uddenberg,1870,,,,1931,edvard_jansson_uddenberg_d94cc5,man,,1931,1931
ea_2077_63110_1_1931,Olof Nilsson,1874,,,,1931,olof_nilsson_c64952,man,,1931,1931
ea_2077_63110_1_1931,Fredrik Vilhelm Sandwall,1877,,,,1931,fredrik_vilhelm_sandwall_15a35b,man,,1931,1931
ea_2077_63110_1_1931,Johan Adolf Bertil Mogård,1892,,,,1931,johan_adolf_bertil_mogard_7cde20,man,,1931,1931
ea_2077_63110_1_1931,Elof Ljunggren,1869,,,,1931,elof_ljunggren_26b9c3,man,,1931,1931
ea_2077_63110_1_1931,Ernst Åqvist,1875,,Västmanlands län,,1931,ernst_aqvist_3e10f1,man,,1931,1931
ea_2077_63110_1_1931,Viktor Larsson,1869,,,,1931,viktor_larsson_6d808c,man,,1931,1931
ea_2077_63110_1_1931,Oskar Emil Olovson,1883,,,,1931,oskar_emil_olovson_f8fccc,man,,1931,1931
ea_2077_63110_1_1931,Johan Anton Eklund,1883,,,,1931,johan_anton_eklund_27f79d,man,,1931,1931
ea_2077_63110_1_1931,Johan August Ander,1869,,,,1931,johan_august_ander_57981e,man,,1931,1931
ea_2077_63110_1_1931,Anders Johan Johansson,1863,,,,1931,anders_johan_johansson_b759a2,man,,1931,1931
ea_2077_63110_1_1931,John Rikard Olsson,1878,,,,1931,john_rikard_olsson_4c5346,man,,1931,1931
ea_2077_63110_1_1931,Johan Bernhard Eriksson,1878,,,,1931,johan_bernhard_eriksson_c9b4c9,man,,1931,1931
ea_2077_63110_1_1931,Anders Olsson,1885,,,,1931,anders_olsson_2b3bfb,man,,1931,1931
ea_2077_63110_1_1931,Carl Robert Jansson,1868,,,,1931,carl_robert_jansson_0fddc8,man,,1931,1931
ea_2077_63110_1_1931,Gustaf Kristoffer Pettersson,1885,,,,1931,gustaf_kristoffer_pettersson_dd6018,man,,1931,1931
ea_2077_63110_1_1931,Gustaf Henning Andersson,1884,,,,1931,gustaf_henning_andersson_6ffcce,man,,1931,1931
ea_2077_63110_1_1931,Evald Eriksson,1883,,,,1931,evald_eriksson_2eb8d3,man,,1931,1931
ea_2077_63110_1_1931,Jones Erik Andersson,1881,,,,1931,jones_erik_andersson_59ec1a,,,1931,1931
ea_2077_63110_1_1931,August Vilhelm Sävström,1879,,,,1931,august_vilhelm_savstrom_e84eb5,man,,1931,1931
ea_2077_63110_1_1931,Jonas Nikolaus Svedberg,1881,,,,1931,jonas_nikolaus_svedberg_44e902,man,,1931,1931
ea_2077_63110_1_1931,Olof Johansson,1867,,,,1931,olof_johansson_b8ddb4,man,,1931,1931
ea_2077_63110_1_1931,Johan Viktor Herou,1889,,,,1931,johan_viktor_herou_773b57,man,,1931,1931
ea_2077_63110_1_1931,Nils Holmström,1884,,,,1931,nils_holmstrom_df6b9d,man,,1931,1931
ea_2077_63110_1_1931,Karl Fabian Månsson,1872,,,,1931,karl_fabian_mansson_40a9e8,man,,1931,1931
ea_2077_63110_1_1931,Axel Emil Hultman,1880,,,,1931,axel_emil_hultman_7be289,man,,1931,1931
ea_2077_63110_1_1931,Ernst Isedor Lindley,1878,,,,1931,ernst_isedor_lindley_f9f11c,man,,1931,1931
ea_2077_63110_1_1931,Anders Hilding,1869,,,,1931,anders_hilding_a20183,man,,1931,1931
ea_2077_63110_1_1931,Carl Johan Högström,1880,,,,1931,carl_johan_hogstrom_65524f,man,,1931,1931
ea_2077_63110_1_1931,Johan Mauritz Västberg,1886,,,,1931,johan_mauritz_vastberg_08cf82,man,,1931,1931
ea_2077_63110_1_1931,Gerhard Strindiund,1890,,,,1931,gerhard_strindiund_9a89f8,man,,1931,1931
ea_2077_63110_1_1931,Petrus Bergström,1881,,,,1931,petrus_bergstrom_8ff3b3,man,,1931,1931
ea_2077_63110_1_1931,Nils Victor Sandström,1874,,,,1931,nils_victor_sandstrom_7f41f2,man,,1931,1931
ea_2077_63110_1_1931,Eric Oscar Öhman,1886,,,,1931,eric_oscar_ohman_e2f792,man,,1931,1931
ea_2077_63110_1_1931,Per Jonas Edberg,1878,,,,1931,per_jonas_edberg_8f31d5,man,,1931,1931
ea_2077_63110_1_1931,Carl Oscar Johansson,1875,,,,1931,carl_oscar_johansson_0c8727,man,,1931,1931
ea_2077_63110_1_1931,Ernst Gunnar Harald Berg,1886,,,,1931,ernst_gunnar_harald_berg_c95802,man,,1931,1931
ea_2077_63110_1_1931,Paulus Samuel Hedlund,1878,,,,1931,paulus_samuel_hedlund_1e3d37,man,,1931,1931
ea_2077_63110_1_1931,Verner Vilhelm Hedlund,1883,,,,1931,verner_vilhelm_hedlund_ad6984,man,,1931,1931
ea_2077_63110_1_1931,Johan Olofsson,1860,,,,1931,johan_olofsson_5d2227,man,,1931,1931
ea_2077_63110_1_1931,Nils Olsson,1873,,,,1931,nils_olsson_b600ce,man,,1931,1931
ea_2077_63110_1_1931,Per Persson,1869,,,,1931,per_persson_d4dbee,man,,1931,1931
ea_2077_63110_1_1931,Olof Evert Sandberg,1886,,,,1931,olof_evert_sandberg_d7f3ec,man,,1931,1931
ea_2077_63110_1_1931,Ewald Eug Lindmark,1885,,,,1931,ewald_eug_lindmark_02229e,man,,1931,1931
ea_2077_63110_1_1931,Elof Herman Lindberg,1891,,,,1931,elof_herman_lindberg_baf5c9,man,,1931,1931
ea_2077_63110_1_1931,Anton Wikström,1876,,,,1931,anton_wikstrom_779c82,man,,1931,1931
ea_2077_63110_1_1931,Adolf Wiklund,1859,,,,1931,adolf_wiklund_fa5f74,man,,1931,1931
ea_2077_63110_1_1931,Per Johan Näslund,1886,,,,1931,per_johan_naslund_ea0436,man,,1931,1931
ea_2077_63110_1_1931,Johan Bernhard Wiklund,1886,,Norrbottens län,,1931,johan_bernhard_wiklund_e68632,man,,1931,1931
ea_2077_63110_1_1931,Nils Erik Nilsson,1866,,,,1931,nils_erik_nilsson_13a078,man,,1931,1931
ea_2077_63110_1_1931,Ernst August Hage,1876,,,,1931,ernst_august_hage_1c662c,man,,1931,1931
ea_2077_63110_1_1931,Peter Jöran Grapenson,1878,,,,1931,peter_joran_grapenson_7d9cc9,man,,1931,1931
ea_2077_63110_1_1931,Gustaf Harald Lundström,1890,,,,1931,gustaf_harald_lundstrom_4df7a1,man,,1931,1931
ea_2077_63110_1_1931,Oscar Wilhelm Lövgren,1888,,,,1931,oscar_wilhelm_lovgren_e85222,man,,1931,1931
ea_2077_63110_1_1931,Gustaf Reinhold Selberg,1884,,,,1931,gustaf_reinhold_selberg_7ea27a,man,,1931,1931
ea_2077_63111_1_1921,Ernst Trygger,1857,,,,1921,ernst_trygger_f2e11d,man,,1921,1921
ea_2077_63111_1_1921,Ernst Alarik Klefbeck,1866,,,,1921,ernst_alarik_klefbeck_c30042,man,,1921,1921
ea_2077_63111_1_1921,Sten Stendahl,1876,,,,1921,sten_stendahl_813ee2,man,,1921,1921
ea_2077_63111_1_1921,Charles Gustaf Lindley,1865,,,,1921,charles_gustaf_lindley_9b18e4,man,,1921,1921
ea_2077_63111_1_1921,Jan Erik Berglund,1864,,,,1921,jan_erik_berglund_4c7f32,man,,1921,1921
ea_2077_63111_1_1921,Johan Östberg,1855,,,,1921,johan_ostberg_dc04b4,man,,1921,1921
ea_2077_63111_1_1921,Carl Bernhard Romanus,1876,,,,1921,carl_bernhard_romanus_15cbe4,man,,1921,1921
ea_2077_63111_1_1921,Herman Fredrik Lamm,1853,,,,1921,herman_fredrik_lamm_49f43a,man,,1921,1921
ea_2077_63111_1_1921,Oscar Fredrik Borge,1862,,Stockholms län,,1921,oscar_fredrik_borge_dde8a3,man,,1921,1921
ea_2077_63111_1_1921,Fritz Gustav Möller,1884,,,,1921,fritz_gustav_moller_c08325,man,,1921,1921
ea_2077_63111_1_1921,Byråchef Greve,1860,,,,1921,byrachef_greve_f290c5,,,1921,1921
ea_2077_63111_1_1921,Karl Gustaf Theodor Borell,1869,,,,1921,karl_gustaf_theodor_borell_e6049a,man,,1921,1921
ea_2077_63111_1_1921,Helge Mattias Bäckström,1865,,,,1921,helge_mattias_backstrom_9a7128,man,,1921,1921
ea_2077_63111_1_1921,Nils Adolf Berge,1869,,,,1921,nils_adolf_berge_ba40d0,man,,1921,1921
ea_2077_63111_1_1921,Fredrik Arvid Erikson,1865,,Uppsala län,,1921,fredrik_arvid_erikson_f00b1b,man,,1921,1921
ea_2077_63111_1_1921,Pro- Axel,1870,,,,1921,pro-_axel_78b85b,,,1921,1921
ea_2077_63111_1_1921,Edvard Jansson Hagtält,1873,,,,1921,edvard_jansson_hagtalt_703cbd,man,,1921,1921
ea_2077_63111_1_1921,Nils Erik Alexanderson,1875,,Södermanlands län,,1921,nils_erik_alexanderson_c7b547,man,,1921,1921
ea_2077_63111_1_1921,Carl Emil Svensson,1879,,,,1921,carl_emil_svensson_00442e,man,,1921,1921
ea_2077_63111_1_1921,Assar Emanuel Åkerman,1860,,,,1921,assar_emanuel_akerman_a1e535,man,,1921,1921
ea_2077_63111_1_1921,Axel Modig,1859,,,,1921,axel_modig_0a29b4,man,,1921,1921
ea_2077_63111_1_1921,Gustaf Robert Sederholm,1868,,,,1921,gustaf_robert_sederholm_4c203f,man,,1921,1921
ea_2077_63111_1_1921,Frans Oskar Strutz,1864,,Östergötlands län,,1921,frans_oskar_strutz_55e630,man,,1921,1921
ea_2077_63111_1_1921,Johan Axel Träff,1875,,,,1921,johan_axel_traff_ef95ea,man,,1921,1921
ea_2077_63111_1_1921,Karl Gustaf Westman,1876,,,,1921,karl_gustaf_westman_9093aa,man,,1921,1921
ea_2077_63111_1_1921,Oscar Herman August Fleming,1859,,,,1921,oscar_herman_august_fleming_ce5e82,man,,1921,1921
ea_2077_63111_1_1921,Johan Einar Ossian Thulin,1883,,,,1921,johan_einar_ossian_thulin_27993e,man,,1921,1921
ea_2077_63111_1_1921,Axel Theodor Adelswärd,1860,,,,1921,axel_theodor_adelsward_c6c208,man,,1921,1921
ea_2077_63111_1_1921,Per Albert Bergström,1869,,,,1921,per_albert_bergstrom_9cbee8,man,,1921,1921
ea_2077_63111_1_1921,Henning Gösta Andersson,1877,,,,1921,henning_gosta_andersson_6e4c5c,man,,1921,1921
ea_2077_63111_1_1921,Carl Johan Gustaf Swartz,1858,,Fönköpings län,,1921,carl_johan_gustaf_swartz_4614e4,man,,1921,1921
ea_2077_63111_1_1921,Karl Johan Alfred Gustafsson,1862,,,,1921,karl_johan_alfred_gustafsson_497b9a,man,,1921,1921
ea_2077_63111_1_1921,Landssekrete- Greve,1861,,,,1921,landssekrete-_greve_4b5bed,,,1921,1921
ea_2077_63111_1_1921,Salomon Malkolm Petterson,1862,,,,1921,salomon_malkolm_petterson_fec5b9,man,,1921,1921
ea_2077_63111_1_1921,Karl Johan Ekman,1863,,,,1921,karl_johan_ekman_c9ceca,man,,1921,1921
ea_2077_63111_1_1921,Johan Albert Eriksson,1857,,Kronobergs län,,1921,johan_albert_eriksson_b32ecc,man,,1921,1921
ea_2077_63111_1_1921,Aaby Arvid Wilhelm Eriesson,1859,,,,1921,aaby_arvid_wilhelm_eriesson_925742,,,1921,1921
ea_2077_63111_1_1921,August Ljunggren,1874,,,,1921,august_ljunggren_722838,man,,1921,1921
ea_2077_63111_1_1921,Nils Anton Bondeson,1872,,,,1921,nils_anton_bondeson_e2621b,man,,1921,1921
ea_2077_63111_1_1921,Axel Rudolf Rooth,1858,,Kalmar län,,1921,axel_rudolf_rooth_7f471c,man,,1921,1921
ea_2077_63111_1_1921,Axel Olof Rune,1866,,,,1921,axel_olof_rune_7ce2f2,man,,1921,1921
ea_2077_63111_1_1921,Sven Erik Andersson,1870,,,,1921,sven_erik_andersson_bda29f,man,,1921,1921
ea_2077_63111_1_1921,Carl Petrus Valdemar Nilsson,1881,,,,1921,carl_petrus_valdemar_nilsson_3cf109,man,,1921,1921
ea_2077_63111_1_1921,Gustaf Henrik Malmberg,1869,,,,1921,gustaf_henrik_malmberg_52fc09,man,,1921,1921
ea_2077_63111_1_1921,John Jeansson,1865,,,,1921,john_jeansson_1e52f5,man,,1921,1921
ea_2077_63111_1_1921,Carl Gustaf Boberg,1859,,,,1921,carl_gustaf_boberg_510f5a,man,,1921,1921
ea_2077_63111_1_1921,Lars Gunnar Bodin,1872,,,,1921,lars_gunnar_bodin_2244fa,man,,1921,1921
ea_2077_63111_1_1921,Lands- Greve,1855,,,,1921,lands-_greve_2e1c19,,,1921,1921
ea_2077_63111_1_1921,Johan Ingmansson,1845,,,,1921,johan_ingmansson_980330,man,,1921,1921
ea_2077_63111_1_1921,Johan Gustaf Carlsson,1884,,,,1921,johan_gustaf_carlsson_27684e,man,,1921,1921
ea_2077_63111_1_1921,Karl Johansson,1880,,,,1921,karl_johansson_810129,man,,1921,1921
ea_2077_63111_1_1921,Kjell Ragnar Mac-Dougall Barnekow,1877,,,,1921,kjell_ragnar_mac-dougall_barnekow_46a598,man,,1921,1921
ea_2077_63111_1_1921,Gustaf Nilsson,1880,,,,1921,gustaf_nilsson_9eca2a,man,,1921,1921
ea_2077_63111_1_1921,Johan Nilsson,1874,,,,1921,johan_nilsson_472e56,man,,1921,1921
ea_2077_63111_1_1921,Fredrik William Linder,1876,,,,1921,fredrik_william_linder_372ca0,man,,1921,1921
ea_2077_63111_1_1921,Otto August Bruhn,1872,,,,1921,otto_august_bruhn_8ae01d,man,,1921,1921
ea_2077_63111_1_1921,Ilof Bernhard Andersson,1873,,,,1921,ilof_bernhard_andersson_0f4582,,,1921,1921
ea_2077_63111_1_1921,Nils August Nilsson,1867,,,,1921,nils_august_nilsson_d77055,man,,1921,1921
ea_2077_63111_1_1921,Knut Ebbe Geijer,1864,,,,1921,knut_ebbe_geijer_9a789d,man,,1921,1921
ea_2077_63111_1_1921,Jöns Pålsson,1870,,,,1921,jons_palsson_6f7625,man,,1921,1921
ea_2077_63111_1_1921,Olof Olsson,1859,,,,1921,olof_olsson_30341a,man,,1921,1921
ea_2077_63111_1_1921,Nils Richard Wohlin,1881,,,,1921,nils_richard_wohlin_2736ef,man,,1921,1921
ea_2077_63111_1_1921,Stationsinspektor Fritiof,1879,,,,1921,stationsinspektor_fritiof_257ba9,,,1921,1921
ea_2077_63111_1_1921,Jöns Peter Jesperson,1861,,,,1921,jons_peter_jesperson_d9df22,man,,1921,1921
ea_2077_63111_1_1921,Carl Johansson,1856,,,,1921,carl_johansson_b00926,man,,1921,1921
ea_2077_63111_1_1921,Jacob Timoteus Larsson,1851,,,,1921,jacob_timoteus_larsson_ccc6a3,man,,1921,1921
ea_2077_63111_1_1921,Anders Antonsson,1856,,,,1921,anders_antonsson_bb9064,man,,1921,1921
ea_2077_63111_1_1921,Måns Bengtsson Lundberg,1867,,,,1921,mans_bengtsson_lundberg_5ea873,man,,1921,1921
ea_2077_63111_1_1921,Carl Filip Gunnar Andersson,1865,,Hallands län,,1921,carl_filip_gunnar_andersson_9b904a,man,,1921,1921
ea_2077_63111_1_1921,Johan Bernhard Johansson,1877,,,,1921,johan_bernhard_johansson_53518c,man,,1921,1921
ea_2077_63111_1_1921,Ollas Anders Eriesson,1858,,Göteborgs och Bohus län,,1921,ollas_anders_eriesson_b7145e,,,1921,1921
ea_2077_63111_1_1921,Eric Adolf Hallin,1870,,,,1921,eric_adolf_hallin_56036b,man,,1921,1921
ea_2077_63111_1_1921,Karl Andreas Andersson,1875,,,,1921,karl_andreas_andersson_cd9847,man,,1921,1921
ea_2077_63111_1_1921,Sigfrid Hansson,1884,,,,1921,sigfrid_hansson_e071cd,,,1921,1921
ea_2077_63111_1_1921,Jakob Ludvig Widell,1870,,,,1921,jakob_ludvig_widell_950bdd,man,,1921,1921
ea_2077_63111_1_1921,Ernst Bruno Jönsson,1866,,,,1921,ernst_bruno_jonsson_dd72bc,man,,1921,1921
ea_2077_63111_1_1921,Isak Svensson,1864,,,,1921,isak_svensson_d97753,man,,1921,1921
ea_2077_63111_1_1921,Anders Christenson Lindblad,1866,,,,1921,anders_christenson_lindblad_863eb2,man,,1921,1921
ea_2077_63111_1_1921,Gustaf Boman,1861,,,,1921,gustaf_boman_b40f68,man,,1921,1921
ea_2077_63111_1_1921,Hjalmar Wijk,1877,,,,1921,hjalmar_wijk_d21af9,man,,1921,1921
ea_2077_63111_1_1921,Ernst Johannes Wigforss,1881,,,,1921,ernst_johannes_wigforss_7a91b5,man,,1921,1921
ea_2077_63111_1_1921,Samuel Clason,1867,,Älvsborgs län,,1921,samuel_clason_334afd,man,,1921,1921
ea_2077_63111_1_1921,Hugo Erik Gustaf Hamilton,1849,,,,1921,hugo_erik_gustaf_hamilton_f3327c,man,,1921,1921
ea_2077_63111_1_1921,Olaus Pettersson,1859,,,,1921,olaus_pettersson_7215d2,man,,1921,1921
ea_2077_63111_1_1921,Karl Johan Sandegård,1880,,,,1921,karl_johan_sandegard_b55d43,man,,1921,1921
ea_2077_63111_1_1921,Johan Johansson,1870,,,,1921,johan_johansson_0b25d1,man,,1921,1921
ea_2077_63111_1_1921,Knut Aron Heyman,1870,,,,1921,knut_aron_heyman_c27c29,man,,1921,1921
ea_2077_63111_1_1921,Axel Wilhelm Teodor Snetdern,1875,,,,1921,axel_wilhelm_teodor_snetdern_18cb78,man,,1921,1921
ea_2077_63111_1_1921,Axel Fredrik Vennersten,1863,,,,1921,axel_fredrik_vennersten_60683d,man,,1921,1921
ea_2077_63111_1_1921,Johan Edvard Björnsson,1878,,Skaraborgs län,,1921,johan_edvard_bjornsson_555d5a,man,,1921,1921
ea_2077_63111_1_1921,Clemens Gustaf Barthelson,1854,,,,1921,clemens_gustaf_barthelson_b47e51,man,,1921,1921
ea_2077_63111_1_1921,August Vilhelm Söderbom,1861,,,,1921,august_vilhelm_soderbom_d99008,man,,1921,1921
ea_2077_63111_1_1921,Carl Adolf Erland Hofsten,1870,,,,1921,carl_adolf_erland_hofsten_af2eb3,man,,1921,1921
ea_2077_63111_1_1921,Viktor Edward Larson,1867,,,,1921,viktor_edward_larson_e62bce,man,,1921,1921
ea_2077_63111_1_1921,Ernst Wilhelm Svensson,1880,,,,1921,ernst_wilhelm_svensson_d65584,man,,1921,1921
ea_2077_63111_1_1921,August Vilhelm Johansson,1864,,,,1921,august_vilhelm_johansson_2924bc,man,,1921,1921
ea_2077_63111_1_1921,Karl Mauritz Bernhard Hellberg,1859,,,,1921,karl_mauritz_bernhard_hellberg_78377d,man,,1921,1921
ea_2077_63111_1_1921,Knut Abel Tengdahl,1867,,,,1921,knut_abel_tengdahl_516aaa,man,,1921,1921
ea_2077_63111_1_1921,Karl August Nilson,1864,,,,1921,karl_august_nilson_e3eb03,man,,1921,1921
ea_2077_63111_1_1921,Gustaf Alfred Strömberg,1880,,,,1921,gustaf_alfred_stromberg_78e460,man,,1921,1921
ea_2077_63111_1_1921,Johan Carlsson,1864,,,,1921,johan_carlsson_3a99d7,man,,1921,1921
ea_2077_63111_1_1921,Åke Ingeström,1867,,,,1921,ake_ingestrom_d55daf,man,,1921,1921
ea_2077_63111_1_1921,Carl Immanuel Asplund,1872,,Örebro län,,1921,carl_immanuel_asplund_f643cc,man,,1921,1921
ea_2077_63111_1_1921,Oscar Ulrik Bernhardin Olsson,1877,,,,1921,oscar_ulrik_bernhardin_olsson_b2a7fd,man,,1921,1921
ea_2077_63111_1_1921,Richert Gerard Halfred Koch,1872,,,,1921,richert_gerard_halfred_koch_4a40c6,man,,1921,1921
ea_2077_63111_1_1921,Adolf Hjalmar Sydow,1862,,,,1921,adolf_hjalmar_sydow_9e7f69,man,,1921,1921
ea_2077_63111_1_1921,Anders Emanuel Örne,1881,,,,1921,anders_emanuel_orne_e56a7b,man,,1921,1921
ea_2077_63111_1_1921,Axel Vindahl,1866,,,,1921,axel_vindahl_c4da11,man,,1921,1921
ea_2077_63111_1_1921,Ivar Jonas Pettersson,1876,,,,1921,ivar_jonas_pettersson_3f07b7,man,,1921,1921
ea_2077_63111_1_1921,Edvard Otto Vilhelm Wavrinsky,1848,,,,1921,edvard_otto_vilhelm_wavrinsky_ea1fdb,man,,1921,1921
ea_2077_63111_1_1921,Adam Hult,1870,,,,1921,adam_hult_627b0a,man,,1921,1921
ea_2077_63111_1_1921,Alexis Björkman,1853,,,,1921,alexis_bjorkman_db8a47,,,1921,1921
ea_2077_63111_1_1921,Carl Adolf Grewesmiähl,1877,,,,1921,carl_adolf_grewesmiahl_527e2e,man,,1921,1921
ea_2077_63111_1_1921,Ernst Emil Lyberg,1874,,,,1921,ernst_emil_lyberg_7a43d3,man,,1921,1921
ea_2077_63111_1_1921,Åhlmans Olof Olsson,1866,,,,1921,ahlmans_olof_olsson_64d53d,,,1921,1921
ea_2077_63111_1_1921,Olof Lind,1861,,,,1921,olof_lind_b3e58c,man,,1921,1921
ea_2077_63111_1_1921,Anders Pers,1860,,,,1921,anders_pers_b9e163,man,,1921,1921
ea_2077_63111_1_1921,Erik Dalberg,1869,,Gävleborgs län,,1921,erik_dalberg_f76bdb,man,,1921,1921
ea_2077_63111_1_1921,Carl Gustaf Teodor Wickman,1856,,,,1921,carl_gustaf_teodor_wickman_aba078,man,,1921,1921
ea_2077_63111_1_1921,Carl Gustaf Ekman,1872,,,,1921,carl_gustaf_ekman_c88c33,man,,1921,1921
ea_2077_63111_1_1921,Nils Sigfrid Norling,1880,,,,1921,nils_sigfrid_norling_0ddf88,man,,1921,1921
ea_2077_63111_1_1921,Johan Hjalmar Teodor Julin,1880,,,,1921,johan_hjalmar_teodor_julin_0fc9bf,man,,1921,1921
