Plats,Ledamot,Parti,Parti,Valkrets
229,Ann-Sofie Alm,,Moderaterna,Västra Götalands läns norra
142,Erik Andersson,,Moderaterna,Stockholms län
12,Jan R. Andersson,,Moderaterna,Kalmar län
212,Alexandra Anstrell,,Moderaterna,Stockholms län
4,Beatrice Ask,,Moderaterna,Stockholms kommun
244,Kristina Axén Olin,,Moderaterna,Stockholms kommun
84,Hanif Bali,,Moderaterna,Stockholms län
275,Lars Beckman[n 1],,Moderaterna,Gävleborgs län
322,Erik Bengtzboe,,Moderaterna,Södermanlands län
268,Sten Bergheden[n 1],,Moderaterna,Västra Götalands läns östra
166,Jörgen Berglund[n 1],,Moderaterna,Västernorrlands län
123,Tobias Billström[n 1],,Moderaterna,Malmö kommun
202,Elisabeth Björnsdotter Rahm,,Moderaterna,Västerbottens län
201,Carl-Oskar Bohlin[n 1],,Moderaterna,Dalarnas län
183,Helena Bouveng,,Moderaterna,Jönköpings län
121,Katarina Brännström[n 1],,Moderaterna,Kronobergs län
25,Margareta Cederfelt,,Moderaterna,Stockholms kommun
104,Åsa Coenraads,,Moderaterna,Västmanlands län
175,Ida Drougge,,Moderaterna,Stockholms län
36,Annicka Engblom[n 1],,Moderaterna,Blekinge län
7,Karin Enström,,Moderaterna,Stockholms län
20,Jan Ericson,,Moderaterna,Västra Götalands läns södra
286,Lotta Finstorp,,Moderaterna,Södermanlands län
81,Johan Forssell,,Moderaterna,Stockholms kommun
255,Mats Green[n 1],,Moderaterna,Jönköpings län
223,Ann-Charlotte Hammar Johnsson,,Moderaterna,Skåne läns västra
16,Anders Hansson,,Moderaterna,Skåne läns södra
295,Ulrika Heindorff[n 1],,Moderaterna,Skåne läns västra
128,Lars Hjälmered[n 1],,Moderaterna,Göteborgs kommun
130,Johan Hultberg,,Moderaterna,Västra Götalands läns norra
227,Marie-Louise Hänel Sandström,,Moderaterna,Göteborgs kommun
213,Kjell Jansson,,Moderaterna,Stockholms län
103,Pål Jonson[n 1],,Moderaterna,Värmlands län
298,David Josefsson,,Moderaterna,Göteborgs kommun
266,Ellen Juntti,,Moderaterna,Västra Götalands läns västra
97,Ulrika Jörgensen,,Moderaterna,Hallands län
314,Arin Karapet,,Moderaterna,Stockholms kommun
348,Mattias Karlsson[n 1],,Moderaterna,Norrbottens län
50,Ulf Kristersson[n 1],,Moderaterna,Södermanlands län
132,Marléne Lund Kopparklint,,Moderaterna,Värmlands län
10,Betty Malmberg,,Moderaterna,Östergötlands län
297,Maria Malmer Stenergard,,Moderaterna,Skåne läns norra och östra
320,Josefin Malmqvist,,Moderaterna,Stockholms län
257,Noria Manouchi,,Moderaterna,Malmö kommun
222,Louise Meijer,,Moderaterna,Skåne läns södra
31,Andreas Norlén[n 1][n 2],,Moderaterna,Östergötlands län
86,Marta Obminska,,Moderaterna,Uppsala län
270,Lotta Olsson,,Moderaterna,Örebro län
211,Erik Ottoson,,Moderaterna,Stockholms län
74,Jessica Polfjärd[n 1],,Moderaterna,Västmanlands län
68,Lars Püss,,Moderaterna,Hallands län
49,Saila Quicklund[n 1],,Moderaterna,Jämtlands län
169,Edward Riedl[n 1],,Moderaterna,Västerbottens län
141,Jessica Rosencrantz,,Moderaterna,Stockholms kommun
57,Jessika Roswall,,Moderaterna,Uppsala län
99,Hans Rothenberg,,Moderaterna,Göteborgs kommun
113,Maria Stockhaus,,Moderaterna,Stockholms län
198,Elisabeth Svantesson[n 1],,Moderaterna,Örebro län
42,Cecilie Tenfjord-Toftby[n 1],,Moderaterna,Västra Götalands läns södra
53,Tomas Tobé,,Moderaterna,Stockholms län
189,Hans Wallmark,,Moderaterna,Skåne läns norra och östra
267,Camilla Waltersson Grönvall,,Moderaterna,Västra Götalands läns västra
66,Jörgen Warborn[n 1],,Moderaterna,Hallands län
217,John Weinerhall,,Moderaterna,Östergötlands län
