Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
Ulf Adelsohn,f.d. statsråd,,Moderata samlingspartiet,Stockholms kommun,Gruppledare för partiet
Gösta Bohman,f.d. statsråd,,Moderata samlingspartiet,Stockholms kommun,
Margaretha af Ugglas,civilekonom,,Moderata samlingspartiet,Stockholms kommun,
Carl Bildt,politiker,,Moderata samlingspartiet,Stockholms kommun,
Elisabeth Fleetwood,adjunkt,,Moderata samlingspartiet,Stockholms kommun,
Lennart Blom,juris kandidatexamen,,Moderata samlingspartiet,Stockholms kommun,Ordförande i FöU.
Filip Fridolfsson,fabrikör,,Moderata samlingspartiet,Stockholms kommun,
Blenda Littmarck,politiker,,Moderata samlingspartiet,Stockholms kommun,
Göran Ericsson,kriminalinspektör,,Moderata samlingspartiet,Stockholms kommun,
Olof Palme,statsråd,,Socialdemokraterna,Stockholms kommun,Partiordförande och statsråd
Gertrud Sigurdsen,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Sten Andersson,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Anita Gradin,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Sivert Andersson,metallarbetare,,Socialdemokraterna,Stockholms kommun,
Maj Britt Theorin,ambassadör,,Socialdemokraterna,Stockholms kommun,
Oskar Lindkvist,organisationschef,,Socialdemokraterna,Stockholms kommun,Vice ordförande i BoU.
Anita Modin,förbundskassör,,Socialdemokraterna,Stockholms kommun,
Mats Hellström,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Monica Andersson,statssekreterare,,Socialdemokraterna,Stockholms kommun,
Lars Ulander,ombudsman,,Socialdemokraterna,Stockholms kommun,Ordförande i AU.
Birgit Friggebo,riksgäldsfullmäktig,,Folkpartiet,Stockholms kommun,
Jan-Erik Wikström,f.d. statsråd,,Folkpartiet,Stockholms kommun,
Hadar Cars,f.d. statsråd,,Folkpartiet,Stockholms kommun,
Margareta Andrén,kurator,,Folkpartiet,Stockholms kommun,
