Namn,Namn,Parti,"Valkrets, plats"
,Jan Björkman,Socialdemokraterna,"Blekinge län, plats 137"
,Lars Björkman,Moderata samlingspartiet,"Älvsborgs läns södra, plats 236"
,Eva Björne,Moderata samlingspartiet,"Västernorrlands län, plats 318"
,Maud Björnemalm,Socialdemokraterna,"Örebro län, plats 263"
,Britt Bohlin,Socialdemokraterna,"Älvsborgs läns norra, plats 227"
,Sinikka Bohlin,Socialdemokraterna,"Gävleborgs län, plats 303"
,Sigrid Bolkéus,Socialdemokraterna,"Gävleborgs län, plats 301"
,Claes-Göran Brandin,Socialdemokraterna,"Göteborgs kommun, plats 205"
,Lennart Brunander,Centerpartiet,"Älvsborgs läns södra, plats 233"
,Ingrid Burman,Vänsterpartiet,"Uppsala län, plats 70"
,Laila Bäck,Socialdemokraterna,"Kopparbergs län, plats 298"
,Lars Bäckström,Vänsterpartiet,"Bohuslän, plats 213"
,Lisbet Calner,Socialdemokraterna,"Bohuslän, plats 211"
,Andreas Carlgren,Centerpartiet,"Stockholms län, plats 58"
,Leif Carlson,Moderata samlingspartiet,"Kalmar län, plats 123"
,Birgitta Carlsson,Centerpartiet,"Skaraborgs län, plats 244"
,Inge Carlsson,Socialdemokraterna,"Östergötlands län, plats 87"
,Sivert Carlsson,Centerpartiet,"Kalmar län, plats 127"
,Marianne Carlström,Socialdemokraterna,"Göteborgs kommun, plats 196"
,Åke Carnerö,Kristdemokraterna,"Bohuslän, plats 217"
,Birgitta Dahl,Socialdemokraterna,"Uppsala län, plats 63"
,Rolf Dahlberg,Moderata samlingspartiet,"Gävleborgs län, plats 300"
,Lennart Daléus,Centerpartiet,"Stockholms län, plats 49"
,Britt-Marie Danestig-Olofsson,Vänsterpartiet,"Östergötlands län, plats 99"
,Torgny Danielsson,Socialdemokraterna,"Värmlands län, plats 260"
,Siri Dannaeus,Folkpartiet liberalerna,"Södermanlands län, plats 82"
,Inger Davidson,Kristdemokraterna,"Stockholms län, plats 47"
,Susanne Eberstein,Socialdemokraterna,"Västernorrlands län, plats 322"
,Margitta Edgren,Folkpartiet liberalerna,"Malmöhus läns södra, plats 173"
,Erik Arthur Egervärn,Centerpartiet,"Jämtlands län, plats 326"
,Christer Eirefelt,Folkpartiet liberalerna,"Hallands län, plats 182"
,Maud Ekendahl,Moderata samlingspartiet,"Kristianstads län, plats 141"
,Berndt Ekholm,Socialdemokraterna,"Älvsborgs läns södra, plats 235"
,Tomas Eneroth,Socialdemokraterna,"Kronobergs län, plats 120"
,Marie Engström,Vänsterpartiet,"Värmlands län, plats 254"
,Dag Ericson,Socialdemokraterna,"Stockholms län, plats 59"
,Dan Ericsson,Kristdemokraterna,"Östergötlands län, plats 96"
,Kjell Ericsson,Centerpartiet,"Värmlands län, plats 259"
,Alf Eriksson,Socialdemokraterna,"Hallands län, plats 187"
,Eva Eriksson,Folkpartiet liberalerna,"Skaraborgs län, plats 246"
,Ingvar Eriksson,Moderata samlingspartiet,"Kristianstads län, plats 143"
,Per-Ola Eriksson,Centerpartiet,"Norrbottens län, plats 339"
,Peter Eriksson,Miljöpartiet de Gröna,"Västerbottens län, plats 337"
,Eskil Erlandsson,Centerpartiet,"Kronobergs län, plats 119"
,Gustaf von Essen,Moderata samlingspartiet,"Uppsala län, plats 67"
,Rune Evensson,Socialdemokraterna,"Älvsborgs läns norra, plats 223"
,Ann-Marie Fagerström,Socialdemokraterna,"Kalmar län, plats 130"
,Karin Falkmer,Moderata samlingspartiet,"Västmanlands län, plats 279"
,Bo Finnkvist,Socialdemokraterna,"Värmlands län, plats 253"
,Elisabeth Fleetwood,Moderata samlingspartiet,"Stockholms kommun, plats 5"
,Eva Flyborg,Folkpartiet liberalerna,"Göteborgs kommun, plats 206"
,Juan Fonseca,Socialdemokraterna,"Stockholms kommun, plats 20"
,Bodil Francke Ohlsson,Miljöpartiet de Gröna,"Malmöhus läns södra, plats 175"
,Sonja Fransson,Socialdemokraterna,"Älvsborgs läns södra, plats 238"
,Jan-Olof Franzén,Moderata samlingspartiet,"Kronobergs län, plats 118"
,Rose-Marie Frebran,Kristdemokraterna,"Örebro län, plats 267"
,Lennart Fremling,Folkpartiet liberalerna,"Kopparbergs län, plats 293"
,Lennart Fridén,Moderata samlingspartiet,"Göteborgs kommun, plats 203"
,Birgit Friggebo,Folkpartiet liberalerna,"Stockholms kommun, plats 7"
,Helena Frisk,Socialdemokraterna,"Örebro län, plats 272"
,Viola Furubjelke,Socialdemokraterna,"Östergötlands län, plats 91"
,Reynoldh Furustrand,Socialdemokraterna,"Södermanlands län, plats 78"
,Torsten Gavelin,Folkpartiet liberalerna,"Västerbottens län, plats 334"
,Margit Gennser,Moderata samlingspartiet,"Malmö kommun, plats 154"
,Birgitta Gidblom,Socialdemokraterna,"Norrbottens län, plats 345"
,Sigge Godin,Folkpartiet liberalerna,"Västernorrlands län, plats 314"
,Eva Goës,Miljöpartiet de Gröna,"Stockholms kommun, plats 19"
,Gunnar Goude,Miljöpartiet de Gröna,"Uppsala län, plats 71"
,Carl Fredrik Graf,Moderata samlingspartiet,"Hallands län, plats 185"
,Lars U. Granberg,Socialdemokraterna,"Norrbottens län, plats 349"
,Marie Granlund,Socialdemokraterna,"Malmö kommun, plats 159"
,Per Erik Granström,Socialdemokraterna,"Kopparbergs län, plats 295"
,Stig Grauers,Moderata samlingspartiet,"Bohuslän, plats 215"
,Monica Green,Socialdemokraterna,"Skaraborgs län, plats 248"
,Rolf Gunnarsson,Moderata samlingspartiet,"Kopparbergs län, plats 296"
,Holger Gustafsson,Kristdemokraterna,"Skaraborgs län, plats 245"
,Åke Gustavsson,Socialdemokraterna,"Jönköpings län, plats 101"
,Michael Hagberg,Socialdemokraterna,"Södermanlands län, plats 83"
,Karl Hagström,Socialdemokraterna,"Gävleborgs län, plats 302"
,Birger Hagård,Moderata samlingspartiet,"Östergötlands län, plats 86"
,Isa Halvarsson,Folkpartiet liberalerna,"Värmlands län, plats 257"
,Birgitta Hambraeus,Centerpartiet,"Kopparbergs län, plats 286"
,Agne Hansson,Centerpartiet,"Kalmar län, plats 121"
,Lars Hedfors,Socialdemokraterna,"Kronobergs län, plats 115"
,Carl Erik Hedlund,Moderata samlingspartiet,"Stockholms kommun, plats 13"
,Lennart Hedquist,Moderata samlingspartiet,"Uppsala län, plats 68"
