Ledamot,Ledamot,Parti,Valkrets
,Johnny Ahlqvist,Socialdemokraterna,Kristianstads län
,Stig Alemyr,Socialdemokraterna,Kalmar län
,Christel Anderberg,Moderata samlingspartiet,Kopparbergs län
,Arne Andersson,Moderata samlingspartiet,Älvsborgs läns norra
,Axel Andersson,Socialdemokraterna,Gävleborgs län
,Birger Andersson,Centerpartiet,Västmanlands län
,Elving Andersson,Centerpartiet,Bohuslän
,Georg Andersson,Socialdemokraterna,Västerbottens län
,Ingrid Andersson,Socialdemokraterna,Uppsala län
,Jan Andersson,Socialdemokraterna,Fyrstadskretsen
,John Andersson,Vänsterpartiet,Västerbottens län
,Lars Andersson,Ny demokrati,Örebro län
,Marianne Andersson,Centerpartiet,Älvsborgs läns norra
,Sten Andersson,Socialdemokraterna,Stockholms kommun
,Sten Andersson,Moderata samlingspartiet,Fyrstadskretsen
,Widar Andersson,Socialdemokraterna,Gävleborgs län
,Berit Andnor,Socialdemokraterna,Jämtlands län
,Owe Andréasson,Socialdemokraterna,Hallands län
,Ylva Annerstedt,Folkpartiet liberalerna,Stockholms län
,Bo Arvidson,Moderata samlingspartiet,Malmöhus län
,Stefan Attefall,Kristdemokraterna,Västerbottens län
,Kenneth Attefors,Ny demokrati,Kristianstads län
,Rune Backlund,Centerpartiet,Jönköpings län
,Jan Backman,Moderata samlingspartiet,Fyrstadskretsen
,Erling Bager,Folkpartiet liberalerna,Göteborgs kommun
,Hugo Bergdahl,Folkpartiet liberalerna,Västmanlands län
,Leif Bergdahl,Ny demokrati,Bohuslän
,Inga Berggren,Moderata samlingspartiet,Malmöhus län
,Jan Bergqvist,Socialdemokraterna,Göteborgs kommun
,Harald Bergström,Kristdemokraterna,Kronobergs län
,Bo Bernhardsson,Socialdemokraterna,Fyrstadskretsen
,Stig Bertilsson,Moderata samlingspartiet,Älvsborgs läns norra
,Carl Bildt,Moderata samlingspartiet,Stockholms kommun
,Knut Billing,Moderata samlingspartiet,Stockholms län
,Karl-Göran Biörsmark,Folkpartiet liberalerna,Östergötlands län
,Britta Bjelle,Folkpartiet liberalerna,Norrbottens län
,Anders Björck,Moderata samlingspartiet,Jönköpings län
,Gunnar Björk,Centerpartiet,Gävleborgs län
,Ingvar Björk,Socialdemokraterna,Östergötlands län
,Ulf Björklund,Kristdemokraterna,Kopparbergs län
,Jan Björkman,Socialdemokraterna,Blekinge län
,Lars Björkman,Moderata samlingspartiet,Älvsborgs läns södra
,Maud Björnemalm,Socialdemokraterna,Örebro län
,Britt Bohlin Olsson,Socialdemokraterna,Älvsborgs läns norra
,Görel Bohlin,Moderata samlingspartiet,Stockholms län
,Sinikka Bohlin,Socialdemokraterna,Gävleborgs län
,Gunhild Bolander,Centerpartiet,Gotlands län
,Sigrid Bolkéus,Socialdemokraterna,Gävleborgs län
,Lena Boström,Socialdemokraterna,Västerbottens län
,John Bouvin,Ny demokrati,Stockholms län
,Charlotte Branting,Folkpartiet liberalerna,Kronobergs län
