Plats,Ledamot,Parti,Valkrets
197,Johan Pehrson,Folkpartiet liberalerna,Örebro län
198,Margareta Israelsson,Socialdemokraterna,Västmanlands län
199,Camilla Lindberg,Folkpartiet liberalerna,Dalarnas län
200,Ulla Andersson,Vänsterpartiet,Gävleborgs län
201,Per Svedberg,Socialdemokraterna,Gävleborgs län
202,Maria Lundqvist-Brömster,Folkpartiet liberalerna,Västerbottens län
203,Ibrahim Baylan,Socialdemokraterna,Västerbottens län
204,Helén Pettersson i Umeå,Socialdemokraterna,Västerbottens län
205,Kristina Zakrisson,Socialdemokraterna,Norrbottens län
206,Lena Adelsohn Liljeroth(ersatt av Mahmood Fahmi),Moderata samlingspartiet,Stockholms kommun
207,Veronica Palm,Socialdemokraterna,Stockholms kommun
208,Birgitta Ohlsson,Folkpartiet liberalerna,Stockholms kommun
209,Solveig Ternström,oberoende[2],Stockholms kommun
210,Anna Kinberg Batra,Moderata samlingspartiet,Stockholms län
211,Maryam Yazdanfar,Socialdemokraterna,Stockholms län
212,Nils Oskar Nilsson,Moderata samlingspartiet,Stockholms län
213,Lennart Levi,Centerpartiet,Stockholms län
214,Mats Berglind,Socialdemokraterna,Uppsala län
215,Mikael Oscarsson,Kristdemokraterna,Uppsala län
216,Carina Hägg,Socialdemokraterna,Jönköpings län
217,Stefan Attefall,Kristdemokraterna,Jönköpings län
218,Lars Wegendal,Socialdemokraterna,Kronobergs län
219,Carina Adolfsson Elgestam,Socialdemokraterna,Kronobergs län
220,Anders Karlsson,Socialdemokraterna,Skåne läns västra
221,Kent Härstedt,Socialdemokraterna,Skåne läns västra
222,Otto von Arnold,Kristdemokraterna,Skåne läns södra
223,Anne-Marie Pålsson,Moderata samlingspartiet,Skåne läns södra
224,Siw Wittgren-Ahl,Socialdemokraterna,Göteborgs kommun
225,Göran Lindblad,Moderata samlingspartiet,Göteborgs kommun
226,Cecilia Magnusson,Moderata samlingspartiet,Göteborgs kommun
227,Annelie Enochson,Kristdemokraterna,Göteborgs kommun
228,Christina Oskarsson,Socialdemokraterna,Västra Götalands läns norra
229,Rossana Dinamarca,Vänsterpartiet,Västra Götalands läns norra
230,Else-Marie Lindgren,Kristdemokraterna,Västra Götalands läns södra
231,Cecilie Tenfjord-Toftby,Moderata samlingspartiet,Västra Götalands läns södra
232,Sofia Larsen,Centerpartiet,Örebro län
233,Lennart Axelsson,Socialdemokraterna,Örebro län
234,Sven-Erik Österberg,Socialdemokraterna,Västmanlands län
235,Christer Eriksson,Centerpartiet,Västmanlands län
236,Tomas Tobé,Moderata samlingspartiet,Gävleborgs län
237,Hans Stenberg,Socialdemokraterna,Västernorrlands län
238,Berit Andnor,Socialdemokraterna,Jämtlands län
239,Ola Sundell,Moderata samlingspartiet,Jämtlands län
240,Lars U. Granberg,Socialdemokraterna,Norrbottens län
241,Siv Holma,Vänsterpartiet,Norrbottens län
242,Mats Johansson,Moderata samlingspartiet,Stockholms kommun
243,Reza Khelili Dylami,Moderata samlingspartiet,Stockholms kommun
244,Jan Björklund(ersatt av Gulan Avci),Folkpartiet liberalerna,Stockholms kommun
245,Amineh Kakabaveh,Vänsterpartiet,Stockholms kommun
246,Rune Wikström,Moderata samlingspartiet,Stockholms län
247,Mats Pertoft,Miljöpartiet de Gröna,Stockholms län
248,Anti Avsan,Moderata samlingspartiet,Stockholms län
249,Göran Pettersson,Moderata samlingspartiet,Stockholms län
250,Agneta Gille,Socialdemokraterna,Uppsala län
251,Erik Ullenhag,Folkpartiet liberalerna,Uppsala län
252,Göte Wahlström,Socialdemokraterna,Jönköpings län
253,Maria Larsson(ersatt av Irene Oskarsson),Kristdemokraterna,Jönköpings län
254,Katarina Brännström,Moderata samlingspartiet,Kronobergs län
255,Eva Johnsson,Kristdemokraterna,Kronobergs län
256,Christin Hagberg,Socialdemokraterna,Skåne läns västra
257,Tina Acketoft,Folkpartiet liberalerna,Skåne läns västra
258,Ulf Holm,Miljöpartiet de Gröna,Skåne läns södra
259,Johan Linander,Centerpartiet,Skåne läns södra
260,Lars Johansson,Socialdemokraterna,Göteborgs kommun
261,Leif Pagrotsky,Socialdemokraterna,Göteborgs kommun
262,Gunilla Carlsson i Hisings Backa,Socialdemokraterna,Göteborgs kommun
263,Cecilia Wigström i Göteborg,Folkpartiet liberalerna,Göteborgs kommun
264,Anita Brodén,Folkpartiet liberalerna,Västra Götalands läns norra
265,Peter Johnsson,Socialdemokraterna,Västra Götalands läns norra
266,Claes Västerteg,Centerpartiet,Västra Götalands läns södra
267,Ann-Christin Ahlberg,Socialdemokraterna,Västra Götalands läns södra
268,Lars-Axel Nordell,Kristdemokraterna,Örebro län
269,Thomas Bodström,Socialdemokraterna,Örebro län
270,Pia Nilsson,Socialdemokraterna,Västmanlands län
271,Staffan Anger,Moderata samlingspartiet,Västmanlands län
272,Agneta Lundberg,Socialdemokraterna,Västernorrlands län
273,Susanne Eberstein,Socialdemokraterna,Västernorrlands län
274,Gunnar Sandberg,Socialdemokraterna,Jämtlands län
275,Marie Nordén,Socialdemokraterna,Jämtlands län
276,Maria Öberg,Socialdemokraterna,Norrbottens län
277,Krister Hammarbergh,Moderata samlingspartiet,Norrbottens län
278,Börje Vestlund,Socialdemokraterna,Stockholms kommun
279,Mats G. Nilsson,Moderata samlingspartiet,Stockholms kommun
280,Mehmet Kaplan,Miljöpartiet de Gröna,Stockholms kommun
281,Per Bolund,Miljöpartiet de Gröna,Stockholms kommun
282,Mikael Sandström(ersatt av Malin Löfsjögård),Moderata samlingspartiet,Stockholms län
283,Isabella Jernbeck,Moderata samlingspartiet,Stockholms län
284,Esabelle Dingizian,Miljöpartiet de Gröna,Stockholms län
285,Mats Gerdau,Moderata samlingspartiet,Stockholms län
