Plats,Ledamot,Anmärkning,Parti,Valkrets
349,Johan Johansson,Fr.o.m. 7 mars 2011,M,Norrbottens län
256,Jonas Jacobsson Gjörtler,,M,Skåne läns västra
290,Jörgen Andersson,,M,Kalmar län
55,Karin Enström(ersatt av Björn Samuelson),Statsråd fr.o.m. 18 april 201219 april–16 augusti 2012 ersatt av Edip Noyan16 augusti–31 december 2012 ersatt av Bino Drummond,M,Stockholms län
213,Karl Sigfrid,,M,Stockholms län
328,Katarina Brännström,,M,Kronobergs län
241,Krister Hammarbergh,Personvald,M,Norrbottens län
167,Lars Beckman,,M,Gävleborgs län
71,Lars Elinderson,,M,Västra Götalands läns östra
296,Lars Hjälmered(ersatt av Pontus Haag),,M,Göteborgs kommun
99,Lars-Arne Staxäng,,M,Västra Götalands läns västra
141,Lena Adelsohn Liljeroth(ersatt av Anton Abele),,M,Stockholms kommun
309,Lena Asplund,,M,Västernorrlands län
222,Linda Wemmert,Fr.o.m. 11 januari 2011Tidigare efternamn: Andersson (före 30 april 2011) och Arvidsson Wemmert (2011–2013),M,Skåne läns södra
287,Lotta Finstorp,,M,Södermanlands län
77,Margareta B. Kjellin,,M,Gävleborgs län
314,Maria Abrahamsson,,M,Stockholms kommun
98,Maria Plass,,M,Västra Götalands läns västra
26,Marietta de Pourbaix-Lundin,,M,Stockholms län
147,Marta Obminska,,M,Uppsala län
211,Metin Ataseven,Fr.o.m. 1 januari 2013,M,Stockholms län
207,Mats Johansson,,M,Stockholms kommun
127,Michael Svensson,,M,Hallands län
231,Mikael Cederbratt,,M,Västra Götalands läns norra
248,Mikael Sandström(ersatt av Sedat Dogru),Statssekreterare5 oktober 2010 ersatt av Johnny Munkhammar6 oktober 2010–18 mars 2012 ersatt av Metin Ataseven19 mars–19 april 2012 ersatt av Edip Noyan19 april–16 augusti 2012 ersatt av Bino Drummond16 augusti–31 december 2012 ersatt av Björn Samuelsson,M,Stockholms län
62,Olof Lavesson,,M,Malmö kommun
269,Oskar Öholm,,M,Örebro län
63,Patrick Reslow,,M,Malmö kommun
6,Per Bill,,M,Uppsala län
178,Per Westerberg(ersatt av Peder Wachtmeister och Erik Bengtzboe[2]),Talman,M,Södermanlands län
288,Peter Jutterström,Fr.o.m. 1 november 2012,M,Jönköpings län
133,Pia Hallström,,M,Värmlands län
283,Rune Wikström,Fr.o.m. 19 mars 2012Ersättare för Ewa Björling t.o.m. 18 mars 2012,M,Stockholms län
275,Saila Quicklund,Personvald,M,Jämtlands län
245,Sofia Arkelsten,,M,Stockholms kommun
234,Staffan Anger,,M,Västmanlands län
159,Stefan Caplan,,M,Västra Götalands läns västra
160,Sten Bergheden,,M,Västra Götalands läns östra
196,Lotta Olsson,Fr.o.m. 1 februari 2013Ersättare för Sten Tolgfors t.o.m. 29 mars 2012,M,Örebro län
299,Susanna Haby,,M,Göteborgs kommun
221,Thomas Finnborg,,M,Skåne läns västra
36,Tobias Billström(ersatt av Kajsa Lunderquist),,M,Malmö kommun
137,Tomas Tobé,Personvald,M,Gävleborgs län
104,Ulf Berg,,M,Dalarnas län
340,Ulrik Nilsson,,M,Västra Götalands läns södra
56,Ulrika Karlsson,,M,Uppsala län
250,Walburga Habsburg Douglas,,M,Södermanlands län
273,Åsa Coenraads,,M,Västmanlands län
156,Agneta Börjesson,,MP,Hallands län
270,Agneta Luttropp,,MP,Västmanlands län
149,Annika Lillemets,,MP,Östergötlands län
106,Bodil Ceballos,,MP,Gävleborgs län
210,Esabelle Dingizian,,MP,Stockholms län
215,Gunvor G. Ericson,,MP,Södermanlands län
40,Gustav Fridolin,PersonvaldSpråkrör fr.o.m. 22 maj 2011Ledig 1 juli–31 december 2012(ersatt av Lotta Hedström),MP,Skåne läns norra och östra
87,Helena Leander,,MP,Uppsala län
139,Jabar Amin,,MP,Västerbottens län
74,Jan Lindholm,,MP,Dalarnas län
342,Jonas Eriksson,,MP,Örebro län
325,Kew Nordqvist,,MP,Jönköpings län
337,Lise Nordin,,MP,Göteborgs kommun
257,Magnus Ehrencrona,,MP,Skåne läns västra
93,Maria Ferm,Personvald,MP,Malmö kommun
113,Mats Pertoft,Fr.o.m. 15 september 2011,MP,Stockholms län
209,Mehmet Kaplan,,MP,Stockholms kommun
140,Per Bolund,Fr.o.m. 15 september 2011,MP,Stockholms kommun
53,Peter Eriksson,Språkrör t.o.m. 21 maj 2011,MP,Stockholms län
230,Peter Rådberg,,MP,Västra Götalands läns norra
132,Stina Bergström,,MP,Värmlands län
128,Tina Ehn,,MP,Västra Götalands läns västra
2,Ulf Holm,Andre vice talman,MP,Skåne läns södra
298,Valter Mutt,,MP,Göteborgs kommun
279,Åsa Romson,Språkrör fr.o.m. 22 maj 2011,MP,Stockholms kommun
35,Allan Widman,,FP,Malmö kommun
195,Anita Brodén,,FP,Västra Götalands läns norra
110,Barbro Westerholm,,FP,Stockholms kommun
171,Birgitta Ohlsson(ersatt av Fredrik Malm),,FP,Stockholms kommun
111,Carl B. Hamilton,,FP,Stockholms kommun
16,Christer Nylander,,FP,Skåne läns norra och östra
100,Christer Winbäck,,FP,Västra Götalands läns östra
253,Emma Carlsson Löfdahl,Fr.o.m. 19 oktober 2010,FP,Jönköpings län
145,Erik Ullenhag(ersatt av Anna Steele),,FP,Stockholms län
190,Eva Flyborg,,FP,Göteborgs kommun
76,Hans Backman,,FP,Gävleborgs län
116,Ismail Kamil,,FP,Uppsala län
176,Jan Björklund(ersatt av Gunnar Andrén),Personvald,FP,Stockholms län
3,Jan Ertsborn,Tredje vice talman fr.o.m. 1 oktober 2012,FP,Hallands län
197,Johan Pehrson,Personvald,FP,Örebro län
33,Karin Granbom,,FP,Östergötlands län
41,Lars Tysklind,,FP,Västra Götalands läns västra
79,Maria Lundqvist-Brömster,Personvald,FP,Västerbottens län
102,Nina Larsson,Personvald,FP,Värmlands län
144,Nina Lundström,,FP,Stockholms län
272,Roger Haddad,Personvald,FP,Västmanlands län
322,Stefan Käll,Fr.o.m. 1 oktober 2012,FP,Södermanlands län
153,Tina Acketoft,Fr.o.m. 21 december 2010,FP,Skåne läns västra
154,Ulf Nilsson,,FP,Skåne läns södra
22,Anders Ahlgren,Ersatte Kenneth Johansson från och med den 1 september 2012.,C,Dalarnas län
332,Anders Flanking(ersatt av Rickard Nordin),Statssekreterare,C,Göteborgs kommun
166,Anders W. Jonsson,,C,Gävleborgs län
183,Anders Åkesson,Personvald,C,Kalmar län
206,Abir Al-Sahlani,Fr.o.m. 30 september 2011,C,Stockholms kommun
324,Annie Lööf(ersatt av Göran Lindell),PersonvaldPartiledare fr.o.m. 23 september 2011Statsråd fr.o.m. 29 september 2011,C,Jönköpings län
229,Annika Qarlsson,Personvald,C,Västra Götalands läns norra
347,Emil Källström,Personvald,C,Västernorrlands län
72,Erik A. Eriksson,Personvald,C,Värmlands län
