Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
Gösta Bohman,f.d. statsråd,,Moderata samlingspartiet,Stockholms kommun,
Filip Fridolfsson,fabrikör,,Moderata samlingspartiet,Stockholms kommun,
Margaretha af Ugglas,civilekonom,,Moderata samlingspartiet,Stockholms kommun,
Elisabeth Fleetwood,adjunkt,,Moderata samlingspartiet,Stockholms kommun,
Carl Bildt,partiordförande,,Moderata samlingspartiet,Stockholms kommun,Gruppledare för partiet
Göran Åstrand,konsulent,,Moderata samlingspartiet,Stockholms kommun,
Charlotte Cederschiöld,näringspolitisk sekr.,,Moderata samlingspartiet,Stockholms kommun,
Beatrice Ask,ordförande MUF,,Moderata samlingspartiet,Stockholms kommun,
Pär Granstedt,filosofie kandidat,,Centerpartiet,Stockholms kommun,Vice ordförande i UU.
Jan-Erik Wikström,f.d. statsråd,,Folkpartiet,Stockholms kommun,
Birgit Friggebo,f.d. statsråd,,Folkpartiet,Stockholms kommun,
Hadar Cars,f.d. statsråd,,Folkpartiet,Stockholms kommun,Vice ordförande i NU.
Maria Leissner,sekreterare,,Folkpartiet,Stockholms kommun,
Barbro Westerholm,f.d. generaldirektör,,Folkpartiet,Stockholms kommun,
Oskar Lindkvist,organisationschef,,Socialdemokraterna,Stockholms kommun,Vice ordförande i BoU.
Sten Andersson,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Gertrud Sigurdsen,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd t.o.m. 1989
Anita Gradin,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Mats Hellström,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Maj Britt Theorin,ambassadör,,Socialdemokraterna,Stockholms kommun,
Lars Ulander,ombudsman,,Socialdemokraterna,Stockholms kommun,Ordförande i AU.
Anita Modin,förbundssekreterare,,Socialdemokraterna,Stockholms kommun,
Bengt Lindqvist,statsråd,,Socialdemokraterna,Stockholms kommun,Statsråd under perioden
Monica Andersson,statssekreterare,,Socialdemokraterna,Stockholms kommun,
Jill Lindgren,informationssekr.,,Miljöpartiet de Gröna,Stockholms kommun,Avled 5 maj 1989
Åsa Domeij,agronom,,Miljöpartiet de Gröna,Stockholms kommun,
Lars Werner,ombudsman,,Vänsterpartiet kommunisterna,Stockholms kommun,Partiordförande
Margó Ingvardsson,sjukgymnast,,Vänsterpartiet kommunisterna,Stockholms kommun,
Bo Hammar,redaktör,,Vänsterpartiet kommunisterna,Stockholms kommun,
Ylva Johansson,lärare,,Vänsterpartiet kommunisterna,Stockholms kommun,
Alf Wennerfors,fondsekreterare,,Moderata samlingspartiet,Stockholms län,
Allan Ekström,hovrättsråd,,Moderata samlingspartiet,Stockholms län,
Görel Bohlin,filosofie kandidat,,Moderata samlingspartiet,Stockholms län,
Lars Tobisson,riksgäldsfullmäktig,,Moderata samlingspartiet,Stockholms län,Vice partiordförande
Knut Billing,politisk sekreterare,,Moderata samlingspartiet,Stockholms län,
Gunnar Hökmark,civilekonom,,Moderata samlingspartiet,Stockholms län,
Inger Koch,laboratorieassistent,,Moderata samlingspartiet,Stockholms län,
Ingela Gardner,departementssekr.,,Moderata samlingspartiet,Stockholms län,
Jerry Martinger,distriktsåklagare,,Moderata samlingspartiet,Stockholms län,
Jan Sandberg,politisk sekreterare,,Moderata samlingspartiet,Stockholms län,
Karin Söder,f.d. statsråd,,Centerpartiet,Stockholms län,
Olof Johansson,f.d. statsråd,,Centerpartiet,Stockholms län,Partiordförande
Ylva Annerstedt,småföretagare,,Folkpartiet,Stockholms län,
Daniel Tarschys,professor,,Folkpartiet,Stockholms län,Ordförande i SoU.
Ingemar Eliasson,civilekonom,,Folkpartiet,Stockholms län,Gruppledare för partiet
Bengt Westerberg,partiordförande,,Folkpartiet,Stockholms län,Partiordförande
Anne Wibble,riksgäldsfullmäktig,,Folkpartiet,Stockholms län,Vice ordförande i FiU.
Lars Leijonborg,projektledare,,Folkpartiet,Stockholms län,
Ingvar Carlsson,statsminister,,Socialdemokraterna,Stockholms län,Partiordförande och statsråd
Lennart Andersson,studieombudsman,,Socialdemokraterna,Stockholms län,Vice ordförande i LU.
Ivar Nordberg,statsråd,,Socialdemokraterna,Stockholms län,Statsråd t.o.m. 1990
Thage Peterson,socionom,,Socialdemokraterna,Stockholms län,Riksdagens talman
Anna-Greta Leijon,f.d. statsråd,,Socialdemokraterna,Stockholms län,Ordförande i FiU.
Anita Johansson,undersköterska,,Socialdemokraterna,Stockholms län,
Sören Lekberg,ombudsman,,Socialdemokraterna,Stockholms län,
Hans Göran Franck,advokat,,Socialdemokraterna,Stockholms län,
Aina Westin,ombudsman,,Socialdemokraterna,Stockholms län,
Ulf Lönnqvist,statsråd,,Socialdemokraterna,Stockholms län,Statsråd under perioden
Mona Sahlin,sekreterare,,Socialdemokraterna,Stockholms län,
Eva Johansson,ombudsman,,Socialdemokraterna,Stockholms län,
Ingela Thalén,statsråd,,Socialdemokraterna,Stockholms län,Statsråd under perioden
Anna Horn af Rantzien,författare,,Miljöpartiet de Gröna,Stockholms län,
Per Gahrton,sociolog,,Miljöpartiet de Gröna,Stockholms län,
Eva Goës,agronom,,Miljöpartiet de Gröna,Stockholms län,
Jan Strömdahl,enhetschef,,Vänsterpartiet kommunisterna,Stockholms län,
Gudrun Schyman,socionom,,Vänsterpartiet kommunisterna,Stockholms län,
Annika Åhnberg,socionom,,Vänsterpartiet kommunisterna,Stockholms län,
Ingegerd Troedsson,f.d. statsråd,,Moderata samlingspartiet,Uppsala län,Riksdagens första vice talman
Lars Ahlmark,avdelningschef,,Moderata samlingspartiet,Uppsala län,
Rosa Östh,lantbrukare,,Centerpartiet,Uppsala län,
Barbro Sandberg,lärare,,Folkpartiet,Uppsala län,
Håkan Holmberg,journalist,,Folkpartiet,Uppsala län,
Arne Gadd,revisionsdirektör,,Socialdemokraterna,Uppsala län,
Birgitta Dahl,statsråd,,Socialdemokraterna,Uppsala län,Statsråd under perioden
Gustav Persson,,,Socialdemokraterna,Uppsala län,
Gunnar Thollander,förrådsförvaltare,,Socialdemokraterna,Uppsala län,
Ingrid Andersson,sjuksköterska,,Socialdemokraterna,Uppsala län,
Paul Ciszuk,docent,,Miljöpartiet de Gröna,Uppsala län,
Berith Eriksson,förskollärare,,Vänsterpartiet kommunisterna,Uppsala län,
Göran Allmér,rektor,,Moderata samlingspartiet,Södermanlands län,
Per Westerberg,civilekonom,,Moderata samlingspartiet,Södermanlands län,
Larz Johansson,lantbrukare,,Centerpartiet,Södermanlands län,Vice ordförande i UbU.
Kjell Johansson,fabrikör,,Folkpartiet,Södermanlands län,
Olle Svensson,redaktör,,Socialdemokraterna,Södermanlands län,Ordförande i KU.
Maj-Lis Lööw,arbetsförmedlare,,Socialdemokraterna,Södermanlands län,Vice ordförande i KrU.
Anita Persson,socialkamrer,,Socialdemokraterna,Södermanlands län,
Marita Bengtsson,inspektör,,Socialdemokraterna,Södermanlands län,
Reynoldh Furustrand,ombudsman,,Socialdemokraterna,Södermanlands län,
Mona Saint Cyr,kommunsekreterare,,Moderata samlingspartiet,Östergötlands län,
Birger Hagård,högskolelektor,,Moderata samlingspartiet,Östergötlands län,
Carl G. Nilsson,lantbrukare,,Moderata samlingspartiet,Östergötlands län,
Anna Wohlin-Andersson,lantbrukare,,Centerpartiet,Östergötlands län,
Roland Larsson,kommunalråd,,Centerpartiet,Östergötlands län,
Karl-Göran Biörsmark,adjunkt,,Folkpartiet,Östergötlands län,
Lola Björkquist,sjuksköterska,,Folkpartiet,Östergötlands län,
Christer Nilsson,socionom,,Socialdemokraterna,Östergötlands län,
Torsten A. Karlsson,metallarbetare,,Socialdemokraterna,Östergötlands län,
Sture Thun,kommunsekreterare,,Socialdemokraterna,Östergötlands län,
Ingvar Björk,folkhögskollärare,,Socialdemokraterna,Östergötlands län,
Inge Carlsson,metallarbetare,,Socialdemokraterna,Östergötlands län,
Berit Löfstedt,ombudsman,,Socialdemokraterna,Östergötlands län,
Viola Furubjelke,utredningssekreterare,,Socialdemokraterna,Östergötlands län,
Maj-Inger Klingvall,politices magister,,Socialdemokraterna,Östergötlands län,
Lars Norberg,civilingenjör,,Miljöpartiet de Gröna,Östergötlands län,
Elisabeth Persson,,,Vänsterpartiet kommunisterna,Östergötlands län,
Anders Björck,vice ordförande i KU,,Moderata samlingspartiet,Jönköpings län,Vice ordförande i KU.
Ulf Melin,kommunalråd,,Moderata samlingspartiet,Jönköpings län,
Kersti Johansson,lantbrukare,,Centerpartiet,Jönköpings län,
Rune Backlund,ombudsman,,Centerpartiet,Jönköpings län,
Ingrid Ronne-Björkqvist,barnläkare,,Folkpartiet,Jönköpings län,
Carl-Johan Wilson,förlagsredaktör,,Folkpartiet,Jönköpings län,
Åke Gustavsson,redaktör,,Socialdemokraterna,Jönköpings län,
Catarina Rönnung,folkhögskollärare,,Socialdemokraterna,Jönköpings län,
Ingegerd Elm,kontorist,,Socialdemokraterna,Jönköpings län,
Nils Nordh,metallarbetare,,Socialdemokraterna,Jönköpings län,
Sven-Erik Alkemark,fastighetsförvaltare,,Socialdemokraterna,Jönköpings län,Avled 21 februari 1990
Anders Högmark,civilekonom,,Moderata samlingspartiet,Kronobergs län,
Stina Gustavsson,hushållslärare,,Centerpartiet,Kronobergs län,
Charlotte Branting,hushållslärare,,Folkpartiet,Kronobergs län,
Kjell Nilsson,metallarbetare,,Socialdemokraterna,Kronobergs län,
Ulla Johansson,lågstadielärare,,Socialdemokraterna,Kronobergs län,
Lars Hedfors,studierektor,,Socialdemokraterna,Kronobergs län,Ordförande i SkU.
Ewy Möller,,,Moderata samlingspartiet,Kalmar län,
Bertil Danielsson,lantbrukare,,Moderata samlingspartiet,Kalmar län,
Agne Hansson,ämneslärare,,Centerpartiet,Kalmar län,Ordförande i BoU.
Marianne Jönsson,adjunkt,,Centerpartiet,Kalmar län,
Ingrid Hasselström-Nyvall,civilekonom,,Folkpartiet,Kalmar län,
