Plats,Ledamot,Parti,Parti,Valkrets
209,Amir Adan,,Moderaterna,Stockholms kommun
154,Anders Hansson,,Moderaterna,Skåne läns södra
30,Andreas Norlén,,Moderaterna,Östergötlands län
94,Anette Åkesson,,Moderaterna,Skåne läns norra och östra
84,Anna Kinberg Batra,,Moderaterna,Stockholms län
185,Ann-Charlotte Hammar Johnsson,,Moderaterna,Skåne läns västra
10,Annicka Engblom[n 1],,Moderaterna,Blekinge län
85,Anti Avsan,,Moderaterna,Stockholms län
24,Beatrice Ask,,Moderaterna,Stockholms kommun
9,Betty Malmberg,,Moderaterna,Östergötlands län
155,Boriana Åberg,,Moderaterna,Skåne läns södra
231,Camilla Waltersson Grönvall,,Moderaterna,Västra Götalands läns norra
105,Carl-Oskar Bohlin[n 1],,Moderaterna,Dalarnas län
83,Catharina Elmsäter-Svärd,,Moderaterna,Stockholms län
190,Cecilia Magnusson,,Moderaterna,Göteborgs kommun
42,Cecilia Widegren[n 1],,Moderaterna,Västra Götalands läns östra
305,Cecilie Tenfjord-Toftby[n 1],,Moderaterna,Västra Götalands läns södra
44,Christian Holm Barenfeld[n 1] [n 2],,Moderaterna,Värmlands län
168,Edward Riedl[n 1],,Moderaterna,Västerbottens län
232,Elisabeth Svantesson[n 1],,Moderaterna,Örebro län
229,Ellen Juntti,,Moderaterna,Västra Götalands läns västra
282,Erik Andersson,,Moderaterna,Stockholms län
202,Eva Lohman,,Moderaterna,Västernorrlands län
54,Ewa Björling,,Moderaterna,Stockholms län
125,Ewa Thalén Finné[n 3],,Moderaterna,Skåne läns södra
31,Finn Bengtsson,,Moderaterna,Östergötlands län
4,Fredrik Reinfeldt[n 1],,Moderaterna,Stockholms kommun
187,Gunilla Nordgren,,Moderaterna,Skåne läns södra
34,Gustaf Hoffstedt[n 1],,Moderaterna,Gotlands län
112,Göran Pettersson,,Moderaterna,Stockholms län
177,Hanif Bali,,Moderaterna,Stockholms län
226,Hans Rothenberg,,Moderaterna,Göteborgs kommun
64,Hans Wallmark,,Moderaterna,Skåne läns norra och östra
252,Helena Bouveng[n 1],,Moderaterna,Jönköpings län
55,Hillevi Engström,,Moderaterna,Stockholms län
320,Ida Drougge,,Moderaterna,Stockholms län
304,Jan Ericson,,Moderaterna,Västra Götalands läns södra
91,Jan R. Andersson,,Moderaterna,Kalmar län
261,Jenny Petersson,,Moderaterna,Hallands län
261,Jessica Polfjärd[n 1],,Moderaterna,Västmanlands län
243,Jessica Rosencrantz,,Moderaterna,Stockholms kommun
57,Jessika Roswall[n 4],,Moderaterna,Uppsala län
