name,gender
A.C. Lindblad,
Aaby Ericsson,man
En vakant plats,
G.O. Erikson,
H.G. Andersson,
I. Pettersson,
J. Johansson,
Janne Walles,man
K.G. Westman,
Ollas Anders Ericsson,woman
Sigfrid Hansson,man
en vakant plats,
Åhlmans Olof Olsson,man
A. Östlund,
Ingebrekt Bergman,woman
J. Axel Träff,
J. P. Johansson,
J.G. Carlsson,
Adolv Olsson,man
C. O. Larsson,
C.A. Carlsson,
C.J. Ericsson,
C.J. Jonsson,
E. Eriksson,
En vakant plats (s),
Eskils Hans Hansson,man
F.V. Thorsson,
Hj. Carlsson,
Jones Erik Andersson,man
K. Bergström,
O.E. Eriksson,
C.A. Sundling,
Janne Nilsson,man
J. Erik Forssberg,
Edoff Andersson,man
A.W. Rydberg,
Fr. Julin,
G.A. Larsén,
Hj. Halvarsson,
P. Sandström,
P.E.A. Jonsson,
Sigfrid Linnér,man
Zäta Höglund,woman
Andreas Nilsson,man
K.J. Olsson,
Laur Franzon,man
Alarik Hagård,man
Sigfrid Jonsson,man
Hardy Göransson,man
K.A. Johanson,
Hernfrid Bark,man
Sigfrid Nordkvist,man
C.W. Carlsson,
H. Nordqvist,
Jean Braconier,man
Sigfrid Löfgren,man
Sigfrid Larsson,man
Mac Hamrin,man
Arendt de Jounge,man
Essen Lindahl,man
C-H Hermansson,man
Gusti Gustavsson,woman
Wiking Werbro,man
Thorle Nilsson,man
Valdo Carlström,man
Inger Ingvar-Svensson,woman
Inger Lindquist,woman
C.-H. Hermansson,
Lahja Exner,woman
Inge Carlsson,woman
Inger Hestvik,woman
Inger Josefsson,woman
Inger Wickzén,woman
Margó Ingvardsson,woman
Roine Carlsson,man
Inger Koch,woman
Inger Schörling,woman
Reynoldh Furustrand,man
Rinaldo Karlsson,man
Inger Davidson,woman
Inger Lundberg,woman
Inger René,woman
Jerzy Einhorn,man
Tuve Skånberg,man
Inger Segelström,woman
Ingibjörg Sigurdsdóttir,woman
Majléne Westerlund Panke,woman
Nalin Pekgul,man
Nikos Papadopoulos,man
Carlinge Wisberg,woman
Cinnika Beiming,woman
Inger Strömbom,woman
Ragnwi Marcelind,woman
Tasso Stafilidis,man
Cinnika Beiming (ersättare: Maryam Yazdanfar),woman
Inger Davidsson,woman
Inger Nordlander,woman
Joe Frans,man
Mauricio Rojas,man
Nyamko Sabuni,woman
Rossana Dinamarca,woman
Sermin Özürküt,woman
Yilmaz Kerimo,man
Ameer Sachet,man
Amineh Kakabaveh,woman
Anti Avsan,man
Esabelle Dingizian,woman
Inge Garstedt,woman
Inger Jarl Beck,woman
Jasenko Omanović,man
LiseLotte Olsson,
Renée Jeryd,woman
Reza Khelili Dylami,man
Walburga Habsburg Douglas,woman
Abdirizak Waberi,man
Abir Al-Sahlani,woman
Ardalan Shekarabi,man
Arhe Hamednaca,man
Boriana Åberg,woman
Hanif Bali,man
Jabar Amin,man
Kew Nordqvist,man
Meeri Wasberg,woman
Metin Ataseven,man
Penilla Gunther,woman
Pyry Niemi,man
Shadiye Heydari,woman
Jasenko Omanovic,man
Nooshi Dadgostar,woman
Sotiris Delis,man
Acko Ankarberg Johansson,man
Alireza Akhondi,woman
Arman Teimouri,man
Ciczie Weidby,woman
Gulan Avci,woman
Jamal El-Haj,man
Kadir Kasirga,man
Lawen Redar,man
Momodou Malcolm Jallow,man
Serkan Köse,man
Vasiliki Tsouplaki,woman
