Plats,Namn,Namn,Parti,Valkrets
73,,Per Bill,Moderata samlingspartiet,Uppsala län
30,,Knut Billing,Moderata samlingspartiet,Stockholms län
91,,Karl-Göran Biörsmark,Folkpartiet liberalerna,Östergötlands län
84,,Laila Bjurling,Socialdemokraterna,Södermanlands län
84,,Charlotta L. Bjälkebring,Vänsterpartiet,Södermanlands län
109,,Anders Björck,Moderata samlingspartiet,Jönköpings län
293,,Ulf Björklund,Kristdemokraterna,Dalarnas län
141,,Jan Björkman,Socialdemokraterna,Blekinge län
242,,Lars Björkman,Moderata samlingspartiet,Västra Götalands läns södra
268,,Maud Björnemalm,Socialdemokraterna,"Örebro län,"
232,,Britt Bohlin Olsson,Socialdemokraterna,Västra Götalands läns norra
301,,Sinikka Bohlin,Socialdemokraterna,Gävleborgs län
204,,Claes-Göran Brandin,Socialdemokraterna,Göteborgs kommun
70,,Ingrid Burman,Vänsterpartiet,Uppsala län
297,,Laila Bäck,Socialdemokraterna,Dalarnas län
220,,Lars Bäckström,Vänsterpartiet,Västra Götalands läns västra
217,,Lisbet Calner,Socialdemokraterna,Västra Götalands läns västra
127,,Leif Carlson,Moderata samlingspartiet,Kalmar län
250,,Birgitta Carlsson,Centerpartiet,Västra Götalands läns östra
89,,Inge Carlsson,Socialdemokraterna,Östergötlands län
201,,Marianne Carlström,Socialdemokraterna,Göteborgs kommun
221,,Åke Carnerö,Kristdemokraterna,Västra Götalands läns västra
67,,Birgitta Dahl,Socialdemokraterna,Uppsala län
42,,Lennart Daléus,Centerpartiet,Stockholms län
94,,Britt-Marie Danestig,Vänsterpartiet,Östergötlands län
258,,Torgny Danielsson,Socialdemokraterna,Värmlands län
37,,Inger Davidson,Kristdemokraterna,Stockholms län
311,,Anne-Katrine Dunker,Moderata samlingspartiet,Gävleborgs län
314,,Susanne Eberstein,Socialdemokraterna,Västernorrlands län
326,,Erik Arthur Egervärn,Centerpartiet,Jämtlands län
55,,Mats Einarsson,Vänsterpartiet,Stockholms län
99,,Lena Ek,Centerpartiet,Östergötlands län
179,,Maud Ekendahl,Moderata samlingspartiet,Skåne läns norra och östra
243,,Berndt Ekholm,Socialdemokraterna,Västra Götalands läns södra
244,,Kjell Eldensjö,Kristdemokraterna,Västra Götalands läns södra
