Riksdagsledamot,Yrke,Parti,Parti,Valkrets,Anmärkningar
Gunnar Ericsson,direktör,,Folkpartiet,Östergötlands län,
Sigvard Rimås,lantbrukare,,Folkpartiet,Östergötlands län,
Lars Larsson i Lotorp,typograf,,Socialdemokraterna,Östergötlands län,
Astrid Bergegren,kontorist,,Socialdemokraterna,Östergötlands län,
Erik Wärnberg,trävaruhandlare,,Socialdemokraterna,Östergötlands län,
Lars Henrikson,ombudsman,,Socialdemokraterna,Östergötlands län,
Rune Johansson i Norrköping,ombudsman,,Socialdemokraterna,Östergötlands län,
Oscar Franzén,metallarbetare,,Socialdemokraterna,Östergötlands län,
Gillis Augustsson,järnbruksarbetare,,Socialdemokraterna,Östergötlands län,
Sven Persson i Appuna,lantarbetare,,Socialdemokraterna,Östergötlands län,
Ingemar Leander,folkskollärare,,Socialdemokraterna,Östergötlands län,
Nils Berndtson,partiombudsman,,Vänsterpartiet kommunisterna,Östergötlands län,
Carl-Wilhelm Lothigius,direktör,,Moderata samlingspartiet,Jönköpings län,
Anders Björck,förbundsordförande,,Moderata samlingspartiet,Jönköpings län,
Torsten Bengtson,redaktör,,Centerpartiet,Jönköpings län,
Sven Johansson,pastor,,Centerpartiet,Jönköpings län,
Arne Magnusson,lantbrukare,,Centerpartiet,Jönköpings län,
Arne Fransson,kamrer,,Centerpartiet,Jönköpings län,
Gösta Sterne,disponent,,Folkpartiet,Jönköpings län,
Rolf Wirtén,folkskollärare,,Folkpartiet,Jönköpings län,
Göran Karlsson,redaktör,,Socialdemokraterna,Jönköpings län,
Harald Almgren,metallarbetare,,Socialdemokraterna,Jönköpings län,
Karl Rask,fabrikör,,Socialdemokraterna,Jönköpings län,
Tage Johansson,assistent,,Socialdemokraterna,Jönköpings län,
Åke Gustavsson,redaktör,,Socialdemokraterna,Jönköpings län,
Erik Hovhammar,bruksdiponent,,Moderata samlingspartiet,Kronobergs län,
Rune Gustavsson,socionom,,Centerpartiet,Kronobergs län,
Bertil Johansson,lantbrukare,,Centerpartiet,Kronobergs län,
Rune Rydén,köpman,,Folkpartiet,Kronobergs län,
Rune Johansson i Ljungby,f.d. statsråd,,Socialdemokraterna,Kronobergs län,
Bengt Fagerlund,försäljningsassistent,,Socialdemokraterna,Kronobergs län,
Kjell Nilsson,metallarbetare,,Socialdemokraterna,Kronobergs län,
Erik Krönmark,lantbrukare,,Moderata samlingspartiet,Kalmar län,
Lars Schött,fögderidirektör,,Moderata samlingspartiet,Kalmar län,
Fritz Börjesson,lantbrukare,,Centerpartiet,Kalmar län,
Gösta Andersson,skogsarbetare,,Centerpartiet,Kalmar län,
Ivan Svanström,lantbrukare,,Centerpartiet,Kalmar län,
Mac Hamrin,överlantmätare,,Folkpartiet,Kalmar län,
Stig Alemyr,rektor,,Socialdemokraterna,Kalmar län,
Bertil Peterson,ombudsman,,Socialdemokraterna,Kalmar län,
Bernt Nilsson,ombudsman,,Socialdemokraterna,Kalmar län,
Birger Rosqvist,lots,,Socialdemokraterna,Kalmar län,
Eric Johansson,typograf,,Socialdemokraterna,Kalmar län,
Torsten Gustafsson,lantbrukare,,Centerpartiet,Gotlands län,
Georg Pettersson,skyddsombud,,Socialdemokraterna,Gotlands län,
Claes Elmstedt,lantbrukare,,Moderata samlingspartiet,Blekinge län,
Valdo Carlström,direktör,,Folkpartiet,Blekinge län,
Helge Karlsson,metallarbetare,,Socialdemokraterna,Blekinge län,
Nils Fridolfsson,ombudsman,,Socialdemokraterna,Blekinge län,
Göte Peterson,direktör,,Socialdemokraterna,Blekinge län,
Mats Olsson,sparbankskonsulent,,Socialdemokraterna,Blekinge län,
Yngve Nilsson,lantbrukare,,Moderata samlingspartiet,Kristianstads län,
Wiggo Komstedt,köpman,,Moderata samlingspartiet,Kristianstads län,
Einar Larsson,lantbrukare,,Centerpartiet,Kristianstads län,
Anna-Lisa Nilsson,handelsträdgårdsmästare,,Centerpartiet,Kristianstads län,
Egon Andreasson,lantbrukare,,Centerpartiet,Kristianstads län,
Magnus Taube,disponent,,Folkpartiet,Kristianstads län,
Martin Henmark,beredningsråd,,Folkpartiet,Kristianstads län,
Gunnar Engkvist,målarmästare,,Socialdemokraterna,Kristianstads län,
Svante Kristiansson,fotograf,,Socialdemokraterna,Kristianstads län,
Nils Erik Wååg,byggnadsingenjör,,Socialdemokraterna,Kristianstads län,
Erik Johansson,arbetsförmedlingsföreståndare,,Socialdemokraterna,Kristianstads län,
Gusti Gustavsson,elinstallatör,,Socialdemokraterna,Kristianstads län,
Carl Göran Regnéll,bankdirektör,,Moderata samlingspartiet,Fyrstadskretsen,
Mårten Werner,komminister,,Moderata samlingspartiet,Fyrstadskretsen,
Rolf Clarkson,direktör,,Moderata samlingspartiet,Fyrstadskretsen,
Bertil Fiskesjö,universitetslektor,,Centerpartiet,Fyrstadskretsen,
Alma Olsson,fru,,Centerpartiet,Fyrstadskretsen,
