id,type,tag,box,content
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_0-block_0",Text,1,"653,134,1012,34","Onsdagen den 16 januari 1946. Nr 1. 21\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_1",Text,1,"156,223,1499,81","nr 18, av herr Söderkvist m. fl., om obligatorisk läkarundersökning av navigationsskolornas\n elever;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_2",Text,1,"155,308,1503,80","nr 19, av herr Hallagård m. fl., angående vidtagande av åtgärder för att\nsäkerställa jordbrukets behov av arbetskraft;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_3",Text,1,"155,393,1502,76","nr 20, av herr Elofsson, Gustaf, m. fl., om ändrade pensionsbestämmelser\nför vissa häradsskrivare;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_4",Text,1,"154,479,1502,80","nr 21, av herr Wistrand, angående revisor R. Halldéns efterlevandes familjepensionsförmåner;\n\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_5",Text,1,"155,564,1503,79","nr 22, av herr Ericson, Frans, m. fl., om ändrade bestämmelser angående\növerinseendet över anstalter för bildbara sinnesslöa;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_6",Text,1,"155,649,1500,80","nr 23, av herr Ericson, Frans, om ändrade bestämmelser för statens egnahemslån\n ;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_8",Text,1,"155,819,1502,79","nr 25, av herr Elofsson, Gustaf, m. fl., om ökat anslag till biodlingens främJande:\n\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_7",Text,1,"155,734,1502,81","nr 24, av herr Elofsson, Gustaf, m. fl., om vissa ändringar i förordningen\nangående åtgärder mot smittsamma sjukdomar hos bin;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_9",Text,1,"157,903,1503,82","nr 26, av friherre Beck-Friis m. fl., om upphävande av priskontrollen på\nrundvirke och rotstående skog:\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_10",Text,1,"156,988,1504,82","nar 27, av herr Linderot m. fl., om nya direktiv för socialvårdskommittén\nm. m.;\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_11",Text,1,"156,1076,1501,80","nr 28, av herr Bergh, Ragnar, angående utredning om utjämning av de avståndsbetingade\n prisvariationerna i fråga om flytande motorbränslen; samt\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_1-block_12",Text,1,"156,1161,1500,80","nr 29, av herr Elofsson, Gustaf, m. fl., om viss ändring av bestämmelserna\nrörande uttagning under fredstid av hästar för militära behov.\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_2-block_13",Text,1,"156,1322,1500,79","Justerades protokollsutdrag för denna dag, varefter kammarens sammanträde\navslutades kl. 12.08 på dagen.\n"
"https://betalab.kb.se/prot-1946--fk--1#1-21-cblock_3-block_14",Text,1,"1297,1448,315,97","In fidem\nG. H. Berggren.\n"
