id,type,tag,box,content
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_0-block_0",Text,1,"123,137,98,29","Nr 12,\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_1-block_1",Text,1,"290,150,933,29","28 Tisdagen den 8 mars.\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_2-block_2",Text,1,"765,480,542,50","Tisdagen den 8 mars.\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_3-block_3",Text,1,"336,577,752,34","Kammaren sammanträdde kl. 3.30 e. m.\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_4-block_4",Text,1,"335,719,1282,40","Herr statsrådet Pettersson avlämnade Kungl. Maj:ts propositioner:\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_4-block_5",Text,1,"291,769,1503,84","nr 113, med förslag till lag om ändring i vissa delar av lagen den 29 juni\n1912 (nr 184) om understödsföreningar; och\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_4-block_6",Text,1,"335,854,1282,42","nr 114, med förslag till förordning om erkända sjukkassor m. m.\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_5-block_7",Text,1,"333,991,1239,40","Justerades protokollen för den 2 och den 4 innevarande månad.\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_6-block_8",Text,1,"284,1134,1508,167","Anmäldes och godkändes konstitutionsutskottets förslag till riksdagens skrivelse\n nr 38, till Konungen, i anledning av väckta motioner om åtgärder för snabbare\n offentliggörande av valresultaten vid landstingsval och kommunalfullmäktigeval.\n\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_7-block_9",Text,1,"283,1379,1506,82","Anmäldes och godkändes bevillningsutskottets förslag till riksdagens skrivelser\n till Konungen:\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_7-block_10",Text,1,"282,1472,1507,81","nr 59, i anledning av väckt motion om tullfrihet för med bly överdraget bandJärn\n av vissa dimensioner; :\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_7-block_11",Text,1,"282,1557,1507,80","nr 60, i anledning av Kungl. Maj:ts proposition angående tullfri införsel av\nen telefonkabel;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_7-block_12",Text,1,"282,1641,1505,80","nr 61, i anledning av väckt motion om nedsättning av tullen å lödpasta och\nlödpulver; samt\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_7-block_13",Text,1,"282,1725,1504,82","nr 62, i anledning av väckt motion med förslag till viss bestämmelse om tull\nå kärl och behållare av järnplåt med invändig beklädnad av aluminium.\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_14",Text,1,"279,1902,1507,75","Anmäldes och godkändes riksdagens kanslis förslag till delar av riksdagsbeslutet:\n\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_16",Text,1,"323,2037,376,39","nr 2, slutmeningen;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_15",Text,1,"324,1994,303,40","nr 1, ingressen;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_17",Text,1,"322,2079,1399,41","nr 3, angående utseende av ledamöter och suppleanter i utrikesnämnden;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_19",Text,1,"322,2163,1423,42","nr 5, angående val av riksdagens militieombudsman och hans efterträdare;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_18",Text,1,"323,2122,1462,40","nr 4, angående val av riksdagens justitieombudsman och hans efterträdare;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_20",Text,1,"323,2206,1461,42","nr 6, angående lag om ändrad lydelse av 10 kap. 35 och 71 $$ vattenlagen;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_21",Text,1,"322,2248,1462,43","nr 7, angående ändrad lydelse av 13 och 25 $$ i lagen för Sveriges riksbank;\n"
"https://betalab.kb.se/prot-1927--fk--12#1-28-cblock_8-block_22",Text,1,"275,2290,1507,211","nr 8, angående lag med vissa till strafflagen för krigsmakten och lagen om\nkrigsdomstolar och rättegången därstädes anslutna bestämmelser angående flygvapnet;\n\nnr 9, angående förordning om ändrad lydelse av $$ 2 och 3 i förordningen\nden 5 juni 1909 angående konungariket Sveriges stadshypotekskassa;\n"
