year,v0.10.0,v0.12.0,v0.13.0,v0.13.1,v0.14.0
1867,4660.0,4660.0,4660.0,4660.0,4660.0
1868,4591.0,4591.0,4591.0,4591.0,4591.0
1869,4525.0,4525.0,4525.0,4525.0,4525.0
1870,4157.0,4157.0,4157.0,4157.0,4157.0
1871,5194.0,5194.0,5194.0,5194.0,5194.0
1872,4353.0,4353.0,4353.0,4353.0,4353.0
1873,5100.0,5100.0,5100.0,5100.0,5100.0
1874,4283.0,4283.0,4283.0,4283.0,4283.0
1875,4655.0,4655.0,4655.0,4655.0,4655.0
1876,4343.0,4343.0,4343.0,4343.0,4343.0
1877,4494.0,4494.0,4494.0,4494.0,4494.0
1878,4551.0,4551.0,4551.0,4551.0,4551.0
1879,3827.0,3827.0,3827.0,3827.0,3827.0
1880,3812.0,3812.0,3812.0,3812.0,3812.0
1881,2867.0,2867.0,2867.0,2867.0,2867.0
1882,4048.0,4048.0,4048.0,4048.0,4048.0
1883,3778.0,3778.0,3778.0,3778.0,3778.0
1884,2894.0,2894.0,2894.0,2894.0,2894.0
1885,3816.0,3816.0,3816.0,3816.0,3816.0
1886,3840.0,3840.0,3840.0,3840.0,3840.0
1887,3101.0,3101.0,3101.0,3101.0,3101.0
1888,3770.0,3770.0,3770.0,3770.0,3770.0
1889,4094.0,4094.0,4094.0,4094.0,4094.0
1890,3563.0,3563.0,3563.0,3563.0,3563.0
1891,3484.0,3484.0,3484.0,3484.0,3484.0
1892,4279.0,4279.0,4279.0,4279.0,4279.0
1893,3211.0,3211.0,3211.0,3211.0,3211.0
1894,3901.0,3901.0,3901.0,3901.0,3901.0
1895,3562.0,3562.0,3562.0,3562.0,3562.0
1896,3786.0,3786.0,3786.0,3786.0,3786.0
1897,3773.0,3773.0,3773.0,3773.0,3773.0
1898,3829.0,3829.0,3829.0,3829.0,3829.0
1899,3067.0,3067.0,3067.0,3067.0,3067.0
1900,3447.0,3447.0,3447.0,3447.0,3447.0
1901,3438.0,3438.0,3438.0,3438.0,3438.0
1902,3881.0,3881.0,3881.0,3881.0,3881.0
1903,4130.0,4130.0,4130.0,4130.0,4130.0
1904,4604.0,4604.0,4604.0,4604.0,4604.0
1905,4624.0,4624.0,4624.0,4624.0,4624.0
